id,group_Id,timeline_Value,timeline_actionType,timeline_actionType_Value/0/timeline_actionType_Value,timeline_actionType_Value/1/timeline_actionType_Value,timeline_actionType_Value/2/timeline_actionType_Value,timeline_actionType_Value/3/timeline_actionType_Value,timeline_actionType_Value/4/timeline_actionType_Value,timeline_actionType_Value/5/timeline_actionType_Value,timeline_actionType_Value/6/timeline_actionType_Value,timeline_actionType_Value/7/timeline_actionType_Value,timeline_actionType_Value/8/timeline_actionType_Value,timeline_actionType_Value/9/timeline_actionType_Value,timeline_actionType_Value/10/timeline_actionType_Value,timeline_actionType_Value/11/timeline_actionType_Value
1,1,0,Spawn_Circle_Random,50,0,360,Monster,1,5,False,0,True,,,
2,1,0,Spawn_Circle_Random,50,0,360,Monster,2,5,False,0,True,,,
3,2,0,Spawn_Hor,140,440,Monster,1,1,5,True,120,False,0,,
4,2,1000,Spawn_Hor,140,440,Monster,2,2,5,False,0,False,0,,
5,3,0,Spawn_Hor_Pos,140,440,Monster,1,1,5,True,120,False,0,,
6,3,1000,Spawn_Hor_Pos,140,440,Monster,2,2,5,False,0,False,0,,
7,4,0,Spawn_Ver,440,200,Monster,1,1,5,True,120,False,0,,
8,4,1000,Spawn_Ver,440,200,Monster,2,2,5,False,0,False,0,,
9,5,0,Spawn_Ver_Pos,440,200,Monster,1,1,5,True,120,False,0,,
10,5,1000,Spawn_Ver_Pos,440,200,Monster,2,2,5,False,0,False,0,,
11,6,0,Spawn_Ellipse_Hor,-220,500,15,6,0,360,Monster,5,10,True,False,0
12,7,0,Spawn_Ellipse_Ver,220,350,15,6,0,360,Monster,5,10,True,False,0
13,8,0,Spawn_Ellipse_Pos,150,150,15,6,0,360,Monster,5,10,True,False,0
14,8,0,Spawn_Ellipse_Pos,-150,-150,15,6,0,360,Monster,5,10,False,False,0
15,8,0,Spawn_Ellipse_Pos,150,-150,15,6,0,360,Monster,5,10,True,False,0
16,8,0,Spawn_Ellipse_Pos,-150,150,15,6,0,360,Monster,5,10,False,False,0
17,8,0,Spawn_Ellipse_Pos,150,-150,15,6,0,360,Monster,5,10,True,False,0
18,9,0,Spawn_Ellipse_Pos,-150,150,15,6,0,360,Monster,6,10,False,False,0
19,10,0,Spawn_Circle_Random,150,0,360,Monster,3,20,False,0,True,,,
20,11,0,Spawn_Circle_Random,50,0,360,Monster,4,10,False,0,True,,,
21,12,0,Spawn_Circle_Random,50,0,360,Monster,15,1,False,0,True,,,
22,13,0,Spawn_Circle_Random,5,270,270,Monster,16,1,False,0,True,,,
23,15,0,Spawn_Circle_Random,20,0,360,Monster,101002,10,False,0,True,,,
24,16,0,Spawn_Circle_Random,20,0,360,Monster,101002,8,False,0,True,,,
25,17,0,Spawn_Circle_Random,20,0,360,Monster,101002,8,False,0,True,,,
26,18,0,Spawn_Circle_Random,20,0,360,Monster,101001,10,False,0,False,,,
27,19,0,Spawn_Circle_Random,20,0,360,Monster,201001,1,False,0,True,,,
28,20,0,Spawn_Circle_Random,3,0,360,Item,100103,1,False,0,True,,,
29,20,0,Spawn_Circle_Random,3,0,360,Item,110001,1,False,0,True,,,
