id,name_localkey,description_localkey,camera_work,weapon_type,fire_type,attack_type,counter_enermy,input_type,is_targeting,prefer_target,prefer_target_condition,damage,shot_count,muzzle_count,multi_target_count,center_shot_count,shot_timing,max_ammo,maintain_fire_stance,uptype_fire_timing,reload_time,reload_bullet,reload_start_ammo,rate_of_fire_reset_time,rate_of_fire,end_rate_of_fire,rate_of_fire_change_pershot,burst_energy_pershot,target_burst_energy_pershot,penetration,spot_first_delay,spot_last_delay,start_accuracy_circle_scale,end_accuracy_circle_scale,accuracy_change_pershot,accuracy_change_speed,auto_start_accuracy_circle_scale,auto_end_accuracy_circle_scale,auto_accuracy_change_pershot,auto_accuracy_change_speed,zoom_rate,multi_aim_range,spot_projectile_speed,charge_time,full_charge_damage,full_charge_burst_energy,spot_radius_object,spot_radius,spot_explosion_range,homing_script,core_damage_rate,shake_id,shaketype,shakeweight,aim_prefab,hurt_function_id_list/0/name,hurt_function_id_list/0/value,use_function_id_list/0/name,use_function_id_list/0/value
1001001,Locale_Skill:character_shot_name_localkey_ar_down,Locale_Skill:character_shot_description_localkey_ar_down,camera_work_01,AR,Instant,Energy,Energy_Type,DOWN,True,TargetAR,None,1365,1,1,0,0,Concurrence,60,0,0,100,10000,59,0,720,720,0,2000,4000,0,20,20,75,75,0,0,75,75,0,0,0,0,0,0,10000,0,0,0,0,,20000,1,Fire_AR,120,,hurt_function_id_list,0,use_function_id_list,0
1001101,Locale_Skill:character_shot_name_localkey_sg_down,Locale_Skill:character_shot_description_localkey_sg_down,camera_work_02,SG,Instant,Bio,Energy_Type,DOWN,True,Front,None,22450,10,1,0,0,Concurrence,9,0,0,60,3300,8,0,90,90,0,4500,9000,0,20,20,250,250,0,0,250,250,0,0,0,0,0,0,10000,0,0,0,0,,20000,2,Fire_SG,120,,hurt_function_id_list,0,use_function_id_list,0
1001201,Locale_Skill:character_shot_name_localkey_rl_up,Locale_Skill:character_shot_description_localkey_rl_up,camera_work_01,RL,HomingProjectile,Metal,Metal_Type,UP,False,TargetGL,None,6502,1,1,0,0,Concurrence,6,0,0,67,3300,5,0,60,60,0,35500,71000,0,20,20,10,10,0,0,10,10,0,0,0,0,100,100,25000,25000,2,50,500,lv1,20000,2,Fire_RL,120,,hurt_function_id_list,0,use_function_id_list,0
1001301,Locale_Skill:character_shot_name_localkey_smg_down,Locale_Skill:character_shot_description_localkey_smg_down,camera_work_02,SMG,Instant,Energy,Energy_Type,DOWN,True,TargetAR,None,873,1,1,0,0,Concurrence,120,0,0,150,10000,119,0,1440,1440,0,1000,2000,0,20,20,110,110,0,0,110,110,0,0,0,0,0,0,10000,0,0,0,0,,20000,1,Fire_SMG,120,,hurt_function_id_list,0,use_function_id_list,0
1001302,Locale_Skill:character_shot_name_localkey_smg_down,Locale_Skill:character_shot_description_localkey_smg_down,camera_work_02,SMG,Instant,Energy,Energy_Type,DOWN,True,TargetAR,None,873,1,1,0,0,Concurrence,120,0,0,150,10000,119,0,1440,1440,0,4500,9000,0,20,20,100,100,0,0,100,100,0,0,0,0,0,0,10000,0,0,0,0,,20000,1,Fire_SMG,120,,hurt_function_id_list,0,use_function_id_list,0
1001303,Locale_Skill:character_shot_name_localkey_smg_down,Locale_Skill:character_shot_description_localkey_smg_down,camera_work_01,SMG,Instant,Energy,Energy_Type,DOWN,True,TargetAR,None,873,1,1,0,0,Concurrence,120,0,0,150,10000,60,0,1440,1440,0,1000,2000,0,20,20,100,100,0,0,100,100,0,0,0,0,0,0,10000,0,0,0,0,,20000,1,Fire_SMG,120,,hurt_function_id_list,0,use_function_id_list,0
1002001,Locale_Skill:character_shot_name_localkey_sr_up,Locale_Skill:character_shot_description_localkey_sr_up,camera_work_01,SR,Instant,Bio,Energy_Type,UP,False,Back,None,6595,1,1,0,0,Concurrence,6,0,0,150,10000,5,0,60,60,0,26500,53000,0,20,20,10,10,0,0,10,10,0,0,30,0,0,100,25000,25000,0,0,0,,20000,2,Fire_SR,120,,hurt_function_id_list,0,use_function_id_list,0
1002201,Locale_Skill:character_shot_name_localkey_smg_down,Locale_Skill:character_shot_description_localkey_smg_down,camera_work_01,SMG,Instant,Energy,Energy_Type,DOWN,True,TargetAR,None,810,1,1,0,0,Concurrence,120,0,0,100,10000,119,0,1440,1440,0,1000,2000,0,20,20,110,110,0,0,110,110,0,0,0,0,0,0,10000,0,0,0,0,,20000,1,Fire_SMG,120,,hurt_function_id_list,0,use_function_id_list,0
1003001,Locale_Skill:character_shot_name_localkey_sg_up,Locale_Skill:character_shot_description_localkey_sg_down,camera_work_02,SG,Instant,Metal,Energy_Type,DOWN,True,Front,None,20150,10,1,0,0,Concurrence,9,0,0,150,10000,8,0,90,90,0,2000,4000,0,20,20,250,250,0,0,250,250,0,0,0,0,0,0,10000,0,0,0,0,,20000,2,Fire_SG,120,,hurt_function_id_list,0,use_function_id_list,0
1003201,Locale_Skill:character_shot_name_localkey_smg_down,Locale_Skill:character_shot_description_localkey_smg_down,camera_work_01,SMG,Instant,Energy,Energy_Type,DOWN,True,TargetAR,None,1080,1,1,0,0,Concurrence,120,0,0,143,10000,119,0,1440,1440,0,1000,2000,0,20,20,110,110,0,0,110,110,0,0,0,0,0,0,10000,0,0,0,0,,25000,1,Fire_SMG,120,,hurt_function_id_list,0,use_function_id_list,0
