id,resource_id,icon_id,name_locale,tier,group_id,can_fire,mvspd,max_stamina,list_condition,list_condition_value,list_override_prob,list_prob,list_highpriority,effect_settings/0/effect_type_id,effect_settings/0/effect_value,effect_settings/1/effect_type_id,effect_settings/1/effect_value,hire_require_items/0/hire_require_item_id,hire_require_items/0/hire_require_item_value,hire_require_items/1/hire_require_item_id,hire_require_items/1/hire_require_item_value,hire_require_items/2/hire_require_item_id,hire_require_items/2/hire_require_item_value
101,rebuildeden_npc_as001,rebuildeden_icn_portrait_as001,Locale_Event:rebe_unit_name_01,1,1,True,140,30,None,0,0,0,False,AddBasicElectronicsAmount,5,None,0,1101,150,0,0,0,0
102,rebuildeden_npc_as004,rebuildeden_icn_portrait_as004,Locale_Event:rebe_unit_name_02,1,1,True,120,40,None,0,0,0,False,DecreaseSideElectronicsRequirementAmount,5,None,0,1101,150,0,0,0,0
103,rebuildeden_npc_as002,rebuildeden_icn_portrait_as002,Locale_Event:rebe_unit_name_01,1,1,True,110,50,None,0,0,0,False,DecreaseElectronicsRequirementAmount,5,None,0,1101,150,0,0,0,0
202,rebuildeden_npc_as005,rebuildeden_icn_portrait_as005,Locale_Event:rebe_unit_name_02,1,1,True,120,40,None,0,0,0,False,DecreaseCreateTime,500,None,0,1101,150,0,0,0,0
203,rebuildeden_npc_as003,rebuildeden_icn_portrait_as003,Locale_Event:rebe_unit_name_01,1,1,True,140,30,None,0,0,0,False,DecreaseElectronicsRequirementAmount,5,None,0,1101,150,0,0,0,0
302,rebuildeden_npc_as004,rebuildeden_icn_portrait_as004,Locale_Event:rebe_unit_name_02,1,1,True,120,40,None,0,0,0,False,IncreaseProductionAmount,1,None,0,1101,150,0,0,0,0
303,rebuildeden_npc_as001,rebuildeden_icn_portrait_as001,Locale_Event:rebe_unit_name_01,1,1,True,110,50,None,0,0,0,False,AddDispatchSuccessProbability,500,None,0,1101,150,0,0,0,0
401,rebuildeden_npc_as005,rebuildeden_icn_portrait_as005,Locale_Event:rebe_unit_name_02,1,1,True,120,40,None,0,0,0,False,AddDispatchResourcePercentage,1500,None,0,1101,150,0,0,0,0
402,rebuildeden_npc_as002,rebuildeden_icn_portrait_as002,Locale_Event:rebe_unit_name_01,1,1,True,140,30,None,0,0,0,False,DecreaseRecruitValuePercentage,50,None,0,1101,150,0,0,0,0
403,rebuildeden_npc_as004,rebuildeden_icn_portrait_as004,Locale_Event:rebe_unit_name_02,1,1,True,120,40,None,0,0,0,False,DecreaseDispatchWaitTime,800,None,0,1101,150,0,0,0,0
502,rebuildeden_npc_as003,rebuildeden_icn_portrait_as003,Locale_Event:rebe_unit_name_01,1,1,True,110,50,None,0,0,0,False,AddBasicElectronicsAmount,15,None,0,1101,150,0,0,0,0
503,rebuildeden_npc_as001,rebuildeden_icn_portrait_as001,Locale_Event:rebe_unit_name_01,1,1,True,120,40,None,0,0,0,False,DecreaseSideElectronicsRequirementAmount,12,None,0,1101,150,0,0,0,0
602,rebuildeden_npc_as004,rebuildeden_icn_portrait_as004,Locale_Event:rebe_unit_name_02,1,1,True,140,30,None,0,0,0,False,DecreaseElectronicsRequirementAmount,22,None,0,1101,150,0,0,0,0
603,rebuildeden_npc_as002,rebuildeden_icn_portrait_as002,Locale_Event:rebe_unit_name_01,1,1,True,120,40,None,0,0,0,False,DecreaseCreateTime,700,None,0,1101,150,0,0,0,0
8001,rebuildeden_npc_as001,rebuildeden_icn_portrait_as001,Locale_Event:rebe_unit_name_01,1,1,True,100,10,None,0,0,0,False,AddBasicElectronicsAmount,10,None,0,1101,10,1102,10,1103,10
8002,rebuildeden_npc_as004,rebuildeden_icn_portrait_as004,Locale_Event:rebe_unit_name_02,1,1,True,100,10,None,0,0,0,False,AddBasicElectronicsAmount,10,None,0,1101,10,1102,10,1103,10
9901,rebuildeden_npc_cecil,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_unit_name_unique_01,5,6,False,100,10,Quest,801,100000,0,True,AddBasicElectronicsAmount,100,None,0,1101,35,0,0,0,0
9902,rebuildeden_npc_johan,rebuildeden_icn_portrait_johan,Locale_Event:rebe_unit_name_unique_02,5,7,False,100,10,Quest,801,250,0,True,DecreaseSideElectronicsRequirementAmount,100,None,0,1101,800,1102,200,1103,150
9903,rebuildeden_npc_mharan,rebuildeden_icn_portrait_mharan,Locale_Event:rebe_unit_name_unique_03,5,7,False,100,10,Quest,801,250,0,True,DecreaseElectronicsRequirementAmount,100,None,0,1101,800,1102,200,1103,150
9904,rebuildeden_npc_misabel,rebuildeden_icn_portrait_misabel,Locale_Event:rebe_unit_name_unique_04,5,7,False,100,10,Quest,801,250,0,True,DecreaseCreateTime,2500,None,0,1101,800,1102,200,1103,150
