id,group_id,order,reward_type,reward_id,reward_value_min,reward_value_max,ratio
1001,1000,0,Equipment_None,3110101,1,1,10000
1002,1000,0,Equipment_None,3210101,1,1,10000
1003,1000,0,Equipment_None,3310101,1,1,10000
1004,1000,0,Equipment_None,3410101,1,1,10000
1005,1000,0,Equipment_None,3120101,1,1,10000
1006,1000,0,Equipment_None,3220101,1,1,10000
1007,1000,0,Equipment_None,3320101,1,1,10000
1008,1000,0,Equipment_None,3420101,1,1,10000
1009,1000,0,Equipment_None,3130101,1,1,10000
1010,1000,0,Equipment_None,3230101,1,1,10000
1011,1000,0,Equipment_None,3330101,1,1,10000
1012,1000,0,Equipment_None,3410101,1,1,10000
2001,2000,0,Equipment_None,3110201,1,1,10000
2002,2000,0,Equipment_None,3210201,1,1,10000
2003,2000,0,Equipment_None,3310201,1,1,10000
2004,2000,0,Equipment_None,3410201,1,1,10000
2005,2000,0,Equipment_None,3120201,1,1,10000
2006,2000,0,Equipment_None,3220201,1,1,10000
2007,2000,0,Equipment_None,3320201,1,1,10000
2008,2000,0,Equipment_None,3420201,1,1,10000
2009,2000,0,Equipment_None,3130201,1,1,10000
2010,2000,0,Equipment_None,3230201,1,1,10000
2011,2000,0,Equipment_None,3330201,1,1,10000
2012,2000,0,Equipment_None,3430201,1,1,10000
3001,3000,0,Equipment_None,3110301,1,1,10000
3002,3000,0,Equipment_None,3210301,1,1,10000
3003,3000,0,Equipment_None,3310301,1,1,10000
3004,3000,0,Equipment_None,3410301,1,1,10000
3005,3000,0,Equipment_None,3120301,1,1,10000
3006,3000,0,Equipment_None,3220301,1,1,10000
3007,3000,0,Equipment_None,3320301,1,1,10000
3008,3000,0,Equipment_None,3420301,1,1,10000
3009,3000,0,Equipment_None,3130301,1,1,10000
3010,3000,0,Equipment_None,3230301,1,1,10000
3011,3000,0,Equipment_None,3330301,1,1,10000
3012,3000,0,Equipment_None,3430301,1,1,10000
100001,100000,0,Equipment_None,3110101,1,1,2000
100002,100000,0,Equipment_None,3120101,1,1,2000
100003,100000,0,Equipment_None,3130101,1,1,2000
100004,100000,0,Equipment_None,3210101,1,1,2000
100005,100000,0,Equipment_None,3220101,1,1,2000
100006,100000,0,Equipment_None,3230101,1,1,2000
100007,100000,0,Equipment_None,3310101,1,1,2000
100008,100000,0,Equipment_None,3320101,1,1,2000
100009,100000,0,Equipment_None,3330101,1,1,2000
100010,100000,0,Equipment_None,3410101,1,1,2000
100011,100000,0,Equipment_None,3420101,1,1,2000
100012,100000,0,Equipment_None,3430101,1,1,2000
100101,100100,0,Equipment_None,3110101,1,1,2000
100102,100100,0,Equipment_None,3120101,1,1,2000
100103,100100,0,Equipment_None,3130101,1,1,2000
100104,100100,0,Equipment_None,3210101,1,1,2000
100105,100100,0,Equipment_None,3220101,1,1,2000
100106,100100,0,Equipment_None,3230101,1,1,2000
100107,100100,0,Equipment_None,3310101,1,1,2000
100108,100100,0,Equipment_None,3320101,1,1,2000
100109,100100,0,Equipment_None,3330101,1,1,2000
100110,100100,0,Equipment_None,3410101,1,1,2000
100111,100100,0,Equipment_None,3420101,1,1,2000
100112,100100,0,Equipment_None,3430101,1,1,2000
100113,100100,0,Equipment_None,3110201,1,1,1000
100114,100100,0,Equipment_None,3120201,1,1,1000
100115,100100,0,Equipment_None,3130201,1,1,1000
100116,100100,0,Equipment_None,3210201,1,1,1000
100117,100100,0,Equipment_None,3220201,1,1,1000
100118,100100,0,Equipment_None,3230201,1,1,1000
100119,100100,0,Equipment_None,3310201,1,1,1000
100120,100100,0,Equipment_None,3320201,1,1,1000
100121,100100,0,Equipment_None,3330201,1,1,1000
100122,100100,0,Equipment_None,3410201,1,1,1000
100123,100100,0,Equipment_None,3420201,1,1,1000
100124,100100,0,Equipment_None,3430201,1,1,1000
100201,100200,0,Equipment_None,3110101,1,1,1000
