id,group_id,slot,surface_character_id,character_id,battle_power,tutorial_character_utility_skill_id
10001,1000,1,999902,230001,10800,501020101
10002,1000,2,999903,230101,10800,0
10003,1000,3,999901,230601,10800,0
10004,1000,4,999905,130201,10800,0
10005,1000,5,999904,130301,10800,0
20001,2000,1,999908,330401,10800,501020101
20002,2000,2,999906,130301,10800,0
20003,2000,3,999907,130701,10800,0
20004,2000,4,999909,330501,10800,0
20005,2000,5,999910,330801,10800,0
30001,3000,1,999911,130301,10800,501020101
30002,3000,2,999912,130701,10800,0
30003,3000,3,999913,330401,10800,0
30004,3000,4,999914,230101,10800,0
30005,3000,5,999915,330401,10800,0
