id,pass_id,condition_type,condition_value,pass_rank,free_reward,premium_reward_1,premium_reward_2,is_highlight
100101,1001,Point,0,1,9100101,9100116,9100131,False
100102,1001,Point,35,2,9100102,9100117,9100132,False
100103,1001,Point,70,3,9100103,9100118,9100133,False
100104,1001,Point,105,4,9100104,9100119,9100134,False
100105,1001,Point,140,5,9100105,9100120,9100135,False
100106,1001,Point,175,6,9100106,9100121,9100136,False
100107,1001,Point,210,7,9100107,9100122,9100137,False
100108,1001,Point,245,8,9100108,9100123,9100138,False
100109,1001,Point,280,9,9100109,9100124,9100139,False
100110,1001,Point,315,10,9100110,9100125,9100140,False
100111,1001,Point,350,11,9100111,9100126,9100141,False
100112,1001,Point,385,12,9100112,9100127,9100142,False
100113,1001,Point,420,13,9100113,9100128,9100143,False
100114,1001,Point,455,14,9100114,9100129,9100144,False
100115,1001,Point,490,15,9100115,9100130,9100145,True
100201,1002,Point,0,1,9100101,9100116,9100131,False
100202,1002,Point,35,2,9100102,9100117,9100132,False
100203,1002,Point,70,3,9100103,9100118,9100133,False
100204,1002,Point,105,4,9100104,9100119,9100134,False
100205,1002,Point,140,5,9100105,9100120,9100135,False
100206,1002,Point,175,6,9100106,9100121,9100136,False
100207,1002,Point,210,7,9100107,9100122,9100137,False
100208,1002,Point,245,8,9100108,9100123,9100138,False
100209,1002,Point,280,9,9100109,9100124,9100139,False
100210,1002,Point,315,10,9100110,9100125,9100140,False
100211,1002,Point,350,11,9100111,9100126,9100141,False
100212,1002,Point,385,12,9100112,9100127,9100142,False
100213,1002,Point,420,13,9100113,9100128,9100143,False
100214,1002,Point,455,14,9100114,9100129,9100144,False
100215,1002,Point,490,15,9100115,9100130,9100145,True
100301,1003,Point,0,1,9100201,9100216,9100231,False
100302,1003,Point,35,2,9100202,9100217,9100232,False
100303,1003,Point,70,3,9100203,9100218,9100233,False
100304,1003,Point,105,4,9100204,9100219,9100234,False
100305,1003,Point,140,5,9100205,9100220,9100235,False
100306,1003,Point,175,6,9100206,9100221,9100236,False
100307,1003,Point,210,7,9100207,9100222,9100237,False
100308,1003,Point,245,8,9100208,9100223,9100238,False
100309,1003,Point,280,9,9100209,9100224,9100239,False
100310,1003,Point,315,10,9100210,9100225,9100240,False
100311,1003,Point,350,11,9100211,9100226,9100241,False
100312,1003,Point,385,12,9100212,9100227,9100242,False
100313,1003,Point,420,13,9100213,9100228,9100243,False
100314,1003,Point,455,14,9100214,9100229,9100244,False
100315,1003,Point,490,15,9100215,9100230,9100245,True
100401,1004,Point,0,1,9100301,9100316,9100331,False
100402,1004,Point,35,2,9100302,9100317,9100332,False
100403,1004,Point,70,3,9100303,9100318,9100333,False
100404,1004,Point,105,4,9100304,9100319,9100334,False
100405,1004,Point,140,5,9100305,9100320,9100335,False
100406,1004,Point,175,6,9100306,9100321,9100336,False
100407,1004,Point,210,7,9100307,9100322,9100337,False
100408,1004,Point,245,8,9100308,9100323,9100338,False
100409,1004,Point,280,9,9100309,9100324,9100339,False
100410,1004,Point,315,10,9100310,9100325,9100340,False
100411,1004,Point,350,11,9100311,9100326,9100341,False
100412,1004,Point,385,12,9100312,9100327,9100342,False
100413,1004,Point,420,13,9100313,9100328,9100343,False
100414,1004,Point,455,14,9100314,9100329,9100344,False
100415,1004,Point,490,15,9100315,9100330,9100345,True
100501,1005,Point,0,1,9100401,9100416,9100431,False
100502,1005,Point,35,2,9100402,9100417,9100432,False
100503,1005,Point,70,3,9100403,9100418,9100433,False
100504,1005,Point,105,4,9100404,9100419,9100434,False
100505,1005,Point,140,5,9100405,9100420,9100435,False
100506,1005,Point,175,6,9100406,9100421,9100436,False
100507,1005,Point,210,7,9100407,9100422,9100437,False
100508,1005,Point,245,8,9100408,9100423,9100438,False
100509,1005,Point,280,9,9100409,9100424,9100439,False
100510,1005,Point,315,10,9100410,9100425,9100440,False
100511,1005,Point,350,11,9100411,9100426,9100441,False
100512,1005,Point,385,12,9100412,9100427,9100442,False
100513,1005,Point,420,13,9100413,9100428,9100443,False
