id,clearedstageid,closestageid,charresourceid,title_textlocale,textlocale,background,fieldmovingroutecontrol,hiddenitemmarkresource,unmaskcontrol,unmaskinputcontrol,nextid,reconnectiontutorialid,addonresource/0/name,addonresource/0/value,markhiddenitemid/0/name,markhiddenitemid/0/value,unmaskkeylist/0/name,unmaskkeylist/0/value,unmaskkeylist/1/name,unmaskkeylist/1/value,unmaskkeylist/2/name,unmaskkeylist/2/value,unmaskkeylist/3/name,unmaskkeylist/3/value,unmaskkeylist/4/name,unmaskkeylist/4/value
1,6000001,6000002,si_c013_00_s,Locale_Tutorial:field_tuto01_01_title,Locale_Tutorial:field_tuto01_01_description,0,True,,False,True,0,0,addonresource,fx_f_move_line_tuto_01,,,,,,,,,,,,
2,6000001,6000002,si_c013_00_s,Locale_Tutorial:field_tuto01_02_title,Locale_Tutorial:field_tuto01_02_description,1,False,,True,True,0,0,addonresource,None,,,unmaskkeylist,tuto_battle_enter,,,,,,,,
3,6000002,6000003,,,,0,True,,False,True,0,0,addonresource,fx_f_move_line_tuto_02,,,,,,,,,,,,
4,6000002,6000003,,,,1,False,,True,True,0,0,addonresource,None,,,unmaskkeylist,tuto_battle_enter,,,,,,,,
5,6000003,6001001,,,,0,True,,False,True,0,0,addonresource,fx_f_move_line_tuto_03,,,,,,,,,,,,
6,6001001,6001002,si_c013_00_s,Locale_Tutorial:field_tuto03_01_title,Locale_Tutorial:field_tuto03_01_description,0,False,,True,False,7,0,addonresource,None,,,unmaskkeylist,field_tuto05_01,,,,,,,,
7,6001001,6001002,si_c013_00_s,Locale_Tutorial:field_tuto03_02_title,Locale_Tutorial:field_tuto03_02_description,1,False,SpotTutorialUnmask_Circle_01_a,True,False,8,0,addonresource,None,markhiddenitemid,field_tuto_hidden_item_01,,,,,,,,,,
8,6001001,6001002,si_c013_00_s,Locale_Tutorial:field_tuto03_03_title,Locale_Tutorial:field_tuto03_03_description,1,False,SpotTutorialUnmask_Circle_01_a,True,True,0,11,addonresource,None,markhiddenitemid,field_tuto_hidden_item_01_mark,,,,,,,,,,
9,6001001,6001002,si_c013_00_s,Locale_Tutorial:field_tuto03_04_title,Locale_Tutorial:field_tuto03_04_description,1,False,,True,True,10,0,addonresource,None,,,,,,,,,,,,
10,6001001,6001002,si_c013_00_s,Locale_Tutorial:field_tuto03_05_title,Locale_Tutorial:field_tuto03_05_description,1,False,,True,True,0,0,addonresource,None,,,,,,,,,,,,
11,6001004,6002001,si_c907_00_s,Locale_Tutorial:field_tuto05_01_title,Locale_Tutorial:field_tuto05_01_description,1,False,,True,True,12,0,addonresource,None,,,,,,,,,,,,
12,6001004,6002001,si_c907_00_s,Locale_Tutorial:field_tuto05_02_title,Locale_Tutorial:field_tuto05_02_description,1,False,,True,True,13,0,addonresource,None,,,unmaskkeylist,field_tuto05_02,,,,,,,,
13,6001004,6002001,si_c907_00_s,Locale_Tutorial:field_tuto05_03_title,Locale_Tutorial:field_tuto05_03_description,1,False,,True,True,0,16,addonresource,None,,,unmaskkeylist,field_tuto05_03,,,,,,,,
14,6001004,6002001,si_c907_00_s,Locale_Tutorial:field_tuto06_00_title,Locale_Tutorial:field_tuto06_00_description,0,False,,True,True,15,0,addonresource,None,,,,,,,,,,,,
15,6001004,6002001,si_c907_00_s,Locale_Tutorial:field_tuto06_01_title,Locale_Tutorial:field_tuto06_01_description,1,False,,True,True,16,0,addonresource,None,,,unmaskkeylist,field_tuto06_01,,,,,,,,
16,6001004,6002001,si_c907_00_s,Locale_Tutorial:field_tuto06_02_title,Locale_Tutorial:field_tuto06_02_description,1,False,,True,True,17,0,addonresource,None,,,unmaskkeylist,field_tuto06_02,,,,,,,,
17,6001004,6002001,si_c907_00_s,Locale_Tutorial:field_tuto06_03_title,Locale_Tutorial:field_tuto06_03_description,1,False,,True,False,18,0,addonresource,None,,,unmaskkeylist,field_tuto06_03,,,,,,,,
