id,debuff_priority,debuff_name,debuff_description,debuff_effect_type,debuff_effect_value,debuff_effect_resource,is_use_sprite_tint,set_sprite_tint,set_sprite_tint_alpha_value
100101,2,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Slow,1500,,True,367CE9,70
100102,2,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Slow,4000,,True,367CE9,70
100103,2,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Slow,2250,,True,367CE9,70
100104,2,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Slow,3000,,True,367CE9,70
1001011,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,12,fx_m_fortheking_debuff_divineflame,False,,0
1001012,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,16,fx_m_fortheking_debuff_divineflame,False,,0
1001013,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,20,fx_m_fortheking_debuff_divineflame,False,,0
1001021,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,8,fx_m_fortheking_debuff_divineflame,False,,0
1001022,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,12,fx_m_fortheking_debuff_divineflame,False,,0
1001023,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,16,fx_m_fortheking_debuff_divineflame,False,,0
1001024,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,20,fx_m_fortheking_debuff_divineflame,False,,0
1001031,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,8,fx_m_fortheking_debuff_acid,False,,0
1001032,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,12,fx_m_fortheking_debuff_acid,False,,0
1001033,4,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,DotDamage,16,fx_m_fortheking_debuff_acid,False,,0
1001041,3,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,ReceivedDamageUp,2500,fx_m_fortheking_debuff_receivedamageup,True,D2691E,70
1001042,3,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,ReceivedDamageUp,3500,fx_m_fortheking_debuff_receivedamageup,True,D2691E,70
1001043,3,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,ReceivedDamageUp,4000,fx_m_fortheking_debuff_receivedamageup,True,D2691E,70
1001051,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_freeze,True,00BFFF,70
1001052,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_freeze,True,00BFFF,70
1001053,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_freeze,True,00BFFF,70
1001061,6,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,NullStealth,0,fx_m_fortheking_debuff_nullstealth,False,,0
1001062,6,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,NullStealth,0,fx_m_fortheking_debuff_nullstealth,False,,0
1001063,6,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,NullStealth,0,fx_m_fortheking_debuff_nullstealth,False,,0
1001071,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_timestop,True,FFBF00,70
1001072,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_timestop,True,FFBF00,70
1001073,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_timestop,True,FFBF00,70
1001081,6,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,NullStealth,0,fx_m_fortheking_debuff_nullstealth,False,,0
1001082,6,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,NullStealth,0,fx_m_fortheking_debuff_nullstealth,False,,0
1001083,6,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,NullStealth,0,fx_m_fortheking_debuff_nullstealth,False,,0
1001091,2,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Slow,4000,,True,367CE9,70
1001092,2,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Slow,4000,,True,367CE9,70
1001093,2,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Slow,4000,,True,367CE9,70
1001094,2,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Slow,5000,,True,367CE9,70
1001101,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_timestop,True,FFBF00,70
1001102,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_timestop,True,FFBF00,70
1001103,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_timestop,True,FFBF00,70
1001104,1,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,Sturn,0,fx_m_fortheking_debuff_timestop,True,FFBF00,70
1001201,7,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,InstantDamage,80000,,False,,0
1001202,7,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,InstantDamage,80000,,False,,0
1001203,7,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,InstantDamage,80000,,False,,0
1001204,7,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,InstantDamage,80000,,False,,0
1001205,7,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,InstantDamage,41000,,False,,0
1001206,3,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,ReceivedDamageUp,2000,fx_m_fortheking_debuff_receivedamageup,True,D2691E,70
1001207,3,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,ReceivedDamageUp,3000,fx_m_fortheking_debuff_receivedamageup,True,D2691E,70
1001208,3,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,ReceivedDamageUp,1000,fx_m_fortheking_debuff_receivedamageup,True,D2691E,70
1001209,3,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,ReceivedDamageUp,1500,fx_m_fortheking_debuff_receivedamageup,True,D2691E,70
1001210,3,Locale_Event:td_debuff_name_dummy,Locale_Event:td_debuff_description_dummy,ReceivedDamageUp,2000,fx_m_fortheking_debuff_receivedamageup,True,D2691E,70
