id,event_type,chapter_condition_type,chapter_condition_value,selection_group_id,selection_value,name_localkey,description_localkey,weight
10010,Maintenance,Range,1,10010,2,Locale_System:SIMULATIONROOM_EVENT_NAME_10000,Locale_System:SIMULATIONROOM_EVENT_DESC_10000,10000
10020,Maintenance,Range,1,10020,2,Locale_System:SIMULATIONROOM_EVENT_NAME_10000,Locale_System:SIMULATIONROOM_EVENT_DESC_10000,10000
10030,Maintenance,Range,2,10030,2,Locale_System:SIMULATIONROOM_EVENT_NAME_10000,Locale_System:SIMULATIONROOM_EVENT_DESC_10000,10000
10040,Maintenance,Range,3,10040,2,Locale_System:SIMULATIONROOM_EVENT_NAME_10000,Locale_System:SIMULATIONROOM_EVENT_DESC_10000,10000
21010,RandomSelection,Range,2,21010,5,Locale_System:SIMULATIONROOM_EVENT_NAME_21010,Locale_System:SIMULATIONROOM_EVENT_DESC_21010,30000
21020,RandomSelection,Range,2,21020,2,Locale_System:SIMULATIONROOM_EVENT_NAME_21020,Locale_System:SIMULATIONROOM_EVENT_DESC_21020,30000
21030,RandomSelection,Range,1,21030,2,Locale_System:SIMULATIONROOM_EVENT_NAME_21030,Locale_System:SIMULATIONROOM_EVENT_DESC_21030,30000
21040,RandomSelection,Range,2,21040,2,Locale_System:SIMULATIONROOM_EVENT_NAME_21040,Locale_System:SIMULATIONROOM_EVENT_DESC_21040,25000
21050,RandomSelection,Range,2,21050,5,Locale_System:SIMULATIONROOM_EVENT_NAME_21050,Locale_System:SIMULATIONROOM_EVENT_DESC_21050,25000
21060,RandomSelection,Range,2,21060,2,Locale_System:SIMULATIONROOM_EVENT_NAME_21060,Locale_System:SIMULATIONROOM_EVENT_DESC_21060,20000
21071,RandomSelection,Range,2,21071,2,Locale_System:SIMULATIONROOM_EVENT_NAME_21070,Locale_System:SIMULATIONROOM_EVENT_DESC_21070,5000
21072,RandomSelection,Range,2,21072,2,Locale_System:SIMULATIONROOM_EVENT_NAME_21070,Locale_System:SIMULATIONROOM_EVENT_DESC_21070,5000
21073,RandomSelection,Range,2,21073,2,Locale_System:SIMULATIONROOM_EVENT_NAME_21070,Locale_System:SIMULATIONROOM_EVENT_DESC_21070,5000
21074,RandomSelection,Range,2,21074,2,Locale_System:SIMULATIONROOM_EVENT_NAME_21070,Locale_System:SIMULATIONROOM_EVENT_DESC_21070,5000
21080,RandomSelection,Range,1,21080,2,Locale_System:SIMULATIONROOM_EVENT_NAME_21080,Locale_System:SIMULATIONROOM_EVENT_DESC_21080,20000
22011,RandomSelection,Range,2,22011,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22010,Locale_System:SIMULATIONROOM_EVENT_DESC_22010,7292
22012,RandomSelection,Range,2,22012,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22010,Locale_System:SIMULATIONROOM_EVENT_DESC_22010,7292
22013,RandomSelection,Range,2,22013,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22010,Locale_System:SIMULATIONROOM_EVENT_DESC_22010,7292
22014,RandomSelection,Range,2,22014,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22010,Locale_System:SIMULATIONROOM_EVENT_DESC_22010,7292
22020,RandomSelection,Range,1,22020,2,Locale_System:SIMULATIONROOM_EVENT_NAME_22020,Locale_System:SIMULATIONROOM_EVENT_DESC_22020,29167
22030,RandomSelection,Range,1,22030,2,Locale_System:SIMULATIONROOM_EVENT_NAME_22030,Locale_System:SIMULATIONROOM_EVENT_DESC_22030,29167
22040,RandomSelection,Range,1,22040,3,Locale_System:SIMULATIONROOM_EVENT_NAME_22040,Locale_System:SIMULATIONROOM_EVENT_DESC_22040,29167
22050,RandomSelection,Range,1,22050,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22050,Locale_System:SIMULATIONROOM_EVENT_DESC_22050,29167
22060,RandomSelection,Range,1,22060,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22060,Locale_System:SIMULATIONROOM_EVENT_DESC_22060,29167
22070,RandomSelection,Range,2,22070,2,Locale_System:SIMULATIONROOM_EVENT_NAME_22070,Locale_System:SIMULATIONROOM_EVENT_DESC_22070,29167
22080,RandomSelection,Range,1,22080,2,Locale_System:SIMULATIONROOM_EVENT_NAME_22080,Locale_System:SIMULATIONROOM_EVENT_DESC_22080,29167
22090,RandomSelection,Range,2,22090,2,Locale_System:SIMULATIONROOM_EVENT_NAME_22090,Locale_System:SIMULATIONROOM_EVENT_DESC_22090,29167
22101,RandomSelection,Select,2,22101,2,Locale_System:SIMULATIONROOM_EVENT_NAME_22100,Locale_System:SIMULATIONROOM_EVENT_DESC_22100,7292
22102,RandomSelection,Select,2,22102,2,Locale_System:SIMULATIONROOM_EVENT_NAME_22100,Locale_System:SIMULATIONROOM_EVENT_DESC_22100,7292
22103,RandomSelection,Select,2,22103,2,Locale_System:SIMULATIONROOM_EVENT_NAME_22100,Locale_System:SIMULATIONROOM_EVENT_DESC_22100,7292
22104,RandomSelection,Select,2,22104,2,Locale_System:SIMULATIONROOM_EVENT_NAME_22100,Locale_System:SIMULATIONROOM_EVENT_DESC_22100,7292
22111,RandomSelection,Range,1,22111,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22110,Locale_System:SIMULATIONROOM_EVENT_DESC_22110,4861
22112,RandomSelection,Range,1,22112,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22110,Locale_System:SIMULATIONROOM_EVENT_DESC_22110,4861
22113,RandomSelection,Range,1,22113,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22110,Locale_System:SIMULATIONROOM_EVENT_DESC_22110,4861
22114,RandomSelection,Range,1,22114,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22110,Locale_System:SIMULATIONROOM_EVENT_DESC_22110,4861
22115,RandomSelection,Range,1,22115,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22110,Locale_System:SIMULATIONROOM_EVENT_DESC_22110,4861
22116,RandomSelection,Range,1,22116,4,Locale_System:SIMULATIONROOM_EVENT_NAME_22110,Locale_System:SIMULATIONROOM_EVENT_DESC_22110,4861
22120,RandomSelection,Select,2,22120,1,Locale_System:SIMULATIONROOM_EVENT_NAME_22120,Locale_System:SIMULATIONROOM_EVENT_DESC_22120,29167
23010,RandomSelection,Range,1,23010,5,Locale_System:SIMULATIONROOM_EVENT_NAME_23010,Locale_System:SIMULATIONROOM_EVENT_DESC_23010,23333
23021,RandomSelection,Range,1,23021,4,Locale_System:SIMULATIONROOM_EVENT_NAME_23020,Locale_System:SIMULATIONROOM_EVENT_DESC_23020,5833
23022,RandomSelection,Range,1,23022,4,Locale_System:SIMULATIONROOM_EVENT_NAME_23020,Locale_System:SIMULATIONROOM_EVENT_DESC_23020,5833
23023,RandomSelection,Range,1,23023,4,Locale_System:SIMULATIONROOM_EVENT_NAME_23020,Locale_System:SIMULATIONROOM_EVENT_DESC_23020,5833
23024,RandomSelection,Range,1,23024,4,Locale_System:SIMULATIONROOM_EVENT_NAME_23020,Locale_System:SIMULATIONROOM_EVENT_DESC_23020,5833
23030,RandomSelection,Range,2,23030,2,Locale_System:SIMULATIONROOM_EVENT_NAME_23030,Locale_System:SIMULATIONROOM_EVENT_DESC_23030,23333
23040,RandomSelection,Range,1,23040,2,Locale_System:SIMULATIONROOM_EVENT_NAME_23040,Locale_System:SIMULATIONROOM_EVENT_DESC_23040,23333
23050,RandomSelection,Range,1,23050,4,Locale_System:SIMULATIONROOM_EVENT_NAME_23050,Locale_System:SIMULATIONROOM_EVENT_DESC_23050,23333
23060,RandomSelection,Range,1,23060,3,Locale_System:SIMULATIONROOM_EVENT_NAME_23060,Locale_System:SIMULATIONROOM_EVENT_DESC_23060,23333
23071,RandomSelection,Range,1,23071,4,Locale_System:SIMULATIONROOM_EVENT_NAME_23070,Locale_System:SIMULATIONROOM_EVENT_DESC_23070,5833
