id,manager_id,day,myroom_event_awake,myroom_event_outing,myroom_event_homecoming
100101,1001,1,,,snowfall_myroom_day1_e
100102,1001,2,,,
100103,1001,3,,,snowfall_myroom_day3_e
100104,1001,4,,,snowfall_myroom_day4_e
100105,1001,5,,snowfall_myroom_day5_s,snowfall_myroom_day5_e
100106,1001,6,,snowfall_myroom_day6_s,snowfall_myroom_day6_e
100107,1001,7,,,snowfall_myroom_day7_e
100108,1001,8,,,snowfall_myroom_day8_e
100109,1001,9,,snowfall_myroom_day9_s,snowfall_myroom_day9_e
100110,1001,10,,snowfall_myroom_day10_s,snowfall_myroom_day10_e
100111,1001,11,,snowfall_myroom_day11_s,snowfall_myroom_day11_e
100112,1001,12,,,
100113,1001,13,,snowfall_myroom_day13_m,snowfall_myroom_day13_e
100114,1001,14,,,
100115,1001,15,,snowfall_myroom_day15_s,snowfall_myroom_day15_e
100116,1001,16,,,snowfall_myroom_day16_e
100117,1001,17,,,
100118,1001,18,,,snowfall_myroom_day18_e
100119,1001,19,,,
100120,1001,20,,,snowfall_myroom_day20_e
100121,1001,21,,snowfall_myroom_day21_s,snowfall_myroom_day21_e
100122,1001,0,,,
