id,voice_field_go_sound_cue,voice_field_touch_sound_cue
1003301,c470_redash_fieldgo,
1003401,c224_redash_fieldgo,
1003501,c300_redash_fieldgo,
1003601,c330_lastkingdom_FieldGo,
10161201,c511_corrosion_fieldgo,c511_mute_fieldgo
10161301,c511_guilty_fieldgo,c511_mute_fieldgo
10161401,c511_mute_fieldgo,c511_mute_fieldgo
10171101,c182_event_fieldgo,
10191101,c513_fieldgo_01,
10191201,c513_fieldgo_02,
10191301,c513_fieldgo_03,
10191401,c513_fieldgo_04,
10201101,c5618_eve_fieldgo,c5618_eve_fieldtouch
10201201,c5605_fieldgo,c5605_fieldtouch
10241101,c5128_field_go,
1999101,c010_eventfield_spgo,
