id,group,step,condition_type,condition_value_min,condition_value_max,monster_stage_lv,passive_skill_id,target_passive_skill_id,gimmickobject_lv_control
10101,101,1,DamageDoneToTargetMonster,0,38000,73,0,7000001,0
10102,101,2,DamageDoneToTargetMonster,38001,63000,73,0,7000001,0
10103,101,3,DamageDoneToTargetMonster,63001,119000,73,0,7000001,0
10104,101,4,DamageDoneToTargetMonster,119001,301000,73,0,7000001,0
10105,101,5,DamageDoneToTargetMonster,301001,1038000,73,0,7000001,0
10106,101,6,DamageDoneToTargetMonster,1038001,1865000,73,0,7000001,0
10107,101,7,DamageDoneToTargetMonster,1865001,2963000,73,0,7000001,0
10108,101,8,DamageDoneToTargetMonster,2963001,4128000,73,0,7000001,0
10109,101,9,DamageDoneToTargetMonster,4128001,0,73,0,7000001,0
10201,102,1,DamageDoneToTargetMonster,0,482000,158,0,7000001,0
10202,102,2,DamageDoneToTargetMonster,482001,914000,158,0,7000001,0
10203,102,3,DamageDoneToTargetMonster,914001,1858000,158,0,7000001,0
10204,102,4,DamageDoneToTargetMonster,1858001,2813000,158,0,7000001,0
10205,102,5,DamageDoneToTargetMonster,2813001,4870000,158,0,7000001,0
10206,102,6,DamageDoneToTargetMonster,4870001,6660000,158,0,7000001,0
10207,102,7,DamageDoneToTargetMonster,6660001,12561000,158,0,7000001,0
10208,102,8,DamageDoneToTargetMonster,12561001,19732000,158,0,7000001,0
10209,102,9,DamageDoneToTargetMonster,19732001,0,158,0,7000001,0
20101,201,1,DamageDoneToTargetMonster,0,8404000,287,0,7000001,0
20102,201,2,DamageDoneToTargetMonster,8404001,11641000,287,0,7000001,0
20103,201,3,DamageDoneToTargetMonster,11641001,17026000,287,0,7000001,0
20104,201,4,DamageDoneToTargetMonster,17026001,20454000,287,0,7000001,0
20105,201,5,DamageDoneToTargetMonster,20454001,26539000,287,0,7000001,0
20106,201,6,DamageDoneToTargetMonster,26539001,32798000,287,0,7000001,0
20107,201,7,DamageDoneToTargetMonster,32798001,46641000,287,0,7000001,0
20108,201,8,DamageDoneToTargetMonster,46641001,62007000,287,0,7000001,0
20109,201,9,DamageDoneToTargetMonster,62007001,0,287,0,7000001,0
20201,202,1,DamageDoneToTargetMonster,0,8404000,287,0,7000001,0
20202,202,2,DamageDoneToTargetMonster,8404001,11641000,287,0,7000001,0
20203,202,3,DamageDoneToTargetMonster,11641001,17026000,287,0,7000001,0
20204,202,4,DamageDoneToTargetMonster,17026001,20454000,287,0,7000001,0
20205,202,5,DamageDoneToTargetMonster,20454001,26539000,287,0,7000001,0
20206,202,6,DamageDoneToTargetMonster,26539001,32798000,287,0,7000001,0
20207,202,7,DamageDoneToTargetMonster,32798001,46641000,287,0,7000001,0
20208,202,8,DamageDoneToTargetMonster,46641001,62007000,287,0,7000001,0
20209,202,9,DamageDoneToTargetMonster,62007001,0,287,0,7000001,0
20301,203,1,DamageDoneToTargetMonster,0,8404000,287,0,7000001,0
20302,203,2,DamageDoneToTargetMonster,8404001,11641000,287,0,7000001,0
20303,203,3,DamageDoneToTargetMonster,11641001,17026000,287,0,7000001,0
20304,203,4,DamageDoneToTargetMonster,17026001,20454000,287,0,7000001,0
20305,203,5,DamageDoneToTargetMonster,20454001,26539000,287,0,7000001,0
20306,203,6,DamageDoneToTargetMonster,26539001,32798000,287,0,7000001,0
20307,203,7,DamageDoneToTargetMonster,32798001,46641000,287,0,7000001,0
20308,203,8,DamageDoneToTargetMonster,46641001,62007000,287,0,7000001,0
20309,203,9,DamageDoneToTargetMonster,62007001,0,287,0,7000001,0
20401,204,1,DamageDoneToTargetMonster,0,8404000,287,0,7000001,0
20402,204,2,DamageDoneToTargetMonster,8404001,11641000,287,0,7000001,0
20403,204,3,DamageDoneToTargetMonster,11641001,17026000,287,0,7000001,0
20404,204,4,DamageDoneToTargetMonster,17026001,20454000,287,0,7000001,0
20405,204,5,DamageDoneToTargetMonster,20454001,26539000,287,0,7000001,0
20406,204,6,DamageDoneToTargetMonster,26539001,32798000,287,0,7000001,0
20407,204,7,DamageDoneToTargetMonster,32798001,46641000,287,0,7000001,0
20408,204,8,DamageDoneToTargetMonster,46641001,62007000,287,0,7000001,0
20409,204,9,DamageDoneToTargetMonster,62007001,0,287,0,7000001,0
20501,205,1,DamageDoneToTargetMonster,0,8404000,287,0,7000001,0
20502,205,2,DamageDoneToTargetMonster,8404001,11641000,287,0,7000001,0
20503,205,3,DamageDoneToTargetMonster,11641001,17026000,287,0,7000001,0
20504,205,4,DamageDoneToTargetMonster,17026001,20454000,287,0,7000001,0
20505,205,5,DamageDoneToTargetMonster,20454001,26539000,287,0,7000001,0
20506,205,6,DamageDoneToTargetMonster,26539001,32798000,287,0,7000001,0
20507,205,7,DamageDoneToTargetMonster,32798001,46641000,287,0,7000001,0
20508,205,8,DamageDoneToTargetMonster,46641001,62007000,287,0,7000001,0
20509,205,9,DamageDoneToTargetMonster,62007001,0,287,0,7000001,0
20601,206,1,DamageDoneToTargetMonster,0,120000000,250,0,7000052,1
20602,206,2,DamageDoneToTargetMonster,120000001,200000000,250,0,7000052,1
20603,206,3,DamageDoneToTargetMonster,200000001,600000000,250,0,7000052,1
20604,206,4,DamageDoneToTargetMonster,600000001,1200000000,300,0,7000053,1
20605,206,5,DamageDoneToTargetMonster,1200000001,-1994967296,350,0,7000053,1
20606,206,6,DamageDoneToTargetMonster,-1994967295,-794967296,375,0,7000053,1
20607,206,7,DamageDoneToTargetMonster,-794967295,305032704,400,0,7000054,1
20608,206,8,DamageDoneToTargetMonster,305032705,1505032704,450,0,7000054,1
20609,206,9,DamageDoneToTargetMonster,1505032705,0,450,0,7000054,1
20701,207,1,DamageDoneToTargetMonster,0,175000000,250,0,7000043,1
20702,207,2,DamageDoneToTargetMonster,175000001,350000000,250,0,7000043,1
20703,207,3,DamageDoneToTargetMonster,350000001,689000000,250,0,7000043,1
20704,207,4,DamageDoneToTargetMonster,689000001,1310000000,300,0,7000044,1
20705,207,5,DamageDoneToTargetMonster,1310000001,-1894967296,375,0,7000044,1
20706,207,6,DamageDoneToTargetMonster,-1894967295,-912967296,400,0,7000044,1
20707,207,7,DamageDoneToTargetMonster,-912967295,205032704,475,0,7000045,1
20708,207,8,DamageDoneToTargetMonster,205032705,1505032704,550,0,7000045,1
20709,207,9,DamageDoneToTargetMonster,1505032705,0,550,0,7000045,1
20801,208,1,DamageDoneToTargetMonster,0,118000000,250,0,7000046,1
20802,208,2,DamageDoneToTargetMonster,118000001,400000000,251,0,7000046,1
20803,208,3,DamageDoneToTargetMonster,400000001,742000000,251,0,7000046,1
20804,208,4,DamageDoneToTargetMonster,742000001,1413000000,350,0,7000047,1
20805,208,5,DamageDoneToTargetMonster,1413000001,-1874967296,400,0,7000047,1
20806,208,6,DamageDoneToTargetMonster,-1874967295,-554967296,500,0,7000047,1
20807,208,7,DamageDoneToTargetMonster,-554967295,46032704,550,0,7000048,1
20808,208,8,DamageDoneToTargetMonster,46032705,1566032704,650,0,7000048,1
20809,208,9,DamageDoneToTargetMonster,1566032705,0,650,0,7000048,1
20901,209,1,DamageDoneToTargetMonster,0,178000000,250,0,7000055,1
20902,209,2,DamageDoneToTargetMonster,178000001,475000000,250,0,7000055,1
20903,209,3,DamageDoneToTargetMonster,475000001,890000000,250,0,7000055,1
20904,209,4,DamageDoneToTargetMonster,890000001,1364000000,350,0,7000056,1
20905,209,5,DamageDoneToTargetMonster,1364000001,-2100967296,400,0,7000056,1
20906,209,6,DamageDoneToTargetMonster,-2100967295,-1271967296,500,0,7000056,1
20907,209,7,DamageDoneToTargetMonster,-1271967295,-441967296,550,0,7000057,1
20908,209,8,DamageDoneToTargetMonster,-441967295,1099032704,650,0,7000057,1
20909,209,9,DamageDoneToTargetMonster,1099032705,0,650,0,7000057,1
21001,210,1,DamageDoneToTargetMonster,0,100000000,250,0,7000049,1
21002,210,2,DamageDoneToTargetMonster,100000001,280000000,250,0,7000049,1
21003,210,3,DamageDoneToTargetMonster,280000001,620000000,250,0,7000049,1
21004,210,4,DamageDoneToTargetMonster,620000001,1350000000,350,0,7000050,1
21005,210,5,DamageDoneToTargetMonster,1350000001,-1914967296,400,0,7000050,1
21006,210,6,DamageDoneToTargetMonster,-1914967295,-1014967296,500,0,7000050,1
21007,210,7,DamageDoneToTargetMonster,-1014967295,-44967296,550,0,7000051,1
21008,210,8,DamageDoneToTargetMonster,-44967295,1175032704,650,0,7000051,1
21009,210,9,DamageDoneToTargetMonster,1175032705,0,650,0,7000051,1
30101,301,1,DamageDoneToTargetMonster,0,600000,38,0,7000001,0
30102,301,2,DamageDoneToTargetMonster,600001,1000000,42,0,7000001,0
30103,301,3,DamageDoneToTargetMonster,1000001,1400000,46,0,7000001,0
