id,list_id,reward_info_tab_locale,reward_data_load_type,reward_data_load_sub_id
101,100,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10011
102,100,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10012
201,200,Locale_System:RECORD_REWARD_INFO_DUNGEON_01_NORMAL,EventDungeonDifficult,10131
203,200,Locale_System:RECORD_REWARD_INFO_DUNGEON_02_NORMAL,EventDungeonDifficult,10141
204,200,Locale_System:RECORD_REWARD_INFO_DUNGEON_02_HARD,EventDungeonDifficult,10142
301,300,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10101
302,300,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10102
401,400,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10121
402,400,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10122
501,500,Locale_System:RECORD_REWARD_INFO_DUNGEON_01_NORMAL,EventDungeonDifficult,10031
502,500,Locale_System:RECORD_REWARD_INFO_DUNGEON_02_NORMAL,EventDungeonDifficult,10041
503,500,Locale_System:RECORD_REWARD_INFO_DUNGEON_02_HARD,EventDungeonDifficult,10042
601,600,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10171
602,600,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10172
701,700,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10221
702,700,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10222
801,800,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10111
802,800,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10112
901,900,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10061
902,900,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10062
1001,1000,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10071
1002,1000,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10072
1101,1100,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10161
1102,1100,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10162
1201,1200,Locale_System:RECORD_REWARD_INFO_DUNGEON_NORMAL,EventDungeonDifficult,10281
1202,1200,Locale_System:RECORD_REWARD_INFO_DUNGEON_HARD,EventDungeonDifficult,10282
