id,manager_id,mission_localkey,mission_type,mission_target_id,mission_count,reward_id
10101,101,Locale_Event:event_sort_out_mission_01,GainPointCount,0,200000,20
10102,101,Locale_Event:event_sort_out_mission_02,GainPointCount,0,400000,20
10103,101,Locale_Event:event_sort_out_mission_03,GainPointCount,0,600000,20
10104,101,Locale_Event:event_sort_out_mission_04,GainPointCount,0,800000,20
10105,101,Locale_Event:event_sort_out_mission_05,GainPointCount,0,1000000,20
10106,101,Locale_Event:event_sort_out_mission_06,GainPointCount,0,1300000,8040007
10107,101,Locale_Event:event_sort_out_mission_07,OnceGainPointCount,0,7000,20
10108,101,Locale_Event:event_sort_out_mission_08,OnceGainPointCount,0,8000,20
10109,101,Locale_Event:event_sort_out_mission_09,OnceGainPointCount,0,9000,20
10110,101,Locale_Event:event_sort_out_mission_10,OnceGainPointCount,0,10500,20
10111,101,Locale_Event:event_sort_out_mission_11,OnceGainPointCount,0,12000,20
10112,101,Locale_Event:event_sort_out_mission_12,SortOutCount,101,1000,20
10113,101,Locale_Event:event_sort_out_mission_13,SortOutCount,101,3000,20
10114,101,Locale_Event:event_sort_out_mission_14,SortOutCount,101,5000,20
10115,101,Locale_Event:event_sort_out_mission_15,SortOutCount,102,2000,20
10116,101,Locale_Event:event_sort_out_mission_16,SortOutCount,102,3000,20
10117,101,Locale_Event:event_sort_out_mission_17,SortOutCount,104,300,8040006
