id,group_id,mission_locale_key,mission_type,mission_value,reward_id
101,1,Locale_Event:rope_running_mission_getscore,GetScore,150000,8160045
102,1,Locale_Event:rope_running_mission_getscore,GetScore,300000,8160046
103,1,Locale_Event:rope_running_mission_getscore,GetScore,450000,8160047
104,1,Locale_Event:rope_running_mission_getscore,GetScore,600000,8160048
105,1,Locale_Event:rope_running_mission_getscore,GetScore,800000,8160049
106,1,Locale_Event:rope_running_mission_getscore,GetScore,1000000,8160050
107,1,Locale_Event:rope_running_mission_movedistance,MoveDistance,1000,8160051
108,1,Locale_Event:rope_running_mission_movedistance,MoveDistance,3000,8160052
109,1,Locale_Event:rope_running_mission_movedistance,MoveDistance,5000,8160053
110,1,Locale_Event:rope_running_mission_movedistance,MoveDistance,7000,8160054
111,1,Locale_Event:rope_running_mission_getcoin,GetCoin,1000,8160055
112,1,Locale_Event:rope_running_mission_getcoin,GetCoin,3000,8160056
113,1,Locale_Event:rope_running_mission_getcoin,GetCoin,5000,8160057
114,1,Locale_Event:rope_running_mission_getcoin,GetCoin,7000,8160058
115,1,Locale_Event:rope_running_mission_getscoreonetime,GetScoreOneTime,50000,8160059
116,1,Locale_Event:rope_running_mission_getscoreonetime,GetScoreOneTime,100000,8160060
117,1,Locale_Event:rope_running_mission_getrushitem,GetRushItem,8,8160061
118,1,Locale_Event:rope_running_mission_getrushitem,GetRushItem,16,8160062
119,1,Locale_Event:rope_running_mission_getrushitem,GetRushItem,24,8160063
