id,contents_type,object_resource,interaction_range,interaction_marker_resource,wave_clear_type,wave_difficulty,recommend_squad_count,trigger_hp_type,trigger_fixed_hp,wave_start_delay,wave_time
4010103,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4010203,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4010303,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4020103,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4020203,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4020303,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4020403,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4020503,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4020603,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4030103,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4030203,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4030303,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4030403,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4030503,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4030603,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4030703,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4030803,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4030903,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
140301,Suppress,fsbg_io_signalgenerator_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Hard,3,Scaling,500000,0,18000
4040103,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4040203,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4040303,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4040403,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4040503,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4040603,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4040703,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4040803,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
4040903,Quest,fsbg_io_jammer_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,1,Scaling,500000,0,4500
140401,Suppress,fsbg_io_signalgenerator_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Hard,3,Scaling,500000,0,18000
950101,Suppress,fsbg_io_signalgenerator_001_01,1,sprite_btn_floating_interaction_surface_wavetrigger,Time,Easy,2,Fixed,1000000,0,6000
