id,group_id,slot_Type,name_localkey,description_localkey
100101,1001,Start,Locale_Event:dice_event_title_start,Locale_Event:dice_event_tutorial_start_01
100102,1001,Item,Locale_Event:dice_event_title_reward,Locale_Event:dice_event_tutorial_reward_01
100103,1001,Leisure,Locale_Event:dice_event_title_leisure,Locale_Event:dice_event_tutorial_leisure_01
100104,1001,Training,Locale_Event:dice_event_title_training,Locale_Event:dice_event_tutorial_training_01
100105,1001,Contract,Locale_Event:dice_event_title_contract,Locale_Event:dice_event_tutorial_contract_01
100106,1001,PoorCondition,Locale_Event:dice_event_title_poorcondition,Locale_Event:dice_event_tutorial_poorcondition_01
100107,1001,GoTo,Locale_Event:dice_event_title_goto,Locale_Event:dice_event_tutorial_goto_01
100108,1001,None,Locale_Event:dice_event_title_goto,Locale_Event:dice_event_tutorial_goto_01
100201,1002,Start,Locale_Event:dice_event_voltroad_title_start_01,Locale_Event:dice_event_voltroad_description_start_01
100202,1002,Item,Locale_Event:dice_event_voltroad_title_item_01,Locale_Event:dice_event_voltroad_description_item_01
100203,1002,Leisure,Locale_Event:dice_event_voltroad_title_leisure_01,Locale_Event:dice_event_voltroad_description_leisure_01
100204,1002,Training,Locale_Event:dice_event_voltroad_title_training_01,Locale_Event:dice_event_voltroad_description_training_01
100205,1002,Contract,Locale_Event:dice_event_voltroad_title_contract_01,Locale_Event:dice_event_voltroad_description_contract_01
100206,1002,PoorCondition,Locale_Event:dice_event_voltroad_title_poorcondition_01,Locale_Event:dice_event_voltroad_description_poorcondition_01
100207,1002,GoTo,Locale_Event:dice_event_voltroad_title_goto_01,Locale_Event:dice_event_voltroad_description_goto_01
100208,1002,None,Locale_Event:dice_event_voltroad_title_none_01,Locale_Event:dice_event_voltroad_description_none_01
100301,1003,Start,Locale_Event:dice_event_title_start,Locale_Event:dice_event_tutorial_start_01
100302,1003,Item,Locale_Event:dice_event_title_reward,Locale_Event:dice_event_tutorial_reward_01
100303,1003,Leisure,Locale_Event:dice_event_title_leisure,Locale_Event:dice_event_tutorial_leisure_01
100304,1003,Training,Locale_Event:dice_event_title_training,Locale_Event:dice_event_tutorial_training_01
100305,1003,Contract,Locale_Event:dice_event_title_contract,Locale_Event:dice_event_tutorial_contract_01
100306,1003,PoorCondition,Locale_Event:dice_event_title_poorcondition,Locale_Event:dice_event_tutorial_poorcondition_01
100307,1003,GoTo,Locale_Event:dice_event_title_goto,Locale_Event:dice_event_tutorial_goto_01
100308,1003,None,Locale_Event:dice_event_title_goto,Locale_Event:dice_event_tutorial_goto_01
100401,1004,Start,Locale_Event:dice_event_voltroad_title_start_01,Locale_Event:dice_event_voltroad_description_start_01
100402,1004,Item,Locale_Event:dice_event_voltroad_title_item_01,Locale_Event:dice_event_voltroad_description_item_01
100403,1004,Leisure,Locale_Event:dice_event_voltroad_title_leisure_01,Locale_Event:dice_event_voltroad_description_leisure_01
100404,1004,Training,Locale_Event:dice_event_voltroad_title_training_01,Locale_Event:dice_event_voltroad_description_training_01
100405,1004,Contract,Locale_Event:dice_event_voltroad_title_contract_01,Locale_Event:dice_event_voltroad_description_contract_01
100406,1004,PoorCondition,Locale_Event:dice_event_voltroad_title_poorcondition_01,Locale_Event:dice_event_voltroad_description_poorcondition_01
100407,1004,GoTo,Locale_Event:dice_event_voltroad_title_goto_01,Locale_Event:dice_event_voltroad_description_goto_01
100408,1004,None,Locale_Event:dice_event_voltroad_title_none_01,Locale_Event:dice_event_voltroad_description_none_01
