id,event_id,thumbnail,contents_type,contents_value,cooperation_daily_group,currency_id/0,ui_prefab,currency_id/1
10001,30001,None,MultiRaid,1,101,8000,common,
10002,30002,None,MultiRaid,2,101,8000,common,
10003,30003,None,MultiRaid,3,101,8000,common,
10004,30004,None,MultiRaid,4,101,8000,common,
10005,30005,None,MultiRaid,5,101,8000,common,
10006,30006,None,MultiRaid,6,101,8000,common,
10007,30007,None,MultiRaid,7,101,8000,common_hsta,
10008,30008,None,MultiRaid,8,101,8000,common_zeus,
10009,30009,None,MultiRaid,9,101,8000,common_dmtr,
10010,30010,None,MultiRaid,10,304,8000,common_psid,
10011,30011,None,MultiRaid,11,301,8000,common_hsta,
10012,30012,None,MultiRaid,12,301,8000,common_anmi,
10013,30013,None,MultiRaid,13,303,8000,common_zeus,
10014,30014,None,MultiRaid,14,301,8000,common_hsta,
10015,30015,None,MultiRaid,15,302,8000,common_dmtr,
10016,30016,None,MultiRaid,16,301,8000,bbg004_psid,
10017,30017,None,MultiRaid,17,301,8000,bbg004_zeus,
10018,30018,None,MultiRaid,18,302,8000,bbg004_dmtr,
10019,30019,None,MultiRaid,19,305,8000,eba003_zeus,
10020,30020,None,MultiRaid,20,305,8000,eba003_anmi,
10021,30021,None,MultiRaid,21,305,8000,eba003_psid,
10022,30022,None,MultiRaid,22,303,8000,common_hsta,
10023,30023,None,MultiRaid,23,302,8000,common_psid,
10024,30024,None,MultiRaid,24,304,8000,common_hsta,
10025,30025,None,MultiRaid,25,304,8000,common_hsta,
10026,30026,None,MultiRaid,26,303,8000,common_dmtr,
10027,30027,None,MultiRaid,27,301,8000,common_psid,
10028,30028,None,MultiRaid,28,301,8000,common_anmi,
10029,30029,None,MultiRaid,29,301,8000,common_hsta,
10030,30030,None,MultiRaid,30,301,8000,common_hsta,
10031,30031,None,MultiRaid,31,302,8000,common_dmtr,
10032,30032,None,MultiRaid,32,302,8000,common_psid,
10033,30033,None,MultiRaid,33,305,8000,eba003_hsta,
10034,30034,None,MultiRaid,34,305,8000,eba003_dmtr,
10035,30035,None,MultiRaid,35,305,8000,eba003_psid,
10036,30036,None,MultiRaid,36,301,8000,common_psid,
10037,30037,None,MultiRaid,37,304,8000,common_dmtr,
10038,30038,None,MultiRaid,38,303,8000,common_hsta,
10039,30039,None,MultiRaid,39,301,8000,common_hsta,
10040,30040,None,MultiRaid,40,301,8000,common_psid,
10041,30041,None,MultiRaid,41,301,8000,bbg004_psid,
10042,30042,None,MultiRaid,42,301,8000,bbg004_zeus,
10043,30043,None,MultiRaid,43,301,8000,bbg004_dmtr,
10044,30044,None,MultiRaid,44,303,8000,common_hsta,
10045,30045,None,MultiRaid,45,302,8000,common_hsta,
10046,30046,None,MultiRaid,46,305,8000,eba003_anmi,
10047,30047,None,MultiRaid,47,305,8000,eba003_dmtr,
10048,30048,None,MultiRaid,48,305,8000,eba003_psid,
10049,30049,None,MultiRaid,49,301,8000,common_dmtr,
10050,30050,None,MultiRaid,50,303,8000,common_psid,
10051,30051,None,MultiRaid,51,301,8000,common_hsta,
10052,30052,None,MultiRaid,52,304,8000,common_psid,
10053,30053,None,MultiRaid,53,303,8000,common_hsta,
10054,30054,None,MultiRaid,54,302,8000,common_dmtr,
10055,30055,None,MultiRaid,55,302,8000,common_hsta,
10056,30056,None,MultiRaid,56,302,8000,common_anmi,
10057,30057,None,MultiRaid,57,303,8000,common_psid,
10058,30058,None,MultiRaid,58,302,8000,common_hsta,
10059,30059,None,MultiRaid,59,305,8000,eba003_anmi,
10060,30060,None,MultiRaid,60,305,8000,eba003_dmtr,
10061,30061,None,MultiRaid,61,305,8000,eba003_psid,
10062,30062,None,MultiRaid,62,303,8000,common_psid,
10063,30063,None,MultiRaid,63,301,8000,common_psid,
10064,30064,None,MultiRaid,64,301,8000,common_dmtr,
10065,30065,None,MultiRaid,65,304,8000,common_hsta,
10066,30066,None,MultiRaid,66,302,8000,common_psid,
10067,30067,None,MultiRaid,67,302,8000,common_hsta,
10068,30068,None,MultiRaid,68,305,8000,eba003_dmtr,8100.0
10069,30069,None,MultiRaid,69,305,8000,eba003_zeus,8100.0
10070,30070,None,MultiRaid,70,305,8000,eba003_psid,8100.0
10071,30071,None,MultiRaid,71,302,8000,common_hsta,8100.0
10072,30072,None,MultiRaid,72,304,8000,common_hsta,8100.0
10073,30073,None,MultiRaid,73,302,8000,common_psid,8100.0
10074,30074,None,MultiRaid,74,302,8000,common_anmi,8100.0
10075,30075,None,MultiRaid,75,301,8000,common_zeus,8100.0
100101,300101,None,MultiRaid,101,201,8000,eba003_hsta,
100102,300102,None,MultiRaid,102,201,8000,eba003,
100103,300103,None,MultiRaid,103,201,8000,eba003_dmtr,
