id,group_id,cool_time_set_start_time,visit_cool_time_min,visit_cool_time_max,event_npc_active_prob,event_npc_force_visit_limit_time,event_npc_force_visit_prob,cool_time_set_end_time,call_npc_group_id,call_event_npc_group_id
100101,1001,0,2,2,0,0,0,300,1001,1002
100102,1001,300,3,4,500,1500,10000,3000,1001,1002
100103,1001,3000,3,5,1000,1000,10000,9000,1001,1002
100201,1002,0,2,2,0,0,0,3000,1003,1004
100202,1002,3000,3,4,1000,1500,10000,6000,1003,1004
100203,1002,6000,3,5,1500,2000,10000,9000,1003,1004
200101,2001,0,2,2,0,0,0,300,2001,2002
200102,2001,300,3,4,500,1500,10000,3000,2001,2002
200103,2001,3000,3,5,1000,1000,10000,9000,2001,2002
200201,2002,0,2,2,0,0,0,300,2003,2004
200202,2002,300,3,4,1000,1500,10000,6000,2003,2004
200203,2002,6000,3,5,1500,2000,10000,9000,2003,2004
300101,3001,0,2,2,0,0,0,300,3001,3002
300102,3001,300,3,4,500,1500,10000,3000,3001,3002
300103,3001,3000,3,5,1000,1000,10000,9000,3001,3002
300201,3002,0,2,2,0,0,0,300,3003,3004
300202,3002,300,3,4,1000,1500,10000,6000,3003,3004
300203,3002,6000,3,5,1500,2000,10000,9000,3003,3004
