id,group_id,timeline_loop,timeline_loop_delay,timeline_value,actiontype,actionknockback,proj_resource_id,proj_type,proj_amount,proj_duration,proj_afterduration,proj_aftercollide,proj_aftercollide_stat,proj_dmgcount,proj_dmgdelay,proj_size,proj_spd,actionvalue/0/actionvalue,actionvalue/1/actionvalue,actionvalue/2/actionvalue,actionvalue/3/actionvalue,actionvalue/4/actionvalue,actionvalue/5/actionvalue,proj_atk_range/0/proj_atk_range,proj_atk_range/1/proj_atk_range,proj_typevalue/0/proj_typevalue,proj_typevalue/1/proj_typevalue,proj_typevalue/2/proj_typevalue,proj_typevalue/3/proj_typevalue
1,1,True,0,0,MoveTarget_Keep,False,,None,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2,1,False,0,500,Stop,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,False,500,500,MoveTarget_Once,False,,None,0,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0
4,2,True,0,2000,Jump,False,,None,0,0,0,0,0,0,0,0,0,10,3,100,1000,20,500,0,0,0,0,0,0
5,2,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
6,2,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,45,0,0,0
7,2,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,90,0,0,0
8,2,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,135,0,0,0
9,2,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,180,0,0,0
10,2,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,225,0,0,0
11,2,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,270,0,0,0
12,2,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,315,0,0,0
13,3,True,0,0,MoveDir,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,False,0,500,None,False,NKS_fx_projectile_bullet_b01_e,Near,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
15,3,False,0,1000,MoveDir,False,,None,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
16,3,False,500,1500,None,False,NKS_fx_projectile_bullet_b01_e,Near,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
17,4,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
18,4,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,45,0,0,0
19,4,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,90,0,0,0
20,4,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,135,0,0,0
21,4,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,180,0,0,0
22,4,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,225,0,0,0
23,4,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,270,0,0,0
24,4,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,315,0,0,0
25,5,False,0,0,MoveTarget_Keep,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,False,0,0,Suicide,False,,None,0,0,0,0,0,0,0,0,0,500,5,27,0,0,0,0,0,0,0,0,0
27,6,False,0,0,None,False,NKS_fx_common_explosion_01,Trigger,1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
28,7,False,0,2000,Jump,False,,None,0,0,0,0,0,0,0,0,0,10,3,100,1000,20,500,0,0,0,0,0,0
29,7,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
30,7,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,45,0,0,0
31,7,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,90,0,0,0
32,7,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,135,0,0,0
33,7,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,180,0,0,0
34,7,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,225,0,0,0
35,7,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,270,0,0,0
36,7,False,0,2000,None,False,NKS_fx_projectile_bullet_a01_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,315,0,0,0
37,7,False,0,3000,Despawn,False,,None,0,0,0,0,0,0,0,0,0,10,100,0,0,0,0,0,0,0,0,0,0
38,8,False,0,0,MoveTarget_Once,False,,None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
39,9,False,0,0,MoveTarget_Keep,True,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,11,False,0,0,MoveDir,False,,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,12,False,0,0,MoveTarget_Keep,True,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,13,False,0,0,None,False,NKS_fx_monster_boss_grassland_boss_thunder_01,Linear_noncontrol,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0
43,14,False,0,0,None,False,NKS_fx_monster_boss_grassland_boss_thunder_01,Linear_noncontrol,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10,45,0,0,0
44,15,False,0,0,None,False,NKS_fx_monster_boss_grassland_boss_thunder_01,Linear_noncontrol,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10,90,0,0,0
45,16,False,0,0,None,False,NKS_fx_monster_boss_grassland_boss_thunder_01,Linear_noncontrol,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10,135,0,0,0
46,17,False,0,0,None,False,NKS_fx_projectile_bullet_b01_e,Trigger,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0
47,17,False,0,0,None,False,NKS_fx_monster_boss_grassland_boss_thunderDrop_01,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0
48,18,False,0,0,None,False,NKS_fx_projectile_bullet_b02_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,45,0,0,0
49,18,False,0,0,None,False,NKS_fx_projectile_bullet_b02_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,135,0,0,0
50,18,False,0,0,None,False,NKS_fx_projectile_bullet_b02_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,180,0,0,0
51,18,False,0,0,None,False,NKS_fx_projectile_bullet_b02_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,225,0,0,0
52,18,False,0,0,None,False,NKS_fx_projectile_bullet_b02_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,315,0,0,0
53,18,False,0,0,None,False,NKS_fx_projectile_bullet_b02_e,Linear_noncontrol,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0
54,19,True,0,0,MoveTarget_Keep,True,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,19,False,0,1999,Stop,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,19,False,0,2000,MoveTarget_Once,False,,None,0,0,0,0,0,0,0,0,0,2,300,0,0,0,0,0,0,0,0,0,0
57,19,False,300,2600,Stop,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,False,0,0,MoveTarget_Keep,True,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,120,False,0,500,Stop,True,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,121,False,0,0,Stop,True,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,True,0,0,MoveTarget_Keep,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,130,False,0,500,Stop,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,130,False,1000,510,MoveTarget_Once,False,,None,0,0,0,0,0,0,0,0,0,1,300,0,0,0,0,0,0,0,0,0,0
101001,101001,False,0,0,MoveTarget_Keep,True,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101003,101004,False,0,0,MoveDir,False,,None,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
101004,101004,False,0,500,None,False,NKS_fx_projectile_bullet_b01_e,Near,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
101005,101005,False,0,0,MoveDir,False,,None,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
101006,101005,False,0,500,None,False,NKS_fx_projectile_bullet_b01_e,Near,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
101007,101006,False,0,0,MoveDir,False,,None,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0
101008,101006,False,0,500,None,False,NKS_fx_projectile_bullet_b01_e,Near,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
101009,101007,False,0,0,MoveDir,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101010,101007,False,0,500,None,False,NKS_fx_projectile_bullet_b01_e,Near,1,300,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
101011,101008,False,0,0,MoveTarget_Keep,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101012,101008,False,0,0,Suicide,False,,None,0,0,0,0,0,0,0,0,0,500,5,101013,0,0,0,0,0,0,0,0,0
101013,101009,False,0,0,None,False,NKS_fx_common_explosion_01,Trigger,1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
101014,101010,False,0,0,MoveTarget_Keep,False,,None,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
101015,101010,False,0,0,MoveTarget_Keep,False,,None,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
101016,101010,False,0,500,MoveTarget_Keep,False,,None,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
101017,101010,False,0,501,MoveTarget_Keep,False,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
