id,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z
9,-17.5,1.0,12.0,0.0,0.0,0.0
8,-15.5,1.0,12.0,0.0,0.0,0.0
7,-13.0,1.0,12.0,0.0,0.0,0.0
6,-11.0,1.0,12.0,0.0,0.0,0.0
5,-9.0,1.0,12.0,0.0,0.0,0.0
4,-6.5,1.0,12.0,0.0,0.0,0.0
3,-4.5,1.0,12.0,0.0,0.0,0.0
2,-2.0,1.0,12.0,0.0,0.0,0.0
1,0.0,1.0,12.0,0.0,0.0,0.0
12,2.5,1.0,12.0,0.0,0.0,0.0
13,4.5,1.0,12.0,0.0,0.0,0.0
14,6.5,1.0,12.0,0.0,0.0,0.0
15,9.0,1.0,12.0,0.0,0.0,0.0
16,11.0,1.0,12.0,0.0,0.0,0.0
17,13.0,1.0,12.0,0.0,0.0,0.0
18,15.5,1.0,12.0,0.0,0.0,0.0
19,17.5,1.0,12.0,0.0,0.0,0.0
5001,-4.74,1.0,13.19,0.0,0.0,0.0
5002,-7.71,-0.37,12.0,0.0,0.0,0.0
5003,-10.46,-1.45,11.09,0.0,0.0,0.0
5004,-7.08,-0.37,12.0,0.0,0.0,0.0
5005,-9.3,-1.45,11.09,0.0,0.0,0.0
O_1315,3.91,13.12,14.65,0.0,0.0,0.0
O_130,2.3,13.5,18.21,0.0,0.0,0.0
O_150,6.38,13.88,19.08,0.0,0.0,0.0
O_113,-0.35,13.83,15.7,0.0,0.0,0.0
O_100,-2.48,14.1,19.86,0.0,0.0,0.0
O_1,-2.85,14.04,16.39,0.0,0.0,0.0
O_1C,-0.1,7.35,10.26,0.0,0.0,0.0
O_1L,-3.26,7.77,16.64,0.0,-56.0,0.0
O_7,-10.65,15.38,19.56,0.0,0.0,0.0
O_31,-5.05,14.39,16.32,0.0,0.0,0.0
O_10,-3.05,14.81,20.36,0.0,0.0,0.0
O_2,-4.88,14.36,16.51,0.0,0.0,0.0
O_30,-7.34,14.61,20.29,0.0,0.0,0.0
O_300,-6.87,14.29,20.52,0.0,0.0,0.0
O_13,1.66,13.61,15.5,0.0,0.0,0.0
O_S_300,-7.02,13.37,20.71,0.0,0.0,0.0
O_19,14.95,13.51,14.52,0.0,0.0,0.0
O_1315C,6.68,6.23,12.38,0.0,0.0,0.0
OP_center,0.5,0.5,0.0,0.0,0.0,0.0
OP_leftup,0.22,0.13,0.0,0.0,0.0,0.0
OP_rightup,0.78,0.13,0.0,0.0,0.0,0.0
OP_centerup,0.5,0.13,0.0,0.0,0.0,0.0
OP_left,0.22,0.5,0.0,0.0,0.0,0.0
OP_right,0.78,0.5,0.0,0.0,0.0,0.0
OP_kilo,0.7,0.7,0.0,0.0,0.0,0.0
OP_kilo_center,0.5,0.7,0.0,0.0,0.0,0.0
event,0.0,-7.5,12.0,0.0,0.0,0.0
fx_vn_fire_ptc_01,0.0,-7.5,12.0,0.0,0.0,0.0
fx_vn_spark,0.9,1.55,12.81,0.0,0.0,0.0
fx_vn_fire_ptc_02,1.39,-17.0,13.7,0.0,0.0,0.0
zero,0.0,0.0,0.0,0.0,0.0,0.0
fx_EventScene_Chap_07_02_smoke,1.17,2.44,3.95,0.0,0.0,0.0
fx_EventScene_Chap_07_02_crack,0.58,2.12,6.67,0.0,0.0,0.0
fx_EventScene_Chap_04_05_blood,-1.32,-0.82,0.0,0.0,0.0,0.0
fx_EventScene_Chap_04_05_deco,-1.77,-0.71,2.12,0.0,0.0,0.0
fx_EventScene_Chap_04_05_flare,-3.63,0.82,12.54,0.0,0.0,0.0
rec,0.0,0.0,3.5,0.0,0.0,0.0
fx_EventScene_Chap_22_06_flare,0.0,0.0,0.0,0.0,0.0,0.0
fx_EventScene_Chap_22_02_aura,0.0,0.0,0.0,0.0,0.0,0.0
fx_EventScene_Chap_22_02_light,0.0,0.0,0.0,0.0,0.0,0.0
fx_EventScene_Chap_24_04_smoke,5.21,10.22,12.0,0.0,0.0,0.0
