id,wave_data_group_id,wave_order,wave_start_waiting_time,wave_fast_start_reward_gold,next_wave_call_time,wave_type,wave_path_group_id,wave_represent_monster,challenge_score
100110101,1001101,1,0,15,1500,Normal,100110101,1001101101,0
100110102,1001101,2,2000,20,2000,Normal,100110102,1001102101,0
100110103,1001101,3,2000,20,2000,Normal,100110103,1001102101,0
100110104,1001101,4,2500,25,1500,Normal,100110104,1001105101,0
100110105,1001101,5,3500,35,3000,Normal,100110105,1001105101,0
100110106,1001101,6,3000,30,3500,Normal,100110106,1001201101,0
100110201,1001102,1,0,10,1000,Normal,100110201,1001101101,0
100110202,1001102,2,3000,30,3000,Normal,100110202,1001102101,0
100110203,1001102,3,1500,15,1500,Normal,100110203,1001105101,0
100110204,1001102,4,2000,20,2000,Normal,100110204,1001105101,0
100110205,1001102,5,3000,30,3500,Normal,100110205,1001102101,0
100110206,1001102,6,4000,40,3000,Normal,100110206,1001105101,0
100110207,1001102,7,4500,45,5000,Normal,100110207,1001201101,0
100110301,1001103,1,0,20,2000,Normal,100110301,1001102101,0
100110302,1001103,2,2500,25,2000,Normal,100110302,1001105101,0
100110303,1001103,3,3000,30,2000,Normal,100110303,1001102101,0
100110304,1001103,4,3500,35,2500,Normal,100110304,1001105101,0
100110305,1001103,5,3000,30,3000,Normal,100110305,1001105101,0
100110306,1001103,6,3000,30,2500,Normal,100110306,1001102101,0
100110307,1001103,7,4000,40,4500,Normal,100110307,1001201101,0
100110401,1001104,1,0,15,1000,Normal,100110401,1001103101,0
100110402,1001104,2,2000,20,1500,Normal,100110402,1001105101,0
100110403,1001104,3,2500,25,1500,Normal,100110403,1001104101,0
100110404,1001104,4,3500,35,2500,Normal,100110404,1001104101,0
100110405,1001104,5,3500,35,3000,Normal,100110405,1001106101,0
100110406,1001104,6,3500,35,2000,Normal,100110406,1001106101,0
100110407,1001104,7,4000,40,4000,Normal,100110407,1001202101,0
100110501,1001105,1,0,25,2000,Normal,100110501,1001105101,0
100110502,1001105,2,3000,30,2000,Normal,100110502,1001102101,0
100110503,1001105,3,3000,30,3000,Normal,100110503,1001105101,0
100110504,1001105,4,2500,25,1500,Normal,100110504,1001105101,0
100110505,1001105,5,2000,20,2500,Normal,100110505,1001105101,0
100110506,1001105,6,4000,40,3500,Normal,100110506,1001105101,0
100110507,1001105,7,3000,30,1500,Normal,100110507,1001105101,0
100110508,1001105,8,3000,30,3000,Normal,100110508,1001201101,0
100110601,1001106,1,0,25,2000,Normal,100110601,1001105101,0
100110602,1001106,2,3000,30,2500,Normal,100110602,1001102101,0
100110603,1001106,3,3500,35,3500,Normal,100110603,1001104101,0
100110604,1001106,4,3500,35,2500,Normal,100110604,1001106101,0
100110605,1001106,5,3000,30,2500,Normal,100110605,1001104101,0
100110606,1001106,6,3500,35,3000,Normal,100110606,1001105101,0
100110607,1001106,7,3500,35,4000,Normal,100110607,1001201101,0
100110608,1001106,8,3500,35,2000,Normal,100110608,1001106101,0
100110609,1001106,9,4000,40,4000,Normal,100110609,1001202101,0
100110701,1001107,1,0,25,2500,Normal,100110701,1001107101,0
100110702,1001107,2,3000,30,2000,Normal,100110702,1001108101,0
100110703,1001107,3,4000,40,3500,Normal,100110703,1001108101,0
100110704,1001107,4,3500,35,2000,Normal,100110704,1001107101,0
100110705,1001107,5,4500,45,3500,Normal,100110705,1001108101,0
100110706,1001107,6,4000,40,3000,Normal,100110706,1001108101,0
100110707,1001107,7,5000,50,5000,Normal,100110707,1001108101,0
100110708,1001107,8,3500,35,3500,Normal,100110708,1001104101,0
100110709,1001107,9,3500,35,3500,Normal,100110709,1001203101,0
100110801,1001108,1,0,25,2000,Normal,100110801,1001107101,0
100110802,1001108,2,3500,35,3500,Normal,100110802,1001108101,0
100110803,1001108,3,3000,30,2500,Normal,100110803,1001108101,0
100110804,1001108,4,3000,30,2500,Normal,100110804,1001105101,0
100110805,1001108,5,3000,30,2500,Normal,100110805,1001108101,0
100110806,1001108,6,4000,40,4000,Normal,100110806,1001105101,0
100110807,1001108,7,3000,30,2500,Normal,100110807,1001108101,0
100110808,1001108,8,3000,30,3000,Normal,100110808,1001108101,0
100110809,1001108,9,3500,35,2500,Normal,100110809,1001105101,0
100110810,1001108,10,4000,40,4000,Normal,100110810,1001203101,0
100110901,1001109,1,0,30,2000,Normal,100110901,1001108101,0
100110902,1001109,2,3000,30,3000,Normal,100110902,1001103101,0
100110903,1001109,3,3000,30,2500,Normal,100110903,1001104101,0
100110904,1001109,4,3000,30,2500,Normal,100110904,1001105101,0
100110905,1001109,5,3500,35,3000,Normal,100110905,1001106101,0
100110906,1001109,6,3500,35,3500,Normal,100110906,1001104101,0
100110907,1001109,7,3500,35,2000,Normal,100110907,1001106101,0
100110908,1001109,8,4000,40,5000,Normal,100110908,1001202101,0
100110909,1001109,9,4000,40,3500,Normal,100110909,1001104101,0
100110910,1001109,10,4000,40,3000,Normal,100110910,1001103101,0
100110911,1001109,11,4500,45,4500,Normal,100110911,1001203101,0
100111001,1001110,1,0,35,3000,Normal,100111001,1001105101,0
100111002,1001110,2,4000,40,3500,Normal,100111002,1001111101,0
100111003,1001110,3,4000,40,4000,Normal,100111003,1001113101,0
100111004,1001110,4,3500,35,2000,Normal,100111004,1001113101,0
100111005,1001110,5,3500,35,3000,Normal,100111005,1001113101,0
100111006,1001110,6,3500,35,3000,Normal,100111006,1001111101,0
100111007,1001110,7,3000,30,2000,Normal,100111007,1001111101,0
100111008,1001110,8,3500,35,3500,Normal,100111008,1001113101,0
100111009,1001110,9,5000,50,5000,Normal,100111009,1001204101,0
100111101,1001111,1,0,35,3000,Normal,100111101,1001105101,0
100111102,1001111,2,3000,30,3000,Normal,100111102,1001113101,0
100111103,1001111,3,4000,40,3000,Normal,100111103,1001113101,0
100111104,1001111,4,4000,40,3000,Normal,100111104,1001111101,0
100111105,1001111,5,4000,40,4000,Normal,100111105,1001111101,0
100111106,1001111,6,4500,45,4500,Normal,100111106,1001113101,0
100111107,1001111,7,3000,30,2500,Normal,100111107,1001113101,0
100111108,1001111,8,3000,30,3000,Normal,100111108,1001111101,0
100111109,1001111,9,3000,30,2500,Normal,100111109,1001201101,0
100111110,1001111,10,3000,30,2500,Normal,100111110,1001113101,0
100111111,1001111,11,4000,40,2500,Normal,100111111,1001111101,0
100111112,1001111,12,4500,45,4500,Normal,100111112,1001203101,0
100111201,1001112,1,0,35,3000,Normal,100111201,1001111101,0
100111202,1001112,2,3000,30,3000,Normal,100111202,1001111101,0
100111203,1001112,3,3000,30,3000,Normal,100111203,1001113101,0
100111204,1001112,4,3500,35,3500,Normal,100111204,1001111101,0
100111205,1001112,5,4000,40,4500,Normal,100111205,1001111101,0
100111206,1001112,6,4000,40,4000,Normal,100111206,1001111101,0
100111207,1001112,7,3000,30,3000,Normal,100111207,1001111101,0
100111208,1001112,8,4000,40,3500,Normal,100111208,1001111101,0
100111209,1001112,9,3000,30,3000,Normal,100111209,1001111101,0
100111210,1001112,10,3000,30,2500,Normal,100111210,1001111101,0
