id,group_id,item_id
1,1,100101
2,1,100102
3,1,100103
4,2,100201
5,2,100202
6,2,100203
7,3,100101
8,3,100301
9,3,100401
10,3,100601
11,3,100701
12,4,100101
13,4,100201
14,5,100801
15,6,100101
16,6,100201
151,6,100301
152,6,100401
153,6,100501
154,6,100701
201,11,100103
202,11,100204
203,11,100302
204,11,100402
205,11,100504
206,11,100701
301,201,100101
302,201,100102
303,201,100103
304,201,100201
305,201,100202
306,201,100203
401,401,100101
402,401,100201
403,401,100301
404,401,100401
405,401,100501
406,401,100701
