id,name_localkey,commonsettingsid,missioncategory,targettype,target_id,missioncount,reward_type,reward_value,missionvalue/0/conditiontype,missionvalue/0/conditionid,missionvalue/1/conditiontype,missionvalue/1/conditionid,missionvalue/2/conditiontype,missionvalue/2/conditionid
1,Locale_Event:Event_NKS_Mission_Name_1,1,DailyPoint,DailyPointReward,0,20,Item,8119045,None,0,None,0,None,0
2,Locale_Event:Event_NKS_Mission_Name_2,1,DailyPoint,DailyPointReward,0,40,Item,8119046,None,0,None,0,None,0
3,Locale_Event:Event_NKS_Mission_Name_3,1,DailyPoint,DailyPointReward,0,60,Item,8119047,None,0,None,0,None,0
4,Locale_Event:Event_NKS_Mission_Name_4,1,DailyPoint,DailyPointReward,0,80,Item,8119048,None,0,None,0,None,0
5,Locale_Event:Event_NKS_Mission_Name_5,1,DailyPoint,DailyPointReward,0,100,Item,8119049,None,0,None,0,None,0
6,Locale_Event:Event_NKS_Mission_Name_11,1,DailyMission,Monster_KillCount,0,100,DailyPoint,20,None,0,None,0,None,0
7,Locale_Event:Event_NKS_Mission_Name_12,1,DailyMission,Monster_KillCount,0,200,DailyPoint,20,None,0,None,0,None,0
8,Locale_Event:Event_NKS_Mission_Name_13,1,DailyMission,Monster_KillCount,0,400,DailyPoint,20,None,0,None,0,None,0
9,Locale_Event:Event_NKS_Mission_Name_14,1,DailyMission,AliveTimeCount,0,120,DailyPoint,20,None,0,None,0,None,0
10,Locale_Event:Event_NKS_Mission_Name_15,1,DailyMission,AliveTimeCount,0,300,DailyPoint,20,None,0,None,0,None,0
11,Locale_Event:Event_NKS_Mission_Name_16,1,DailyMission,AliveTimeCount,0,600,DailyPoint,20,None,0,None,0,None,0
12,Locale_Event:Event_NKS_Mission_Name_17,1,DailyMission,LevelUp_Count,0,5,DailyPoint,20,None,0,None,0,None,0
13,Locale_Event:Event_NKS_Mission_Name_18,1,DailyMission,LevelUp_Count,0,10,DailyPoint,20,None,0,None,0,None,0
14,Locale_Event:Event_NKS_Mission_Name_19,1,DailyMission,LevelUp_Count,0,15,DailyPoint,20,None,0,None,0,None,0
15,Locale_Event:Event_NKS_Mission_Name_901,1,DailyMission,StageEnter,11,1,DailyPoint,100,None,0,None,0,None,0
101001,Locale_Event:Event_NKS_Mission_Name_101,1,ChallengeMission,StageClear,1,1,Item,8119051,None,0,None,0,None,0
101002,Locale_Event:Event_NKS_Mission_Name_102,1,ChallengeMission,StageClear,2,1,Item,8119052,None,0,None,0,None,0
102001,Locale_Event:Event_NKS_Mission_Name_106,1,ChallengeMission,StageClear,3,1,Item,8119056,None,0,None,0,None,0
102002,Locale_Event:Event_NKS_Mission_Name_107,1,ChallengeMission,StageClear,4,1,Item,8119057,None,0,None,0,None,0
