id,level_scaling_group,world_id,contents_type,sector,difficulty,is_extra_difficulty,contents_level,standard_battle_power,recommend_squad_count,wave_trigger_hp,target_wave_preset_order
104020101,1040201,4,Suppress,1,1,False,8,50000,3,9296,1
104020102,1040201,4,Suppress,2,2,False,18,53000,3,29379,2
104020103,1040201,4,Suppress,3,3,False,28,82000,3,45124,3
104020104,1040201,4,Suppress,4,4,False,38,108000,3,59733,4
104030101,1040301,4,Suppress,1,1,False,8,50000,3,9296,1
104030102,1040301,4,Suppress,2,2,False,18,53000,3,29379,2
104030103,1040301,4,Suppress,3,3,False,28,82000,3,45124,3
104030104,1040301,4,Suppress,4,4,False,38,108000,3,59733,4
204030101,2040301,4,Suppress,1,1,False,1,50000,3,9296,1
204030102,2040301,4,Suppress,2,2,False,11,53000,3,29379,1
204030103,2040301,4,Suppress,3,3,False,21,82000,3,45124,1
204030104,2040301,4,Suppress,4,4,False,31,108000,3,59733,1
205010101,2050101,5,Suppress,1,1,False,1,50000,2,48917,1
304010101,3040101,4,Quest,1,1,False,1,50000,1,3099,1
304010102,3040101,4,Quest,2,2,False,11,53000,1,9793,1
304010103,3040101,4,Quest,3,3,False,21,82000,1,15041,1
304010104,3040101,4,Quest,4,4,False,31,108000,1,19911,1
304020101,3040201,4,Quest,1,1,False,4,50000,1,3099,1
304020102,3040201,4,Quest,2,2,False,14,53000,1,9793,1
304020103,3040201,4,Quest,3,3,False,24,82000,1,15041,1
304020104,3040201,4,Quest,4,4,False,34,108000,1,19911,1
304030101,3040301,4,Quest,1,1,False,8,50000,1,3099,1
304030102,3040301,4,Quest,2,2,False,18,53000,1,9793,1
304030103,3040301,4,Quest,3,3,False,28,82000,1,15041,1
304030104,3040301,4,Quest,4,4,False,38,108000,1,19911,1
