id,art_map_change_value,hud_change_value,interaction_marker_change_value,name_tag_change_value,pp_change_value,sky_box_change_value
1,febg_christmas_001_02,,,,,
1000101,febg_christmas_001_02,hud_event_field_miraclesnow,sprite_btn_event_miralcesnow,sprite_event_miralcesnow_npc_tag,pp_field_iceland,
1000102,febg_christmas_001_04,hud_event_field_miraclesnow,sprite_btn_event_miralcesnow,sprite_event_miralcesnow_npc_tag,pp_field_iceland,
1000701,febg_mothership_001_02,hud_event_field_redash_part1,sprite_btn_event_redash,sprite_event_redash_npc_tag,pp_field_mothership_001_02,
1000702,febg_mothership_001_03,hud_event_field_redash_part1,sprite_btn_event_redash,sprite_event_redash_npc_tag,pp_field_mothership_001_03,
1000703,febg_mothership_001_02,hud_event_field_redash_part2,sprite_btn_event_redash,sprite_event_redash_npc_tag,pp_field_mothership_001_02,
1000704,febg_mothership_001_04,hud_event_field_redash_part2,sprite_btn_event_redash,sprite_event_redash_npc_tag,pp_field_mothership_001_04,
1000705,febg_mothership_001_05,hud_event_field_redash_part2,sprite_btn_event_redash,sprite_event_redash_npc_tag,pp_field_mothership_001_05,
1000706,febg_mothership_001_01,hud_event_field_redash_part2,sprite_btn_event_redash,sprite_event_redash_npc_tag,pp_field_mothership_001_01,
1000707,febg_mothership_001_03,hud_event_field_redash_part2,sprite_btn_event_redash,sprite_event_redash_npc_tag,pp_field_mothership_001_03,
1000708,febg_mothership_001_01,hud_event_field_redash_part1,sprite_btn_event_redash,sprite_event_redash_npc_tag,pp_field_mothership_001_01,
1000501,febg_tropical_002_03,hud_event_field_seayouagain_daytime,sprite_btn_event_seayouagain,sprite_event_seayouagain,,
1000502,febg_tropical_002_02,hud_event_field_seayouagain_storm,sprite_btn_event_seayouagain,sprite_event_seayouagain,,
1000503,febg_tropical_002_01,hud_event_field_seayouagain_night,sprite_btn_event_seayouagain,sprite_event_seayouagain,pp_field_tropical,
1001001,febg_oldcastle_001_01,hud_event_field_lastkingdom,sprite_btn_event_lastkingdom,sprite_event_lastkingdom_npc_tag,pp_field_oldcastle_001_01,
1001002,febg_oldcastle_001_02,hud_event_field_lastkingdom,sprite_btn_event_lastkingdom,sprite_event_lastkingdom_npc_tag,pp_field_oldcastle_001_02,
1001003,febg_oldcastle_001_03,hud_event_field_lastkingdom,sprite_btn_event_lastkingdom,sprite_event_lastkingdom_npc_tag,pp_field_oldcastle_001_03,
1001004,febg_oldcastle_001_04,hud_event_field_lastkingdom,sprite_btn_event_lastkingdom,sprite_event_lastkingdom_npc_tag,pp_field_oldcastle_001_01,
1000801,febg_hotspring_001_02,hud_event_field_neverland,sprite_btn_event_neverland,sprite_event_neverland_npc_tag,pp_field_hotspring,fbg_iceland_skybox
1000802,febg_hotspring_001_01,hud_event_field_neverland,sprite_btn_event_neverland,sprite_event_neverland_npc_tag,pp_field_hotspring,fbg_iceland_skybox
1001301,febg_mmrschool_001_02,hud_event_field_ce004_01,sprite_btn_event_ce004,sprite_event_ce004_npc_tag,pp_field_school_001_01,
1001302,febg_mmrschool_001_02,hud_event_field_ce004_02,sprite_btn_event_ce004,sprite_event_ce004_npc_tag,pp_field_school_001_01,
1001303,febg_mmrschool_001_02,hud_event_field_ce004_01,sprite_btn_event_ce004,sprite_event_ce004_npc_tag,pp_field_school_001_01,
1001601,febg_mirrordimension_001_01,hud_event_field_oldtales_02,sprite_btn_event_oldtales_02,sprite_event_oldtales_npc_tag_02,pp_field_mirrordimension_001_01,
1001602,febg_mirrordimension_001_01,hud_event_field_oldtales_01,sprite_btn_event_oldtales_01,sprite_event_oldtales_npc_tag_01,pp_field_mirrordimension_001_02,
1001603,febg_mirrordimension_001_01,hud_event_field_oldtales_02,sprite_btn_event_oldtales_02,sprite_event_oldtales_npc_tag_02,pp_field_mirrordimension_001_01,
1001604,febg_mirrordimension_001_01,hud_event_field_oldtales_03,sprite_btn_event_oldtales_03,sprite_event_oldtales_npc_tag_03,pp_field_mirrordimension_001_03,
1001201,febg_tropical_003_01,hud_event_field_beautyfullshot_daytime,sprite_btn_event_beautyfullshot,sprite_event_beautyfullshot_npc_tag,pp_field_tropical_day,
1001202,febg_tropical_003_02,hud_event_field_beautyfullshot_daytime,sprite_btn_event_beautyfullshot,sprite_event_beautyfullshot_npc_tag,pp_field_tropical_day,
1001203,febg_tropical_003_03,hud_event_field_beautyfullshot_night,sprite_btn_event_beautyfullshot,sprite_event_beautyfullshot_npc_tag,pp_field_tropical,
1001204,febg_tropical_003_04,hud_event_field_beautyfullshot_daytime,sprite_btn_event_beautyfullshot,sprite_event_beautyfullshot_npc_tag,pp_field_tropical_day,
