id,group_id,order,timelineaction,timelinevalue/0/timelinevalue,timelinevalue/1/timelinevalue,timelinevalue/2/timelinevalue
1,1,1,BalloonDisplay,BalloonID,SocketID,
2,1,2,CamPointMove,CamPointID,BlendTime,
3,1,2,CamZoomAdjust,Float,,
4,1,2,Wait,Float,,
5,1,3,BalloonDisplay,BalloonID,SocketID,
6,1,3,CamShake,Float,ShakeTime,
7,1,4,BalloonDisplay,BalloonID,SocketID,
8,1,5,CamPointReturnPlayer,MaxSpeed,,
9,1,6,PlayTimelineAnimation,ResourceAddressable,,
10,9999,1,Wait,3,,
11,9999,2,FadeIn,1,,
12,9999,3,CamPointMove,2001,,
13,9999,4,CamZoomAdjust,2,,
14,9999,5,CamShake,5.5,200,
15,9999,6,PlayTimelineAnimation,MVG_timeline_test,,
16,9999,7,PlayBGM,BGM,,
17,9999,8,PlaySE,SE,,
18,9999,9,BalloonDisplay,5,,
19,9999,10,ObjectStatusChange,World_Level_2,8001,anim_OFF
20,9999,11,FadeOut,1,,
21,9999,12,CamPointReturnPlayer,1,,
22,9999,13,ReturnToOriginalRoom,9006,,
23,9999,14,EndTableTimeline,,,
10100,10100,1,CamPointMove,10100,0.3,
10101,10100,1,CamZoomAdjust,1.4,,
10102,10100,2,BalloonDisplay,10100,Player,
10103,10100,3,BalloonDisplay,10101,Player,
10104,10100,4,CamPointReturnPlayer,0.3,,
10105,10100,4,CamZoomAdjust,1,,
10106,10100,5,EndTableTimeline,,,
10200,10200,1,CamZoomAdjust,1.2,,
10201,10200,2,BalloonDisplay,10200,Player,
10202,10200,3,BalloonDisplay,10201,Player,
10203,10200,4,CamZoomAdjust,1,,
10204,10200,5,CamPointReturnPlayer,0.3,,
10205,10200,5,EndTableTimeline,,,
10300,10300,1,CamPointMove,10200,0.3,
10301,10300,2,StartBossIntroDisplay,EventMVG_BossName_01,,
10302,10300,3,CamPointReturnPlayer,0.3,,
10303,10300,4,EndTableTimeline,,,
10310,10310,1,CamPointMove,10310,0.3,
10311,10310,2,StartBossIntroDisplay,EventMVG_BossName_02,,
10312,10310,3,CamPointReturnPlayer,0.3,,
10313,10310,4,EndTableTimeline,,,
10320,10320,1,CamPointMove,10320,0.3,
10321,10320,2,StartBossIntroDisplay,EventMVG_BossName_03,,
10322,10320,3,CamPointReturnPlayer,0.3,,
10323,10320,4,EndTableTimeline,,,
10330,10330,1,CamPointMove,10330,0.3,
10331,10330,2,StartBossIntroDisplay,EventMVG_BossName_04,,
10332,10330,3,CamPointReturnPlayer,0.3,,
10333,10330,4,EndTableTimeline,,,
10340,10340,1,CamPointMove,10340,0.3,
10341,10340,2,StartBossIntroDisplay,EventMVG_BossName_05,,
10342,10340,3,CamPointReturnPlayer,0.3,,
10343,10340,4,EndTableTimeline,,,
10350,10350,1,CamPointMove,10350,0.3,
10351,10350,2,StartBossIntroDisplay,EventMVG_BossName_06,,
10352,10350,3,CamPointReturnPlayer,0.3,,
10353,10350,4,EndTableTimeline,,,
10360,10360,1,CamPointMove,10360,0.3,
10361,10360,2,StartBossIntroDisplay,EventMVG_BossName_07,,
10362,10360,3,CamPointReturnPlayer,0.3,,
10363,10360,4,EndTableTimeline,,,
10370,10370,1,CamPointMove,10370,0.3,
10371,10370,2,StartBossIntroDisplay,EventMVG_BossName_08,,
10372,10370,3,CamPointReturnPlayer,0.3,,
10373,10370,4,EndTableTimeline,,,
10380,10380,1,CamPointMove,10380,0.3,
10381,10380,2,StartBossIntroDisplay,EventMVG_BossName_09,,
10382,10380,3,CamPointReturnPlayer,0.3,,
10383,10380,4,EndTableTimeline,,,
10400,10400,1,CamZoomAdjust,1.2,,
10401,10400,2,BalloonDisplay,10400,Player,
10402,10400,3,BalloonDisplay,10401,Player,
10403,10400,4,BalloonDisplay,10402,Player,
10404,10400,5,CamZoomAdjust,1,,
10405,10400,6,CamPointReturnPlayer,1,,
10406,10400,7,ObjectStatusChange,C1_1_07,141,anim_ON
10407,10400,8,ObjectStatusChange,C1_1_07,142,anim_ON
10408,10400,9,EndTableTimeline,,,
20100,20100,1,CamZoomAdjust,1.2,,
20101,20100,2,BalloonDisplay,20100,Player,
20102,20100,3,BalloonDisplay,20101,Player,
20103,20100,4,CamZoomAdjust,1,,
20104,20100,4,CamPointReturnPlayer,1,,
20105,20100,5,EndTableTimeline,,,
20200,20200,1,ObjectStatusChange,C2_1_07,221,anim_ON
20201,20200,2,ObjectStatusChange,C2_1_07,222,anim_ON
20202,20200,3,EndTableTimeline,,,
20300,20300,1,CamZoomAdjust,1.2,,
20301,20300,2,BalloonDisplay,20300,Player,
20302,20300,3,BalloonDisplay,20301,Player,
20303,20300,4,CamZoomAdjust,1,,
20304,20300,4,CamPointReturnPlayer,1,,
20305,20300,5,ObjectStatusChange,C2_1_07,221,anim_ON
20306,20300,6,ObjectStatusChange,C2_1_07,222,anim_ON
20307,20300,7,EndTableTimeline,,,
30100,30100,1,CamZoomAdjust,1.2,,
30101,30100,2,BalloonDisplay,30101,Player,
30102,30100,3,BalloonDisplay,30102,Player,
30103,30100,4,CamZoomAdjust,1,,
30104,30100,4,CamPointReturnPlayer,1,,
30105,30100,5,EndTableTimeline,,,
30200,30200,1,CamZoomAdjust,1.2,,
30201,30200,2,BalloonDisplay,30200,Player,
30202,30200,3,BalloonDisplay,30201,Player,
30203,30200,4,BalloonDisplay,30202,Player,
30204,30200,5,CamPointReturnPlayer,1,,
30205,30200,6,ObjectStatusChange,C3_1_09,321,anim_ON
30206,30200,7,EndTableTimeline,,,
40100,40100,1,ObjectStatusChange,C4_1_14,411,anim_ON
40101,40100,2,FadeOut,1,,
40102,40100,3,LoadTimelineAnimation,MVG_ScenarioTimeline_Chapter4,,
40103,40100,4,FadeIn,1,,
40104,40100,5,PlayTimelineAnimation,MVG_ScenarioTimeline_Chapter4,,
40105,40100,6,ReturnToOriginalRoom,510,C5_1_30,
40106,40100,8,EndTableTimeline,,,
50100,50100,1,ObjectStatusChange,C5_1_10,511,anim_ON
50101,50100,2,ObjectStatusChange,C5_1_10,512,anim_ON
50102,50100,3,EndTableTimeline,,,
50200,50200,1,CamZoomAdjust,1.2,,
50201,50200,2,BalloonDisplay,50200,Player,
50202,50200,3,BalloonDisplay,50201,Player,
50203,50200,4,BalloonDisplay,50202,Player,
50204,50200,5,BalloonDisplay,50203,Player,
50205,50200,6,BalloonDisplay,50204,Player,
50206,50200,7,EndTableTimeline,,,
