id,monster_name_localkey,monster_image,element_id
300101,Locale_System:MULTIRAID_COOPERATION_NAME_101,full_eba003_hsta,100001
300102,Locale_System:MULTIRAID_COOPERATION_NAME_102,full_eba003,300001
300103,Locale_System:MULTIRAID_COOPERATION_NAME_103,full_eba003_dmtr,500001
30016,Locale_System:MULTIRAID_COOPERATION_NAME_16,full_bbg004_psid,200001
30017,Locale_System:MULTIRAID_COOPERATION_NAME_17,full_bbg004_zeus,400001
30018,Locale_System:MULTIRAID_COOPERATION_NAME_18,full_bbg004_dmtr,500001
30019,Locale_System:MULTIRAID_COOPERATION_NAME_101,full_eba003_zeus,400001
30020,Locale_System:MULTIRAID_COOPERATION_NAME_102,full_eba003_anmi,300001
30021,Locale_System:MULTIRAID_COOPERATION_NAME_103,full_eba003_psid,200001
30033,Locale_System:MULTIRAID_COOPERATION_NAME_101,full_eba003_hsta,100001
30034,Locale_System:MULTIRAID_COOPERATION_NAME_102,full_eba003_dmtr,500001
30035,Locale_System:MULTIRAID_COOPERATION_NAME_103,full_eba003_psid,200001
30041,Locale_System:MULTIRAID_COOPERATION_NAME_16,full_bbg004_psid,200001
30042,Locale_System:MULTIRAID_COOPERATION_NAME_17,full_bbg004_zeus,400001
30043,Locale_System:MULTIRAID_COOPERATION_NAME_18,full_bbg004_dmtr,500001
30046,Locale_System:MULTIRAID_COOPERATION_NAME_101,full_eba003_anmi,300001
30047,Locale_System:MULTIRAID_COOPERATION_NAME_102,full_eba003_dmtr,500001
30048,Locale_System:MULTIRAID_COOPERATION_NAME_103,full_eba003_psid,200001
30059,Locale_System:MULTIRAID_COOPERATION_NAME_101,full_eba003_anmi,300001
30060,Locale_System:MULTIRAID_COOPERATION_NAME_102,full_eba003_dmtr,500001
30061,Locale_System:MULTIRAID_COOPERATION_NAME_103,full_eba003_psid,200001
30068,Locale_System:MULTIRAID_COOPERATION_NAME_101,full_eba003_dmtr,500001
30069,Locale_System:MULTIRAID_COOPERATION_NAME_102,full_eba003_zeus,400001
30070,Locale_System:MULTIRAID_COOPERATION_NAME_103,full_eba003_psid,200001
