id,group,order,name,description,mission_list_group,point_resource,init_type
103,1,1,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,103,None,None
203,2,1,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,203,None,None
301,3,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,301,None,Daily
303,3,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,303,None,None
503,5,1,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,503,None,None
603,6,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,603,None,None
703,7,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,703,None,None
801,8,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,801,None,Daily
803,8,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,803,None,None
1003,10,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,1003,None,None
1103,11,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,1103,None,None
1203,12,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,1203,None,None
1301,13,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,1301,None,Daily
1303,13,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,1303,None,None
1503,15,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,1503,None,None
1603,16,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,1603,None,None
2001,20,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,2001,None,Daily
2003,20,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,2003,None,None
2203,22,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,2203,None,None
2303,23,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,2303,None,None
2401,24,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,2401,None,Daily
2403,24,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,2403,None,None
2601,26,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,2601,None,Daily
2603,26,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,2603,None,None
2803,28,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,2803,None,None
2903,29,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,2903,None,None
3003,30,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,3003,None,None
3101,31,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,3101,None,Daily
3103,31,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,3103,None,None
3303,33,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,3303,None,None
3401,34,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,3401,None,Daily
3403,34,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,3403,None,None
3603,36,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,3603,None,None
3703,37,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,3703,None,None
3803,38,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,3803,None,None
3903,39,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,3903,None,None
4003,40,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,4003,None,None
4101,41,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,4101,None,Daily
4103,41,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,4103,None,None
4303,43,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,4303,None,None
4403,44,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,4403,None,None
4501,45,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,4501,None,Daily
4503,45,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,4503,None,None
4703,47,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,4703,None,None
4801,48,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,4801,None,Daily
4803,48,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,4803,None,None
5003,50,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,5003,None,None
5101,51,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,5101,None,Daily
5103,51,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,5103,None,None
5303,53,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,5303,None,None
5403,54,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,5403,None,None
5501,55,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,5501,None,Daily
5503,55,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,5503,None,None
5803,58,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,5803,None,None
5903,59,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,5903,None,None
6003,60,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,6003,None,None
6101,61,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,6101,None,Daily
6103,61,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,6103,None,None
6303,63,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,6303,None,None
6401,64,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,6401,None,Daily
6403,64,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,6403,None,None
6603,66,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,6603,None,None
6803,68,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,6803,None,None
6903,69,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,6903,None,None
7001,70,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,7001,None,Daily
7003,70,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,7003,None,None
7203,72,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,7203,None,None
7303,73,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,7303,None,None
7403,74,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,7403,None,None
7501,75,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,7501,None,Daily
7503,75,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,7503,None,None
7703,77,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,7703,None,None
7803,78,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,7803,None,None
7901,79,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,7901,None,Daily
7903,79,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,7903,None,None
8103,81,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,8103,None,None
8201,82,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,8201,None,Daily
8203,82,3,Locale_System:CHALLENGE_MISSION,Locale_System:CHALLENGE_MISSION_INFO,8203,None,None
8401,84,1,Locale_System:DAILY_MISSION,Locale_System:DAILY_MISSION_INFO,8401,None,Daily
