id,group_id,rare,prob,prob_max_count,gacha_list_id,customize_list_id
100001,1000,SSR,350,10000,10005,19995
100002,1000,SSR,50,0,10004,19996
100003,1000,SR,4300,0,10003,10003
100004,1000,R,5300,0,10001,10001
150001,1500,SSR,350,10000,15001,15001
150002,1500,SSR,50,0,15002,15002
150003,1500,SR,4300,0,15003,15003
150004,1500,R,5300,0,15004,15004
200001,2000,SSR,200,0,100001,100001
200002,2000,SSR,150,0,100002,100002
200003,2000,SSR,50,0,100003,100003
200004,2000,SR,4300,0,100004,100004
200005,2000,R,5300,0,100005,100005
200101,2001,SSR,200,0,110001,110001
200102,2001,SSR,150,0,110002,110002
200103,2001,SSR,50,0,110003,110003
200104,2001,SR,4300,0,110004,110004
200105,2001,R,5300,0,110005,110005
200201,2002,SSR,100,0,120001,120001
200202,2002,SSR,250,0,120002,120002
200203,2002,SSR,50,0,120003,120003
200204,2002,SR,4300,0,120004,120004
200205,2002,R,5300,0,120005,120005
200301,2003,SSR,200,0,500001,500001
200302,2003,SSR,150,0,500002,500002
200303,2003,SSR,50,0,500003,500003
200304,2003,SR,4300,0,500004,500004
200305,2003,R,5300,0,500005,500005
200401,2004,SSR,200,0,500101,500101
200402,2004,SSR,150,0,500102,500102
200403,2004,SSR,50,0,500103,500103
200404,2004,SR,4300,0,500104,500104
200405,2004,R,5300,0,500105,500105
200501,2005,SSR,200,0,500201,500201
200502,2005,SSR,150,0,500202,500202
200503,2005,SSR,50,0,500203,500203
200504,2005,SR,4300,0,500204,500204
200505,2005,R,5300,0,500205,500205
200601,2006,SSR,200,0,500301,500301
200602,2006,SSR,150,0,500302,500302
200603,2006,SSR,50,0,500303,500303
200604,2006,SR,4300,0,500304,500304
200605,2006,R,5300,0,500305,500305
200701,2007,SSR,200,0,500401,500401
200702,2007,SSR,150,0,500402,500402
200703,2007,SSR,50,0,500403,500403
200704,2007,SR,4300,0,500404,500404
200705,2007,R,5300,0,500405,500405
200801,2008,SSR,200,0,500501,500501
200802,2008,SSR,150,0,500502,500502
200803,2008,SSR,50,0,500503,500503
200804,2008,SR,4300,0,500504,500504
200805,2008,R,5300,0,500505,500505
200901,2009,SSR,200,0,500601,500601
200902,2009,SSR,150,0,500602,500602
200903,2009,SSR,50,0,500603,500603
200904,2009,SR,4300,0,500604,500604
200905,2009,R,5300,0,500605,500605
201001,2010,SSR,200,0,500701,500701
201002,2010,SSR,150,0,500702,500702
201003,2010,SSR,50,0,500703,500703
201004,2010,SR,4300,0,500704,500704
201005,2010,R,5300,0,500705,500705
