id,group_id,order,select_type,select_id,select_value
1001,1,1,Character,119201,1
1002,1,2,Character,203301,1
1003,1,3,Character,145101,1
1004,1,4,Character,145001,1
1005,1,5,Character,232101,1
1006,1,6,Character,235001,1
1007,1,7,Character,338001,1
1008,1,8,Character,228001,1
1009,1,9,Character,327101,1
1010,1,10,Character,327001,1
1011,1,11,Character,204001,1
1012,1,12,Character,328201,1
1013,1,13,Character,338101,1
1014,1,14,Character,331201,1
1015,1,15,Character,331101,1
1016,1,16,Character,311201,1
1017,1,17,Character,111101,1
1018,1,18,Character,110001,1
1019,1,19,Character,235201,1
1020,1,20,Character,209101,1
1021,1,21,Character,113101,1
1022,1,22,Character,314101,1
1023,1,23,Character,317101,1
1024,1,24,Character,320001,1
1025,1,25,Character,320201,1
1026,1,26,Character,321201,1
1027,1,27,Character,108201,1
1028,1,28,Character,218101,1
1029,1,29,Character,324201,1
1030,1,30,Character,343001,1
1031,1,31,Character,343101,1
1032,1,32,Character,343201,1
1033,1,33,Character,324101,1
1034,1,34,Character,320101,1
1035,1,35,Character,319001,1
1036,1,36,Character,218001,1
1037,1,37,Character,117201,1
1038,1,38,Character,313001,1
1039,1,39,Character,111001,1
1040,1,40,Character,110101,1
1041,1,41,Character,209201,1
1042,1,42,Character,108001,1
1043,1,43,Character,207201,1
1044,1,44,Character,207101,1
1045,1,45,Character,207001,1
1046,1,46,Character,203201,1
1047,1,47,Character,203001,1
1048,1,48,Character,202201,1
1049,1,49,Character,115001,1
1050,1,50,Character,314201,1
1051,1,51,Character,217001,1
1052,1,52,Character,116001,1
1053,1,53,Character,209001,1
1054,1,54,Character,319101,1
1055,1,55,Character,321001,1
1056,1,56,Character,314001,1
1057,1,57,Character,110201,1
2001,2,1,Character,136101,1
2002,2,2,Character,339201,1
3001,3,1,Character,422601,1
3002,3,2,Character,422401,1
4001,4,1,Character,159001,1
4002,4,2,Character,136101,1
4003,4,3,Character,339201,1
1002001,1002,1,Character,141101,1
1002002,1002,2,Character,324001,1
1002003,1002,3,Character,258001,1
1002004,1002,4,Character,140301,1
1002005,1002,5,Character,327201,1
1002006,1002,6,Character,239001,1
1002007,1002,7,Character,139101,1
1002008,1002,8,Character,355101,1
1002009,1002,9,Character,319501,1
1002010,1002,10,Character,331401,1
1002011,1002,11,Character,150101,1
1002012,1002,12,Character,355001,1
1002013,1002,13,Character,204301,1
1002014,1002,14,Character,150001,1
1002015,1002,15,Character,331001,1
1002016,1002,16,Character,231301,1
1002017,1002,17,Character,328101,1
1002018,1002,18,Character,338201,1
1002019,1002,19,Character,119201,1
1002020,1002,20,Character,203301,1
1002021,1002,21,Character,145101,1
1002022,1002,22,Character,145001,1
1002023,1002,23,Character,232101,1
1002024,1002,24,Character,235001,1
1002025,1002,25,Character,338001,1
1002026,1002,26,Character,228001,1
1002027,1002,27,Character,327101,1
1002028,1002,28,Character,327001,1
1002029,1002,29,Character,204001,1
1002030,1002,30,Character,328201,1
1002031,1002,31,Character,338101,1
1002032,1002,32,Character,331201,1
1002033,1002,33,Character,331101,1
1002034,1002,34,Character,311201,1
1002035,1002,35,Character,111101,1
1002036,1002,36,Character,110001,1
1002037,1002,37,Character,235201,1
1002038,1002,38,Character,209101,1
1002039,1002,39,Character,113101,1
1002040,1002,40,Character,314101,1
1002041,1002,41,Character,317101,1
1002042,1002,42,Character,320001,1
1002043,1002,43,Character,320201,1
1002044,1002,44,Character,321201,1
1002045,1002,45,Character,108201,1
1002046,1002,46,Character,218101,1
1002047,1002,47,Character,324201,1
1002048,1002,48,Character,343001,1
1002049,1002,49,Character,343101,1
1002050,1002,50,Character,343201,1
1002051,1002,51,Character,324101,1
1002052,1002,52,Character,320101,1
1002053,1002,53,Character,319001,1
1002054,1002,54,Character,218001,1
1002055,1002,55,Character,117201,1
1002056,1002,56,Character,313001,1
1002057,1002,57,Character,111001,1
1002058,1002,58,Character,110101,1
1002059,1002,59,Character,209201,1
1002060,1002,60,Character,108001,1
1002061,1002,61,Character,207201,1
1002062,1002,62,Character,207101,1
1002063,1002,63,Character,207001,1
1002064,1002,64,Character,203201,1
1002065,1002,65,Character,203001,1
1002066,1002,66,Character,202201,1
1002067,1002,67,Character,115001,1
1002068,1002,68,Character,314201,1
1002069,1002,69,Character,217001,1
1002070,1002,70,Character,116001,1
1002071,1002,71,Character,209001,1
1002072,1002,72,Character,319101,1
1002073,1002,73,Character,321001,1
1002074,1002,74,Character,314001,1
1002075,1002,75,Character,110201,1
3001001,3001,1,Character,207201,1
3001002,3001,2,Character,314201,1
3001003,3001,3,Character,321001,1
3001004,3001,4,Character,110001,1
3002001,3002,1,Character,311201,1
3003001,3003,1,Character,207201,1
3003002,3003,2,Character,314201,1
3003003,3003,3,Character,321001,1
3003004,3003,4,Character,110001,1
3003005,3003,5,Character,311201,1
3004001,3004,1,Character,203201,1
3004002,3004,2,Character,235201,1
3004003,3004,3,Character,110101,1
3004004,3004,4,Character,314101,1
3005001,3005,1,Character,203001,1
3005002,3005,2,Character,119201,1
3005003,3005,3,Character,115001,1
3005004,3005,4,Character,355001,1
