id,shop_group_id,package_group_id,start_date,end_date,discount_control,costume_theme_group_id,product_grade,costume_id,buy_limit_type,is_limit,buy_limit_count,midas_product_id,is_active
1000101,100001,120011,1206140928,1869692928,Regular,1000,5,10006,Account,True,1,81000101,True
1000102,100001,120011,-1175603200,903514496,Bargain,1000,5,10006,Account,True,1,81000102,True
3000101,100001,120001,1206140928,1869692928,Regular,3000,5,30002,Account,True,1,83000201,True
3000201,100001,120002,1206140928,1869692928,Regular,3000,5,30003,Account,True,1,84000101,True
3000301,100001,120003,1206140928,1869692928,Regular,3000,5,30007,Account,True,1,83000301,True
3000401,100001,120006,1206140928,1869692928,Regular,3000,5,30009,Account,True,1,83000401,True
3000501,100001,120007,1206140928,1869692928,Regular,3000,5,30011,Account,True,1,83000501,True
3000502,100001,120007,-1349402624,-1990669952,Bargain,3000,4,30011,Account,True,1,83000502,True
3000601,100001,120008,1206140928,1869692928,Regular,3000,5,30012,Account,True,1,83000601,True
3000602,100001,120008,1571747840,-1355675264,Bargain,3000,5,30012,Account,True,1,83000602,True
3000701,100001,120009,1206140928,1869692928,Regular,3000,5,30010,Account,True,1,83000701,True
3000702,100001,120009,-639551488,1439566208,Bargain,3000,5,30010,Account,True,1,83000702,True
3000801,100001,120010,1206140928,1869692928,Regular,3000,5,30017,Account,True,1,83000801,False
3000802,100001,120010,1239906304,-1687516800,Bargain,3000,5,30017,Account,True,1,83000802,False
4000101,100001,120004,1206140928,1869692928,Regular,4000,5,40002,Account,True,1,83000101,True
5000101,100001,120005,1206140928,1869692928,Regular,5000,5,50001,Account,True,1,85000101,True
