id,character_group,name_localkey,description_localkey,character_type,grade,team_set_order,resource_id,character_prefab,level_group,skill_group,advantage_group,attack,hp,knock_back_max,move_speed,summon_cooltime,summon_stack,scale,shadow_scale,prefab_height_position,search_target_type,search_radius,discover_type,discover_value,animation_summon,animation_stand,animation_move,animation_move_speed,animation_knock_back,animation_knock_back_distance,animation_death,effect_death,effect_summon,effect_edge
1,101,Locale_Event:EventBM_name_monster_type_tower,Locale_Event:EventBM_name_monster_type_tower,Tower,SSR,0,bm_tower_friendly_101,bm_tower_friendly_101,1,1,0,10,98,0,0,0,0,70000,20000,0,EnemyAll,300000,Quadrilateral,1000,summon,idle,move,10000,knock_back,0,bm_tower_friendly_102,bm_fx_death_tower_101,,
1011,101,Locale_Event:EventBM_name_character_minion_101,Locale_Event:EventBM_desc_character_minion_101,Minion,R,4,bm_chr_minion_101,Bubble_march/minion/bm_chr_minion_101,101,1011,101,10,120,20000,50000,100000,2,35000,20000,-15000,EnemyAll,150000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_minion_101,bm_fx_summon_minion_101,
1012,101,Locale_Event:EventBM_name_character_minion_102,Locale_Event:EventBM_desc_character_minion_102,Minion,SR,5,bm_chr_minion_102,Bubble_march/minion/bm_chr_minion_102,102,1012,102,20,240,20000,50000,150000,1,35000,20000,-15000,EnemyAll,150000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_minion_101,bm_fx_summon_minion_101,
1013,101,Locale_Event:EventBM_name_character_minion_103,Locale_Event:EventBM_desc_character_minion_103,Minion,SR,6,bm_chr_minion_103,Bubble_march/minion/bm_chr_minion_103,103,1013,103,20,240,20000,50000,150000,1,35000,20000,-15000,EnemyAll,150000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_minion_101,bm_fx_summon_minion_101,
1021,101,Locale_Event:EventBM_name_character_minion_201,Locale_Event:EventBM_desc_character_minion_201,Minion,R,7,bm_chr_minion_201,Bubble_march/minion/bm_chr_minion_201,201,1021,201,20,60,10000,60000,100000,2,35000,20000,-15000,EnemyAll,150000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_minion_101,bm_fx_summon_minion_101,
1022,101,Locale_Event:EventBM_name_character_minion_202,Locale_Event:EventBM_desc_character_minion_202,Minion,SR,8,bm_chr_minion_202,Bubble_march/minion/bm_chr_minion_202,202,1022,202,36,120,10000,60000,150000,1,35000,20000,-15000,EnemyAll,300000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_minion_101,bm_fx_summon_minion_101,
1023,101,Locale_Event:EventBM_name_character_minion_203,Locale_Event:EventBM_desc_character_minion_203,Minion,SR,9,bm_chr_minion_203,Bubble_march/minion/bm_chr_minion_203,203,1023,203,40,120,10000,60000,150000,1,35000,20000,-15000,EnemyAll,150000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_minion_101,bm_fx_summon_minion_101,
1031,101,Locale_Event:EventBM_name_character_minion_301,Locale_Event:EventBM_desc_character_minion_301,Minion,R,10,bm_chr_minion_301,Bubble_march/minion/bm_chr_minion_301,301,1031,301,14,42,5000,50000,100000,2,35000,20000,-15000,EnemyAll,250000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_minion_101,bm_fx_summon_minion_101,
1032,101,Locale_Event:EventBM_name_character_minion_302,Locale_Event:EventBM_desc_character_minion_302,Minion,SR,11,bm_chr_minion_302,Bubble_march/minion/bm_chr_minion_302,302,1032,302,14,84,5000,50000,150000,1,35000,20000,-15000,EnemyAll,250000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_minion_101,bm_fx_summon_minion_101,
1033,101,Locale_Event:EventBM_name_character_minion_303,Locale_Event:EventBM_desc_character_minion_303,Minion,SR,12,bm_chr_minion_303,Bubble_march/minion/bm_chr_minion_303,303,1033,303,28,84,5000,50000,150000,1,35000,20000,-15000,EnemyAll,300000,Circle,30000,summon,idle,move,10000,knock_back,100000,,bm_fx_death_minion_101,bm_fx_summon_minion_101,
