id,commonsettingsid,name_localkey,resource_id,ui_resource_id,ui_lobbycharacter,characterskilltree_group_id,reqstgclear,reqitem_currency,reqitem_id,stat_mvspd,min_mvspd,stat_hp,min_hp,stat_atk,min_atk,stat_atkspd,min_atkspd,stat_projsize,min_projsize,stat_projspd,min_projspd,stat_def,min_def,stat_magnet,min_magnet,module_default/0/module_default,module_default/1/module_default,module_default/2/module_default,module_default/3/module_default,module_default/4/module_default,module_default/5/module_default,weapon_default/0/weapon_default,weapon_default/1/weapon_default,weapon_default/2/weapon_default,weapon_default/3/weapon_default,weapon_default/4/weapon_default,weapon_default/5/weapon_default
1,1,Locale_Character:220_name,NKS_character_c220,NKS_character_c220_ui_sprite,NKS_lobbyCharacter_c220,1,0,0,0,7,1,60,30,2,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,200100,0,0,0,0,0
2,1,Locale_Character:233_name,NKS_character_c233,NKS_character_c233_ui_sprite,NKS_lobbyCharacter_c233,2,2,0,110004,6,1,80,30,3,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,200900,0,0,0,0,0
3,1,Locale_Character:222_name,NKS_character_c965,NKS_character_c222_ui_sprite,NKS_lobbyCharacter_c965,3,3,0,110002,7,1,50,30,4,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,200500,0,0,0,0,0
4,1,Locale_Character:221_name,NKS_character_c966,NKS_character_c221_ui_sprite,NKS_lobbyCharacter_c966,4,4,0,110003,5,1,70,30,3,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,200700,0,0,0,0,0
5,1,Locale_Character:470_name,NKS_character_c470,NKS_character_c470_ui_sprite,NKS_lobbyCharacter_c470,5,5,0,110001,7,1,65,30,5,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,200300,0,0,0,0,0
6,1,Locale_Event:Event_NKSminigame_HiddenCharacterName,NKS_character_hidden,NKS_character_hidden_ui_sprite,NKS_lobbyCharacter_hidden,6,10,0,110001,6,1,60,30,5,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,201100,0,0,0,0,0
101,2,Locale_Character:220_name,NKS_character_c220,NKS_character_c220_ui_sprite,NKS_lobbyCharacter_c220,1,0,0,0,7,1,60,30,2,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,200100,0,0,0,0,0
102,2,Locale_Character:233_name,NKS_character_c233,NKS_character_c233_ui_sprite,NKS_lobbyCharacter_c233,2,102,0,110004,6,1,80,30,3,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,200900,0,0,0,0,0
103,2,Locale_Character:222_name,NKS_character_c965,NKS_character_c222_ui_sprite,NKS_lobbyCharacter_c965,3,103,0,110002,7,1,50,30,4,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,200500,0,0,0,0,0
104,2,Locale_Character:221_name,NKS_character_c966,NKS_character_c221_ui_sprite,NKS_lobbyCharacter_c966,4,104,0,110003,5,1,70,30,3,1,100,100,100,100,100,100,1,0,1,1,0,0,0,0,0,0,200700,0,0,0,0,0
