id,group_id,table_resource_id,button_resource_id,bubble_resource_id
1001,1,romanticvalentine_food_01_table,romanticvalentine_food_01_button,romanticvalentine_food_01_bubble
1002,1,romanticvalentine_food_02_table,romanticvalentine_food_02_button,romanticvalentine_food_02_bubble
1003,1,romanticvalentine_food_03_table,romanticvalentine_food_03_button,romanticvalentine_food_03_bubble
1004,1,romanticvalentine_food_04_table,romanticvalentine_food_04_button,romanticvalentine_food_04_bubble
2001,2,romanticvalentine_food_01_table,romanticvalentine_food_01_button,romanticvalentine_food_01_bubble
2002,2,romanticvalentine_food_02_table,romanticvalentine_food_02_button,romanticvalentine_food_02_bubble
2003,2,romanticvalentine_food_03_table,romanticvalentine_food_03_button,romanticvalentine_food_03_bubble
2004,2,romanticvalentine_food_04_table,romanticvalentine_food_04_button,romanticvalentine_food_04_bubble
2005,2,romanticvalentine_food_05_table,romanticvalentine_food_05_button,romanticvalentine_food_05_bubble
3001,3,romanticvalentine_food_01_table,romanticvalentine_food_01_button,romanticvalentine_food_01_bubble
3002,3,romanticvalentine_food_02_table,romanticvalentine_food_02_button,romanticvalentine_food_02_bubble
3003,3,romanticvalentine_food_03_table,romanticvalentine_food_03_button,romanticvalentine_food_03_bubble
3004,3,romanticvalentine_food_04_table,romanticvalentine_food_04_button,romanticvalentine_food_04_bubble
3005,3,romanticvalentine_food_05_table,romanticvalentine_food_05_button,romanticvalentine_food_05_bubble
3006,3,romanticvalentine_food_06_table,romanticvalentine_food_06_button,romanticvalentine_food_06_bubble
11001,11,romanticvalentine_food_sp_table,romanticvalentine_food_sp_button,romanticvalentine_food_sp_bubble
