id,world_id,field_id,sector_id,item_type,item_spawn_logic_type,item_value,item_resource,is_use_auto_scale,item_spawn_fx,item_lock_fx,item_gain_fx,interaction_marker_resource,is_resource_disappeared_after_interaction,interaction_range,is_spawned,spawn_condition_monster_kill,spawn_condition_monster_group_kill,is_locked,unlock_condition_monster_kill,unlock_condition_monster_group_kill
11401001,4,4,4001001,Item,Common,24020101,fsbg_io_supplybox_001_03,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,False,1,True,0,0,False,0,0
11401002,4,4,4001001,Item,Common,24020102,fsbg_io_supplybox_001_02,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,False,1,True,0,0,False,0,0
11401003,4,4,4001001,Item,Common,24020103,fsbg_io_supplybox_001_02,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,False,1,True,0,0,False,0,0
11401004,4,4,4001001,Item,Common,24020104,fsbg_io_supplybox_001_01,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,False,1,True,0,0,True,0,140122
11401005,4,4,4001001,Item,Common,24020105,fsbg_io_supplybox_001_03,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,False,1,True,0,0,False,0,0
11401006,4,4,4001001,Item,Common,24020106,fsbg_io_supplybox_001_02,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,False,1,True,0,0,True,0,140127
12401001,4,4,4001001,Resource,Common,24030101,fsbg_io_resourcebox_001_01,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
12401002,4,4,4001001,Resource,Common,24030102,fsbg_io_resourcebox_001_02,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
12401003,4,4,4001001,Resource,Common,24030103,fsbg_io_resourcebox_001_03,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
12401004,4,4,4001001,Resource,Common,24030104,fsbg_io_resourcebox_001_04,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
12401005,4,4,4001001,Resource,Common,24030105,fsbg_io_resourcebox_001_01,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
12401006,4,4,4001001,Resource,Common,24030106,fsbg_io_resourcebox_001_02,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
12401007,4,4,4001001,Resource,Common,24030107,fsbg_io_resourcebox_001_03,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
12401008,4,4,4001001,Resource,Common,24030108,fsbg_io_resourcebox_001_04,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
13401001,4,4,4001001,OCResource,Common,24040101,fsbg_io_resource_001_01,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,True,0,240101
14401001,4,4,4001001,GateResource,Common,24040102,fsbg_io_resource_001_02,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,True,0,240102
14401002,4,4,4001001,GateResource,Common,24040102,fsbg_io_resource_001_02,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,True,0,240103
15401001,4,4,4001001,Coin,Common,24050001,fsbg_io_ebladust_001_01,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
15401002,4,4,4001001,Coin,Common,24050001,fsbg_io_ebladust_001_01,True,fx_s_field_item_appear,fx_s_field_item_lock,fx_s_field_item_gain,sprite_btn_floating_interaction_surface_item,True,1,True,0,0,False,0,0
