id,location,chapter,dialogue_localkey,dialogue_voice,set_char_anim,weight,oc_mode_use,oc_level_min,oc_level_max
111,Start,1,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_1_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_1_1,idle,1000,False,0,0
112,Start,1,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_1_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_1_2,idle,1000,False,0,0
113,Start,1,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_1_3,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_1_3,idle,1000,False,0,0
121,Start,2,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_2_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_2_1,idle,1000,False,0,0
122,Start,2,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_2_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_2_2,idle,1000,False,0,0
123,Start,2,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_2_3,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_2_3,angry,1000,False,0,0
131,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_1,idle,1000,False,0,0
132,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_2,idle,1000,False,0,0
133,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_3,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_3,special,1000,False,0,0
134,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Easy_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Easy_1,idle,1000,True,1,15
135,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Easy_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Easy_2,delight,1000,True,1,15
136,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Normal_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Normal_1,think,1000,True,16,35
137,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Normal_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Normal_2,delight,1000,True,16,35
138,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Hard_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Hard_1,think,1000,True,36,50
139,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Hard_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Hard_2,idle,1000,True,36,50
140,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Infinite_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Infinite_1,idle,1000,True,51,99
141,Start,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Infinite_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_Start_3_OC_Infinite_2,delight,1000,True,51,99
211,JustBeforeEnd,1,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_1_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_1_1,think,1000,False,0,0
212,JustBeforeEnd,1,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_1_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_1_2,think,1000,False,0,0
213,JustBeforeEnd,1,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_1_3,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_1_3,think,1000,False,0,0
221,JustBeforeEnd,2,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_2_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_2_1,idle,1000,False,0,0
222,JustBeforeEnd,2,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_2_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_2_2,idle,1000,False,0,0
223,JustBeforeEnd,2,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_2_3,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_2_3,idle,1000,False,0,0
231,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_1,delight,1000,False,0,0
232,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_2,angry,1000,False,0,0
233,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_3,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_3,angry,1000,False,0,0
234,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Easy_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Easy_1,idle,1000,True,1,15
235,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Easy_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Easy_2,think,1000,True,1,15
236,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Normal_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Normal_1,idle,1000,True,16,35
237,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Normal_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Normal_2,delight,1000,True,16,35
238,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Hard_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Hard_1,delight,1000,True,36,50
239,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Hard_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Hard_2,idle,1000,True,36,50
240,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Infinite_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Infinite_1,delight,1000,True,51,99
241,JustBeforeEnd,3,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Infinite_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_JustBeforeEnd_3_OC_Infinite_2,special,1000,True,51,99
311,End,1,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_End_1_1,c928_SIMULATIONROOM_DIALOGUE_LOCATION_End_1_1,idle,1000,False,0,0
312,End,1,Locale_System:SIMULATIONROOM_DIALOGUE_LOCATION_End_1_2,c928_SIMULATIONROOM_DIALOGUE_LOCATION_End_1_2,idle,1000,False,0,0
