id,ko,en,ja,zh-TW,zh-CN,de,th,fr
1,스승님,MONSIEUR,師匠,師父,师父,MONSIEUR,MONSIEUR,MONSIEUR
2,아저씨,TRAINER,おじさん,大叔,大叔,TRAINER,TRAINER,TRAINER
3,반장님,BOSS,親方,班長大人,班长大人,BOSS,BOSS,BOSS
4,애송이,PITBOSS,青二才,小鬼,小鬼,PITBOSS,PITBOSS,PITBOSS
5,삼류,WEAKLING,三流,三流,三流,WEAKLING,WEAKLING,WEAKLING
6,교관님,DARLING,教官様,教官,教官,DARLING,DARLING,DARLING
7,베이비,CUTEY,ベビー,小寶貝,小宝贝,CUTEY,CUTEY,CUTEY
8,선생님,TEACHER,先生,老師,老师,TEACHER,TEACHER,TEACHER
9,파트너,PARTNER,パートナー,搭檔,搭档,PARTNER,PARTNER,PARTNER
10,형씨,PAL,兄貴,老兄,老兄,PAL,PAL,PAL
11,마에스트로,BIRDIE,マエストロ,指揮大師,指挥大师,BIRDIE,BIRDIE,BIRDIE
12,신입,NEWBIE,新人,新人,新人,NEWBIE,NEWBIE,NEWBIE
13,시종,SERVANT,しもべ,侍從,侍从,SERVANT,SERVANT,SERVANT
14,토끼씨,RABBITY,ウサギさん,兔子先生,兔子先生,RABBITY,RABBITY,RABBITY
15,생존가님,CADET,生存者様,求生者,求生者,CADET,CADET,CADET
16,오빠,SWEETIE,お兄ちゃん,哥哥,哥哥,SWEETIE,SWEETIE,SWEETIE
17,신참,ROOKIE,新入り,新來的,新来的,ROOKIE,ROOKIE,ROOKIE
18,고객님,CLIENT,お客様,客人,客人,CLIENT,CLIENT,CLIENT
19,뉴비,NOOB,初心者さん,菜鳥,菜鸟,NOOB,NOOB,NOOB
20,왓슨,WATSON,ワトソン,華生,华生,WATSON,WATSON,WATSON
21,회원님,GYMRAT,会員さん,會員,会员,GYMRAT,GYMRAT,GYMRAT
22,코치,COACH,コーチ,教練,教练,COACH,COACH,COACH
23,감독님,DIRECTOR,監督,教練大人,教练大人,DIRECTOR,DIRECTOR,DIRECTOR
24,형제님,BELIEVER,ブラザー,兄弟,兄弟,BELIEVER,BELIEVER,BELIEVER
25,도령,LORD,ぼっちゃん,少爺,少爷,LORD,LORD,LORD
26,프로듀서,PRODUCER,プロデューサー,製作人,制作人,PRODUCER,PRODUCER,PRODUCER
27,매니저,MANAGER,マネージャー,經紀人,经纪人,MANAGER,MANAGER,MANAGER
28,미스터,MISTER,ミスター,先生,先生,MISTER,MISTER,MISTER
29,주인님,MASTER,ご主人様,主人,主人,MASTER,MASTER,MASTER
30,함장,CAPTAIN,艦長,艦長,舰长,CAPTAIN,CAPTAIN,CAPTAIN
