id,group_id,name_localkey,function_localkey,lesson_type,character_condition_value_1,character_condition_value_2,character_condition_value_3,currency_id,currency_value,lesson_condition/0/condition_type,lesson_condition/0/condition_value,lesson_condition/1/condition_type,lesson_condition/1/condition_value,lesson_condition/2/condition_type,lesson_condition/2/condition_value,lesson_condition/3/condition_type,lesson_condition/3/condition_value,lesson_reward/0/lesson_reward_id,lesson_reward/0/lesson_reward_value,lesson_reward/1/lesson_reward_id,lesson_reward/1/lesson_reward_value,lesson_reward/2/lesson_reward_id,lesson_reward/2/lesson_reward_value
1001,1000,Locale_System:ACADEMY_LESSON_OUTPOST,Locale_System:ACADEMY_LESSON_OUTPOST_1,BuildingSlot,1013,0,0,2000,5000,None,0,None,0,None,0,None,0,0,3,0,0,0,0
1002,1000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_1,OutpostBattle,1014,0,0,2000,5000,OpenLesson,1001,None,0,None,0,None,0,2000,1000,0,0,0,0
1003,1000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_2,OutpostBattle,1015,0,0,2000,5000,OpenLesson,1002,None,0,None,0,None,0,1000,1000,0,0,0,0
2001,2000,Locale_System:ACADEMY_LESSON_OUTPOST,Locale_System:ACADEMY_LESSON_OUTPOST_1,BuildingSlot,1016,0,0,2000,10000,OpenLesson,1003,Build,10601,None,0,None,0,0,3,0,0,0,0
2002,2000,Locale_System:ACADEMY_LESSON_DISPATCH,Locale_System:ACADEMY_LESSON_DISPATCH_1,Dispatch,1017,0,0,2000,10000,OpenLesson,2001,None,0,None,0,None,0,2,1,0,0,0,0
2003,2000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_1,OutpostBattle,1018,0,0,2000,10000,OpenLesson,2002,None,0,None,0,None,0,2000,1000,0,0,0,0
3001,3000,Locale_System:ACADEMY_LESSON_OUTPOST,Locale_System:ACADEMY_LESSON_OUTPOST_1,BuildingSlot,1025,0,0,2000,15000,OpenLesson,2003,Build,10901,None,0,None,0,0,3,0,0,0,0
3002,3000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_3,OutpostBattle,1024,0,0,2000,15000,OpenLesson,3001,None,0,None,0,None,0,3000,1000,0,0,0,0
3003,3000,Locale_System:ACADEMY_LESSON_INTERCEPT,Locale_System:ACADEMY_LESSON_INTERCEPT_1,Intercept,1023,0,0,2000,15000,OpenLesson,3002,None,0,None,0,None,0,0,24001,0,0,0,0
3004,3000,Locale_System:ACADEMY_LESSON_DISPATCH,Locale_System:ACADEMY_LESSON_DISPATCH_1,Dispatch,3001,0,0,2000,15000,OpenLesson,3003,None,0,None,0,None,0,3,1,0,0,0,0
4001,4000,Locale_System:ACADEMY_LESSON_OUTPOST,Locale_System:ACADEMY_LESSON_OUTPOST_1,BuildingSlot,3002,0,0,2000,20000,OpenLesson,3004,Build,11201,None,0,None,0,0,3,0,0,0,0
4002,4000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_1,OutpostBattle,3003,0,0,2000,20000,OpenLesson,4001,None,0,None,0,None,0,2000,1000,0,0,0,0
4003,4000,Locale_System:ACADEMY_LESSON_DISPATCH,Locale_System:ACADEMY_LESSON_DISPATCH_1,Dispatch,3005,0,0,2000,20000,OpenLesson,4002,None,0,None,0,None,0,4,1,0,0,0,0
5001,5000,Locale_System:ACADEMY_LESSON_OUTPOST,Locale_System:ACADEMY_LESSON_OUTPOST_1,BuildingSlot,3006,0,0,2000,50000,OpenLesson,4003,Build,11501,None,0,None,0,0,4,0,0,0,0
5002,5000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_2,OutpostBattle,3009,0,0,2000,50000,OpenLesson,5001,None,0,None,0,None,0,1000,1500,0,0,0,0
5003,5000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_1,OutpostBattle,3010,0,0,2000,50000,OpenLesson,5002,None,0,None,0,None,0,2000,1000,0,0,0,0
5004,5000,Locale_System:ACADEMY_LESSON_DISPATCH,Locale_System:ACADEMY_LESSON_DISPATCH_4,DispatchCollection,3001,0,0,2000,50000,OpenLesson,5003,None,0,None,0,None,0,1,1,0,0,0,0
6001,6000,Locale_System:ACADEMY_LESSON_SYNCHRODEVICE,Locale_System:ACADEMY_LESSON_SYNCHRODEVICE_1,SynchroDevice,3007,0,0,2000,120000,OpenLesson,5003,Build,11701,None,0,None,0,0,5,0,0,0,0
6002,6000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_3,OutpostBattle,3008,0,0,2000,120000,OpenLesson,6001,None,0,None,0,None,0,3000,1500,0,0,0,0
6003,6000,Locale_System:ACADEMY_LESSON_DISPATCH,Locale_System:ACADEMY_LESSON_DISPATCH_3,Dispatch,1013,3001,0,2000,120000,OpenLesson,6002,None,0,None,0,None,0,5,1,0,0,0,0
7001,7000,Locale_System:ACADEMY_LESSON_OUTPOST,Locale_System:ACADEMY_LESSON_OUTPOST_1,BuildingSlot,1014,3002,0,2000,210000,OpenLesson,6003,Build,11901,None,0,None,0,0,4,0,0,0,0
7002,7000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_1,OutpostBattle,1015,3003,0,2000,210000,OpenLesson,7001,None,0,None,0,None,0,2000,1000,0,0,0,0
7003,7000,Locale_System:ACADEMY_LESSON_INTERCEPT,Locale_System:ACADEMY_LESSON_INTERCEPT_2,Intercept,1016,3005,0,2000,210000,OpenLesson,7002,None,0,None,0,None,0,1,24002,0,0,0,0
8001,8000,Locale_System:ACADEMY_LESSON_SYNCHRODEVICE,Locale_System:ACADEMY_LESSON_SYNCHRODEVICE_1,SynchroDevice,1017,3006,0,2000,800000,OpenLesson,7003,Build,12101,None,0,None,0,0,5,0,0,0,0
8002,8000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_2,OutpostBattle,1018,3009,0,2000,800000,OpenLesson,8001,None,0,None,0,None,0,1000,2000,0,0,0,0
8003,8000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_1,OutpostBattle,1025,3010,0,2000,800000,OpenLesson,8002,None,0,None,0,None,0,2000,1000,0,0,0,0
8004,8000,Locale_System:ACADEMY_LESSON_DISPATCH,Locale_System:ACADEMY_LESSON_DISPATCH_1,Dispatch,1024,3007,0,2000,800000,OpenLesson,8003,None,0,None,0,None,0,6,1,0,0,0,0
9001,9000,Locale_System:ACADEMY_LESSON_SYNCHRODEVICE,Locale_System:ACADEMY_LESSON_SYNCHRODEVICE_1,SynchroDevice,1023,3008,0,2000,900000,OpenLesson,8004,Build,12301,None,0,None,0,0,5,0,0,0,0
9002,9000,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE,Locale_System:ACADEMY_LESSON_OUTPOSTBATTLE_3,OutpostBattle,1013,3001,3002,2000,900000,OpenLesson,9001,None,0,None,0,None,0,3000,2000,0,0,0,0
9003,9000,Locale_System:ACADEMY_LESSON_INTERCEPT,Locale_System:ACADEMY_LESSON_INTERCEPT_3,Intercept,1014,3003,3005,2000,900000,OpenLesson,9002,None,0,None,0,None,0,2,24002,0,0,0,0
9004,9000,Locale_System:ACADEMY_LESSON_DISPATCH,Locale_System:ACADEMY_LESSON_DISPATCH_3,Dispatch,1015,3006,3009,2000,900000,OpenLesson,9003,None,0,None,0,None,0,7,1,0,0,0,0
10001,10000,Locale_System:ACADEMY_LESSON_SYNCHRODEVICE,Locale_System:ACADEMY_LESSON_SYNCHRODEVICE_1,SynchroDevice,3001,3005,3002,2000,1000000,OpenLesson,5003,OpenLesson,9004,None,0,None,0,0,5,0,0,0,0
10002,10000,Locale_System:ACADEMY_LESSON_DISPATCH,Locale_System:ACADEMY_LESSON_DISPATCH_6,DispatchCollection,3003,3008,3007,2000,1000000,OpenLesson,10001,StageClear,6011032,None,0,None,0,2,1,0,0,0,0
11001,11000,Locale_System:ACADEMY_LESSON_INTERCEPT,Locale_System:ACADEMY_LESSON_INTERCEPT_3,Intercept,3008,3005,3007,2000,1000000,OpenLesson,10002,StageClear,6013001,None,0,None,0,2,24002,0,0,0,0
11002,11000,Locale_System:ACADEMY_LESSON_DISPATCH,Locale_System:ACADEMY_LESSON_DISPATCH_7,DispatchCollection,3010,3001,3003,2000,1000000,OpenLesson,11001,StageClear,6013034,None,0,None,0,3,1,0,0,0,0
