id,is_visible,group_ratio/0/object_id,group_ratio/0/ratio,group_ratio/1/object_id,group_ratio/1/ratio,group_ratio/2/object_id,group_ratio/2/ratio,group_ratio/3/object_id,group_ratio/3/ratio,group_ratio/4/object_id,group_ratio/4/ratio,group_ratio/5/object_id,group_ratio/5/ratio
100,True,2001,10000,0,0,0,0,0,0,0,0,0,0
101,False,2001,10000,0,0,0,0,0,0,0,0,0,0
200,True,2002,10000,0,0,0,0,0,0,0,0,0,0
302,True,2001,9865,3001,60,4001,30,5001,15,6001,30,0,0
304,True,2001,9865,3001,60,4001,30,5001,15,6001,30,0,0
305,True,2001,9865,3001,60,4001,30,5001,15,6001,30,0,0
306,True,2001,9885,3001,40,4001,30,5001,15,6001,30,0,0
307,True,2001,9900,3001,30,4001,30,5001,10,6001,30,0,0
308,True,2001,9945,3001,20,4001,30,5001,5,0,0,0,0
3001,True,3001,10000,0,0,0,0,0,0,0,0,0,0
9001,True,9001,10000,0,0,0,0,0,0,0,0,0,0
9002,True,9002,10000,0,0,0,0,0,0,0,0,0,0
