id,preset_group_id,difficulty_type,wave_order,wave,wave_change_step,monster_stage_lv,monster_stage_lv_change_group,dynamic_object_stage_lv,cover_stage_lv,spot_autocontrol,wave_name,wave_description,monster_image_si,monster_image,monster_spine_scale,reward_id
100010101,10001,Normal,1,6304006,1,1,0,172,1,True,Locale_System:union_raid_241001_name,Locale_System:union_raid_241001_description,si_eca001,full_eca001,1,3400101
100010102,10001,Normal,1,6304006,2,2,0,172,1,True,Locale_System:union_raid_241001_name,Locale_System:union_raid_241001_description,si_eca001,full_eca001,1,3400201
100010103,10001,Normal,1,6304006,3,2,0,172,1,True,Locale_System:union_raid_241001_name,Locale_System:union_raid_241001_description,si_eca001,full_eca001,1,3400201
100010104,10001,Normal,1,6304006,4,21,0,172,1,True,Locale_System:union_raid_241001_name,Locale_System:union_raid_241001_description,si_eca001,full_eca001,1,3400301
100010105,10001,Normal,1,6304006,5,21,0,172,1,True,Locale_System:union_raid_241001_name,Locale_System:union_raid_241001_description,si_eca001,full_eca001,1,3400301
100010106,10001,Normal,1,6304006,6,22,0,200,1,True,Locale_System:union_raid_241001_name,Locale_System:union_raid_241001_description,si_eca001,full_eca001,1,3400401
100010107,10001,Normal,1,6304006,7,22,0,200,1,True,Locale_System:union_raid_241001_name,Locale_System:union_raid_241001_description,si_eca001,full_eca001,1,3400401
100010201,10001,Normal,2,6304010,1,1,0,200,1,True,Locale_System:mcg005_name,Locale_System:mcg005_description,si_mcg005,full_mcg005,1,3400102
100010202,10001,Normal,2,6304010,2,2,0,200,1,True,Locale_System:mcg005_name,Locale_System:mcg005_description,si_mcg005,full_mcg005,1,3400202
100010203,10001,Normal,2,6304010,3,2,0,200,1,True,Locale_System:mcg005_name,Locale_System:mcg005_description,si_mcg005,full_mcg005,1,3400202
100010204,10001,Normal,2,6304010,4,21,0,200,1,True,Locale_System:mcg005_name,Locale_System:mcg005_description,si_mcg005,full_mcg005,1,3400302
100010205,10001,Normal,2,6304010,5,21,0,200,1,True,Locale_System:mcg005_name,Locale_System:mcg005_description,si_mcg005,full_mcg005,1,3400302
100010206,10001,Normal,2,6304010,6,22,0,200,1,True,Locale_System:mcg005_name,Locale_System:mcg005_description,si_mcg005,full_mcg005,1,3400402
100010207,10001,Normal,2,6304010,7,22,0,200,1,True,Locale_System:mcg005_name,Locale_System:mcg005_description,si_mcg005,full_mcg005,1,3400402
100010301,10001,Normal,3,6304008,1,1,0,250,1,True,Locale_System:union_raid_241003_name,Locale_System:union_raid_241003_description,si_ecg003,full_ecg003,1,3400103
100010302,10001,Normal,3,6304008,2,2,0,250,1,True,Locale_System:union_raid_241003_name,Locale_System:union_raid_241003_description,si_ecg003,full_ecg003,1,3400203
100010303,10001,Normal,3,6304008,3,2,0,250,1,True,Locale_System:union_raid_241003_name,Locale_System:union_raid_241003_description,si_ecg003,full_ecg003,1,3400203
100010304,10001,Normal,3,6304008,4,21,0,250,1,True,Locale_System:union_raid_241003_name,Locale_System:union_raid_241003_description,si_ecg003,full_ecg003,1,3400303
100010305,10001,Normal,3,6304008,5,21,0,250,1,True,Locale_System:union_raid_241003_name,Locale_System:union_raid_241003_description,si_ecg003,full_ecg003,1,3400303
100010306,10001,Normal,3,6304008,6,22,0,250,1,True,Locale_System:union_raid_241003_name,Locale_System:union_raid_241003_description,si_ecg003,full_ecg003,1,3400403
100010307,10001,Normal,3,6304008,7,22,0,250,1,True,Locale_System:union_raid_241003_name,Locale_System:union_raid_241003_description,si_ecg003,full_ecg003,1,3400403
100010401,10001,Normal,4,6304012,1,11,0,250,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,1,3400104
100010402,10001,Normal,4,6304012,2,12,0,250,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,1,3400204
100010403,10001,Normal,4,6304012,3,12,0,250,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,1,3400204
100010404,10001,Normal,4,6304012,4,31,0,300,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,1,3400304
100010405,10001,Normal,4,6304012,5,31,0,300,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,1,3400304
