id,difficulty_group_id,name_localkey,description_localkey,stage_order,wave_group,monster_level_base,character_max_level,summon_currency_max_level,summon_currency_get_second,time_limit,friendly_tower_id,friendly_tower_level,open_condition_stage,open_condition_day,first_reward_currency_id,first_reward_currency_value,repeat_reward_currency_id,repeat_reward_currency_value,tutorial_id
101,101,Locale_Event:EventBM_stage_easy_name_01,Locale_Event:EventBM_stage_common_desc_01,1,10101,1,2,2,10,180,1,1,0,0,2,2,0,0,11
102,101,Locale_Event:EventBM_stage_easy_name_02,Locale_Event:EventBM_stage_common_desc_01,2,10201,2,3,3,10,180,1,2,101,0,3,10,0,0,12
103,101,Locale_Event:EventBM_stage_easy_name_03,Locale_Event:EventBM_stage_common_desc_01,3,10301,2,3,3,10,180,1,2,102,0,3,15,0,0,0
104,101,Locale_Event:EventBM_stage_easy_name_04,Locale_Event:EventBM_stage_common_desc_01,4,10401,3,4,4,10,180,1,3,103,0,2,2,0,0,0
105,101,Locale_Event:EventBM_stage_easy_name_05,Locale_Event:EventBM_stage_common_desc_01,5,10501,3,4,4,10,360,1,3,104,0,3,10,0,0,0
106,101,Locale_Event:EventBM_stage_easy_name_06,Locale_Event:EventBM_stage_common_desc_01,6,10601,4,5,5,10,360,1,4,105,0,3,10,0,0,0
107,101,Locale_Event:EventBM_stage_easy_name_07,Locale_Event:EventBM_stage_common_desc_02,7,10701,5,7,7,10,540,1,5,106,0,3,15,0,0,0
201,201,Locale_Event:EventBM_stage_normal_name_01,Locale_Event:EventBM_stage_common_desc_01,1,20101,7,8,8,10,360,1,7,107,8,2,2,0,0,0
202,201,Locale_Event:EventBM_stage_normal_name_02,Locale_Event:EventBM_stage_common_desc_01,2,20201,7,8,8,10,360,1,7,201,8,3,20,0,0,0
203,201,Locale_Event:EventBM_stage_normal_name_03,Locale_Event:EventBM_stage_common_desc_01,3,20301,9,10,10,10,360,1,9,202,8,3,25,0,0,0
204,201,Locale_Event:EventBM_stage_normal_name_04,Locale_Event:EventBM_stage_common_desc_01,4,20401,11,13,13,10,540,1,11,203,8,2,2,0,0,0
205,201,Locale_Event:EventBM_stage_normal_name_05,Locale_Event:EventBM_stage_common_desc_01,5,20501,11,13,13,10,540,1,11,204,8,3,20,0,0,0
206,201,Locale_Event:EventBM_stage_normal_name_06,Locale_Event:EventBM_stage_common_desc_01,6,20601,13,15,15,10,540,1,13,205,8,3,20,0,0,0
207,201,Locale_Event:EventBM_stage_normal_name_07,Locale_Event:EventBM_stage_common_desc_02,7,20701,15,18,18,10,720,1,15,206,8,3,25,0,0,0
301,301,Locale_Event:EventBM_stage_hard_name_01,Locale_Event:EventBM_stage_common_desc_02,1,30101,18,20,20,10,540,1,18,207,15,2,2,0,0,0
302,301,Locale_Event:EventBM_stage_hard_name_02,Locale_Event:EventBM_stage_common_desc_02,2,30201,18,20,20,10,540,1,18,301,15,3,30,0,0,0
303,301,Locale_Event:EventBM_stage_hard_name_03,Locale_Event:EventBM_stage_common_desc_02,3,30301,21,23,23,10,540,1,21,302,15,3,35,0,0,0
304,301,Locale_Event:EventBM_stage_hard_name_04,Locale_Event:EventBM_stage_common_desc_02,4,30401,24,26,26,10,720,1,24,303,15,2,2,0,0,0
305,301,Locale_Event:EventBM_stage_hard_name_05,Locale_Event:EventBM_stage_common_desc_02,5,30501,24,27,27,10,720,1,24,304,15,3,30,0,0,0
306,301,Locale_Event:EventBM_stage_hard_name_06,Locale_Event:EventBM_stage_common_desc_02,6,30601,27,30,30,10,720,1,27,305,15,3,30,0,0,0
307,301,Locale_Event:EventBM_stage_hard_name_07,Locale_Event:EventBM_stage_common_desc_02,7,30701,30,34,34,10,900,1,30,306,15,3,59,0,0,0
401,401,Locale_Event:EventBM_stage_challenge_name_01,Locale_Event:EventBM_stage_common_desc_02,1,40101,2,50,50,10,1800,1,2,105,0,0,0,0,0,13
