id,group_id,stage_index,stage_prefab,time_limit,wave_data_id,clear_reward_id
101,1,1,fhbg_ce002_minigame_001,3000,1,8115058
102,1,2,fhbg_ce002_minigame_002,3000,2,8115059
103,1,3,fhbg_ce002_minigame_003,3000,3,8115060
104,1,4,fhbg_ce002_minigame_004,3000,4,8115061
105,1,5,fhbg_ce002_minigame_005,3000,5,8115062
106,1,6,fhbg_ce002_minigame_006,6000,6,8115063
107,1,7,fhbg_ce002_minigame_007,6000,7,8115064
108,1,8,fhbg_ce002_minigame_008,6000,8,8115065
109,1,9,fhbg_ce002_minigame_009,6000,9,8115066
110,1,10,fhbg_ce002_minigame_010,6000,10,8115067
111,1,11,fhbg_ce002_minigame_011,6000,11,8115068
112,1,12,fhbg_ce002_minigame_012,6000,12,8115069
113,1,13,fhbg_ce002_minigame_013,6000,13,8115070
114,1,14,fhbg_ce002_minigame_014,6000,14,8115071
115,1,15,fhbg_ce002_minigame_021,9000,21,8115072
116,1,16,fhbg_ce002_minigame_016,6000,16,8115073
117,1,17,fhbg_ce002_minigame_017,6000,17,8115074
118,1,18,fhbg_ce002_minigame_018,6000,18,8115075
119,1,19,fhbg_ce002_minigame_019,9000,19,8115076
120,1,20,fhbg_ce002_minigame_020,9000,20,8115077
121,1,21,fhbg_ce002_minigame_015,9000,15,8115078
122,1,22,fhbg_ce002_minigame_022,9000,22,8115079
123,1,23,fhbg_ce002_minigame_023,9000,23,8115080
201,2,1,fhbg_ce002_minigame_001,3000,1,8157058
202,2,2,fhbg_ce002_minigame_002,3000,2,8157059
203,2,3,fhbg_ce002_minigame_003,3000,3,8157060
204,2,4,fhbg_ce002_minigame_004,3000,4,8157061
205,2,5,fhbg_ce002_minigame_005,3000,5,8157062
206,2,6,fhbg_ce002_minigame_006,6000,6,8157063
207,2,7,fhbg_ce002_minigame_007,6000,7,8157064
208,2,8,fhbg_ce002_minigame_008,6000,8,8157065
209,2,9,fhbg_ce002_minigame_009,6000,9,8157066
210,2,10,fhbg_ce002_minigame_010,6000,10,8157067
211,2,11,fhbg_ce002_minigame_011,6000,11,8157068
212,2,12,fhbg_ce002_minigame_012,6000,12,8157069
213,2,13,fhbg_ce002_minigame_013,6000,13,8157070
214,2,14,fhbg_ce002_minigame_014,6000,14,8157071
215,2,15,fhbg_ce002_minigame_021,9000,21,8157072
216,2,16,fhbg_ce002_minigame_016,6000,16,8157073
217,2,17,fhbg_ce002_minigame_017,6000,17,8157074
218,2,18,fhbg_ce002_minigame_018,6000,18,8157075
219,2,19,fhbg_ce002_minigame_019,9000,19,8157076
220,2,20,fhbg_ce002_minigame_020,9000,20,8157077
221,2,21,fhbg_ce002_minigame_015,9000,15,8157078
222,2,22,fhbg_ce002_minigame_022,9000,22,8157079
223,2,23,fhbg_ce002_minigame_023,9000,23,8157080
