id,grade,infra_core_exp,reward_id,function_list/0/function,function_list/1/function,function_list/2/function,function_list/3/function,function_list/4/function,function_list/5/function,function_list/6/function,function_list/7/function,function_list/8/function,function_list/9/function,function_list/10/function,function_list/11/function,function_list/12/function,function_list/13/function,function_list/14/function,function_list/15/function,function_list/16/function,function_list/17/function,function_list/18/function,function_list/19/function
1,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,350,16000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,650,16000002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1000,16000003,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,1500,16000004,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,2100,16000005,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,2800,16000006,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,7,3600,16000007,1,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,8,4500,16000008,1,3,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,9,5500,16000009,1,3,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,10,6600,16000010,1,3,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,11,7900,16000011,1,4,4,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13,12,9400,16000012,1,4,5,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
14,13,11000,16000013,1,4,5,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
15,14,12700,16000014,1,5,5,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
16,15,14500,16000015,1,5,6,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
17,16,16500,16000016,1,5,6,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18,17,18500,16000017,1,6,6,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
19,18,21000,16000018,1,6,7,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
20,19,24000,16000019,1,6,7,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
21,20,0,16000020,1,7,7,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
