id,timeline_type,use_eve_timeline,use_eve_animator_id,use_monster_timeline,use_monster_animator_id,timeline_play_time,eve_move_able_time,timeline_start_character_location/0/name,timeline_start_character_location/0/value,timeline_start_character_location/1/name,timeline_start_character_location/1/value
1,Retribution,fx_ce006_c_gigas_retribution,900,fx_ce006_gigas_retribution,900,1050,750,timeline_start_character_location,0,timeline_start_character_location,0
2,SkillRetribution,fx_ce006_c_gigas_retribution,900,fx_ce006_gigas_retribution_02,900,1050,750,timeline_start_character_location,0,timeline_start_character_location,0
3,Finish,fx_ce006_c_gigas_finish,910,fx_ce006_gigas_finish,901,1100,1100,timeline_start_character_location,1202590843,timeline_start_character_location,0
4,Retribution,fx_ce006_c_abaddon_retribution,901,fx_ce006_abaddon_retribution,900,960,710,timeline_start_character_location,0,timeline_start_character_location,0
5,SkillRetribution,fx_ce006_c_abaddon_retribution,901,fx_ce006_abaddon_retribution_02,900,960,710,timeline_start_character_location,0,timeline_start_character_location,0
6,Finish,fx_ce006_c_abaddon_finish,911,fx_ce006_abaddon_finish,901,900,900,timeline_start_character_location,0,timeline_start_character_location,0
7,Retribution,fx_ce006_c_stalker_retribution,902,fx_ce006_stalker_retribution,900,920,770,timeline_start_character_location,0,timeline_start_character_location,0
8,SkillRetribution,fx_ce006_c_stalker_retribution,902,fx_ce006_stalker_retribution_02,900,920,770,timeline_start_character_location,0,timeline_start_character_location,0
9,Finish,fx_ce006_c_stalker_finish,912,fx_ce006_stalker_finish,901,1200,1200,timeline_start_character_location,0,timeline_start_character_location,0
10,Retribution,fx_ce006_c_behemoth_retribution,903,fx_ce006_behemoth_retribution,900,890,850,timeline_start_character_location,0,timeline_start_character_location,0
11,SkillRetribution,fx_ce006_c_behemoth_retribution,903,fx_ce006_behemoth_retribution_02,900,890,850,timeline_start_character_location,0,timeline_start_character_location,0
12,Finish,fx_ce006_c_behemoth_finish,913,fx_ce006_behemoth_finish,901,400,400,timeline_start_character_location,0,timeline_start_character_location,0
13,Retribution,fx_ce006_c_brute_retribution,904,fx_ce006_brute_retribution,900,700,550,timeline_start_character_location,0,timeline_start_character_location,0
14,SkillRetribution,fx_ce006_c_brute_retribution,904,fx_ce006_brute_retribution_02,900,700,550,timeline_start_character_location,0,timeline_start_character_location,0
15,Finish,fx_ce006_c_brute_finish,914,fx_ce006_brute_finish,901,1150,1150,timeline_start_character_location,0,timeline_start_character_location,0
