id,level_enhance_id,level,material_id,material_value,gold_value,slot,harmonycube_stats/0/stat_type,harmonycube_stats/0/stat_rate,harmonycube_stats/1/stat_type,harmonycube_stats/1/stat_rate,harmonycube_stats/2/stat_type,harmonycube_stats/2/stat_rate,skill_levels/0/skill_level,skill_levels/1/skill_level,skill_levels/2/skill_level
10001001,10001,1,7020001,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10001002,10001,2,7020001,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10001003,10001,3,7020001,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10001004,10001,4,7020001,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10001005,10001,5,7020001,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10001006,10001,6,7020001,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10001007,10001,7,7020001,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10001008,10001,8,7020001,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10001009,10001,9,7020001,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10001010,10001,10,7020001,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10001011,10001,11,7020001,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10001012,10001,12,7020001,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10001013,10001,13,7020001,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10001014,10001,14,7020001,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10001015,10001,15,7020001,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10002001,10002,1,7020002,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10002002,10002,2,7020002,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10002003,10002,3,7020002,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10002004,10002,4,7020002,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10002005,10002,5,7020002,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10002006,10002,6,7020002,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10002007,10002,7,7020002,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10002008,10002,8,7020002,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10002009,10002,9,7020002,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10002010,10002,10,7020002,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10002011,10002,11,7020002,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10002012,10002,12,7020002,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10002013,10002,13,7020002,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10002014,10002,14,7020002,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10002015,10002,15,7020002,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10003001,10003,1,7020003,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10003002,10003,2,7020003,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
