id,sidestory_id,part_id,step,stage_name,open_condition_stage,first_clear_reward,victory_character_resource
1000,1,101,0,Locale_Stage:SIDESTORY_1_STAGE_0,0,0,220
1001,1,101,1,Locale_Stage:SIDESTORY_1_STAGE_1,1000,0,220
1002,1,101,2,Locale_Stage:SIDESTORY_1_STAGE_2,1001,0,220
1003,1,101,3,Locale_Stage:SIDESTORY_1_STAGE_3,1002,0,220
1004,1,101,4,Locale_Stage:SIDESTORY_1_STAGE_4,1003,100,220
1005,1,102,5,Locale_Stage:SIDESTORY_1_STAGE_5,1004,0,220
1006,1,102,6,Locale_Stage:SIDESTORY_1_STAGE_6,1005,0,220
1007,1,102,7,Locale_Stage:SIDESTORY_1_STAGE_7,1006,0,220
1008,1,102,8,Locale_Stage:SIDESTORY_1_STAGE_8,1007,0,220
1009,1,102,9,Locale_Stage:SIDESTORY_1_STAGE_9,1008,100,220
1010,1,103,10,Locale_Stage:SIDESTORY_1_STAGE_10,1009,0,220
1011,1,103,11,Locale_Stage:SIDESTORY_1_STAGE_11,1010,0,260
1012,1,103,12,Locale_Stage:SIDESTORY_1_STAGE_12,1011,0,260
1013,1,103,13,Locale_Stage:SIDESTORY_1_STAGE_13,1012,0,260
1014,1,103,14,Locale_Stage:SIDESTORY_1_STAGE_14,1013,14000030,260
2001,2,201,1,Locale_Stage:SIDESTORY_2_STAGE_1,0,0,0
2002,2,201,2,Locale_Stage:SIDESTORY_2_STAGE_2,2001,0,161
2003,2,201,3,Locale_Stage:SIDESTORY_2_STAGE_3,2002,0,161
2004,2,201,4,Locale_Stage:SIDESTORY_2_STAGE_4,2003,0,161
2005,2,201,5,Locale_Stage:SIDESTORY_2_STAGE_5,2004,100,161
2006,2,202,6,Locale_Stage:SIDESTORY_2_STAGE_6,2005,0,161
2007,2,202,7,Locale_Stage:SIDESTORY_2_STAGE_7,2006,0,161
2008,2,202,8,Locale_Stage:SIDESTORY_2_STAGE_8,2007,0,161
2009,2,202,9,Locale_Stage:SIDESTORY_2_STAGE_9,2008,0,161
2010,2,202,10,Locale_Stage:SIDESTORY_2_STAGE_10,2009,100,161
2011,2,203,11,Locale_Stage:SIDESTORY_2_STAGE_11,2010,0,0
2012,2,203,12,Locale_Stage:SIDESTORY_2_STAGE_12,2011,0,161
2013,2,203,13,Locale_Stage:SIDESTORY_2_STAGE_13,2012,0,161
2014,2,203,14,Locale_Stage:SIDESTORY_2_STAGE_14,2013,14000031,0
3001,3,301,1,Locale_Stage:SIDESTORY_3_STAGE_1,0,0,0
3002,3,301,2,Locale_Stage:SIDESTORY_3_STAGE_2,3001,0,0
3003,3,301,3,Locale_Stage:SIDESTORY_3_STAGE_3,3002,0,0
3004,3,301,4,Locale_Stage:SIDESTORY_3_STAGE_4,3003,0,0
3005,3,301,5,Locale_Stage:SIDESTORY_3_STAGE_5,3004,100,0
3006,3,302,6,Locale_Stage:SIDESTORY_3_STAGE_6,3005,0,0
3007,3,302,7,Locale_Stage:SIDESTORY_3_STAGE_7,3006,0,0
3008,3,302,8,Locale_Stage:SIDESTORY_3_STAGE_8,3007,0,0
3009,3,302,9,Locale_Stage:SIDESTORY_3_STAGE_9,3008,0,0
3010,3,302,10,Locale_Stage:SIDESTORY_3_STAGE_10,3009,100,0
3011,3,303,11,Locale_Stage:SIDESTORY_3_STAGE_11,3010,0,0
3012,3,303,12,Locale_Stage:SIDESTORY_3_STAGE_12,3011,0,0
3013,3,303,13,Locale_Stage:SIDESTORY_3_STAGE_13,3012,0,0
3014,3,303,14,Locale_Stage:SIDESTORY_3_STAGE_14,3013,0,0
3015,3,303,15,Locale_Stage:SIDESTORY_3_STAGE_15,3014,14000032,0
4001,4,401,1,Locale_Stage:SIDESTORY_4_STAGE_1,0,0,231
4002,4,401,2,Locale_Stage:SIDESTORY_4_STAGE_2,4001,0,230
4003,4,401,3,Locale_Stage:SIDESTORY_4_STAGE_3,4002,0,232
4004,4,401,4,Locale_Stage:SIDESTORY_4_STAGE_4,4003,100,0
4005,4,402,5,Locale_Stage:SIDESTORY_4_STAGE_5,4004,0,0
4006,4,402,6,Locale_Stage:SIDESTORY_4_STAGE_6,4005,0,0
4007,4,402,7,Locale_Stage:SIDESTORY_4_STAGE_7,4006,0,0
4008,4,402,8,Locale_Stage:SIDESTORY_4_STAGE_8,4007,0,0
4009,4,402,9,Locale_Stage:SIDESTORY_4_STAGE_9,4008,100,0
4010,4,403,10,Locale_Stage:SIDESTORY_4_STAGE_10,4009,0,231
4011,4,403,11,Locale_Stage:SIDESTORY_4_STAGE_11,4010,0,0
4012,4,403,12,Locale_Stage:SIDESTORY_4_STAGE_12,4011,0,0
4013,4,403,13,Locale_Stage:SIDESTORY_4_STAGE_13,4012,14000033,0
