id,group,count,order,rate
10101,1,1,1,0
10102,1,1,2,0
10103,1,1,3,0
10104,1,1,4,100
10105,1,1,5,155
10106,1,1,6,175
10107,1,1,7,1600
10108,1,1,8,1600
10109,1,1,9,3135
10110,1,1,10,3135
10201,1,2,1,0
10202,1,2,2,40
10203,1,2,3,55
10204,1,2,4,100
10205,1,2,5,155
10206,1,2,6,175
10207,1,2,7,1600
10208,1,2,8,1600
10209,1,2,9,3135
10210,1,2,10,3135
10301,1,3,1,0
10302,1,3,2,40
10303,1,3,3,55
10304,1,3,4,100
10305,1,3,5,155
10306,1,3,6,175
10307,1,3,7,1600
10308,1,3,8,1600
10309,1,3,9,3135
10310,1,3,10,3135
10401,1,4,1,0
10402,1,4,2,40
10403,1,4,3,55
10404,1,4,4,100
10405,1,4,5,155
10406,1,4,6,175
10407,1,4,7,1600
10408,1,4,8,1600
10409,1,4,9,3135
10410,1,4,10,3135
10501,1,5,1,5
10502,1,5,2,40
10503,1,5,3,55
10504,1,5,4,100
10505,1,5,5,155
10506,1,5,6,175
10507,1,5,7,1600
10508,1,5,8,1600
10509,1,5,9,3135
10510,1,5,10,3135
10601,1,6,1,5
10602,1,6,2,40
10603,1,6,3,55
10604,1,6,4,100
10605,1,6,5,155
10606,1,6,6,175
10607,1,6,7,1600
10608,1,6,8,1600
10609,1,6,9,3135
10610,1,6,10,3135
10701,1,7,1,5
10702,1,7,2,40
10703,1,7,3,55
10704,1,7,4,100
10705,1,7,5,155
10706,1,7,6,175
10707,1,7,7,1600
10708,1,7,8,1600
10709,1,7,9,3135
10710,1,7,10,3135
10801,1,8,1,5
10802,1,8,2,40
10803,1,8,3,55
10804,1,8,4,100
10805,1,8,5,155
10806,1,8,6,175
10807,1,8,7,1600
10808,1,8,8,1600
10809,1,8,9,3135
10810,1,8,10,3135
10901,1,9,1,5
10902,1,9,2,40
10903,1,9,3,55
10904,1,9,4,100
10905,1,9,5,155
10906,1,9,6,175
10907,1,9,7,1600
10908,1,9,8,1600
10909,1,9,9,3135
10910,1,9,10,3135
11001,1,10,1,5
11002,1,10,2,40
11003,1,10,3,55
11004,1,10,4,100
11005,1,10,5,155
11006,1,10,6,175
11007,1,10,7,1600
11008,1,10,8,1600
11009,1,10,9,3135
11010,1,10,10,3135
