id,packaged/0/product_type,packaged/0/product_id,packaged/0/product_value,packaged/1/product_type,packaged/1/product_id,packaged/1/product_value,packaged/2/product_type,packaged/2/product_id,packaged/2/product_value,packaged/3/product_type,packaged/3/product_id,packaged/3/product_value,packaged/4/product_type,packaged/4/product_id,packaged/4/product_value
201,Currency,99,1,Currency,99,0,None,0,0,None,0,0,None,0,0
202,Currency,99,6,Currency,99,1,None,0,0,None,0,0,None,0,0
203,Currency,99,20,Currency,99,4,None,0,0,None,0,0,None,0,0
204,Currency,99,40,Currency,99,10,None,0,0,None,0,0,None,0,0
205,Currency,99,66,Currency,99,24,None,0,0,None,0,0,None,0,0
206,Currency,99,130,Currency,99,55,None,0,0,None,0,0,None,0,0
211,Currency,99,1,Currency,99,2,None,0,0,None,0,0,None,0,0
212,Currency,99,6,Currency,99,6,None,0,0,None,0,0,None,0,0
213,Currency,99,20,Currency,99,20,None,0,0,None,0,0,None,0,0
214,Currency,99,40,Currency,99,40,None,0,0,None,0,0,None,0,0
215,Currency,99,66,Currency,99,66,None,0,0,None,0,0,None,0,0
216,Currency,99,130,Currency,99,130,None,0,0,None,0,0,None,0,0
301,Currency,99,1,Currency,5100,1,Currency,2000,100000,None,0,0,None,0,0
302,Currency,99,10,Currency,2000,10000,None,0,0,None,0,0,None,0,0
303,Currency,99,100,Currency,2000,20000,None,0,0,None,0,0,None,0,0
304,Currency,99,200,Currency,2000,30000,None,0,0,None,0,0,None,0,0
305,Currency,99,500,Currency,2000,40000,None,0,0,None,0,0,None,0,0
306,Currency,99,1000,Currency,2000,50000,None,0,0,None,0,0,None,0,0
