id,chapter_id,chapter_mod,group_id,name_localkey,stage_category,stage_type,spot_autocontrol,enter_condition,monster_stage_lv,dynamic_object_stage_lv,standard_battle_power,stage_stat_increase_group_id,is_use_quick_battle,field_monster_id,spot_id,reward_id,enter_scenario_type,enter_scenario,exit_scenario_type,exit_scenario,current_outpost_battle_id,cleared_outpost_battle_id,fixed_play_character_id,character_lv
6000001,1,Normal,0,Locale_Stage:6000001_name,Normal,Main,True,0,1,1,110,40000,False,32200501,6000001,1000001,Dialog,d_main_01_01_s,Dialog,d_main_01_01_e,1001,1001,1000,
6000002,1,Normal,0,Locale_Stage:6000002_name,Normal,Main,True,0,1,1,140,40000,False,32200501,6000002,1000002,Dialog,d_main_01_02,,,1001,1001,1001,
6000003,1,Normal,0,Locale_Stage:6000003_name,Boss,Main,True,0,2,2,350,40000,False,32200501,6000003,1000003,Dialog,d_main_01_03_s,Dialog,d_main_01_03_e,1001,1004,1002,
6001001,2,Normal,0,Locale_Stage:6001001_name,Normal,Main,True,0,3,3,460,40000,False,32200401,6001001,1000004,Dialog,d_main_01_04_s,Dialog,d_main_01_04_e,1004,1007,1003,
6001002,2,Normal,0,Locale_Stage:6001002_name,Normal,Main,True,0,3,2,520,40000,False,12100201,6001002,1000005,Dialog,d_main_01_05,,,1007,1007,1004,
6001003,2,Normal,0,Locale_Stage:6001003_name,Hard,Main,True,0,4,3,610,40000,False,23200301,6001003,1000006,Dialog,d_main_01_06_s,Dialog,d_main_01_06_e,1010,1010,1005,
6001004,2,Normal,0,Locale_Stage:6001004_name,Boss,Main,True,0,3,3,1160,40000,False,32200501,6001004,1000007,Dialog,d_main_01_07_s,Dialog,d_main_01_07_e,1010,1010,1006,
6001005,2,Normal,0,Locale_Stage:6001005_name,Extra,Sub,False,0,3,3,1160,40000,False,32200501,6001005,300,,,,,1010,1010,0,80.0
6002001,3,Normal,0,Locale_Stage:6002001_name,Normal,Main,True,12,2,2,490,40000,False,32200401,6002001,1000008,Dialog,d_main_02_01,,,2001,2001,0,
6002002,3,Normal,0,Locale_Stage:6002002_name,Normal,Main,True,0,2,2,520,40000,False,32200401,6002002,1000009,,,,,2001,2001,0,
6002003,3,Normal,0,Locale_Stage:6002003_name,Hard,Main,True,0,2,2,560,40000,False,13100101,6002003,1000010,Dialog,d_main_02_02,,,2001,2001,0,
6002004,3,Normal,0,Locale_Stage:6002004_name,Normal,Main,True,0,3,3,610,40000,False,32200501,6002004,1000011,,,,,2001,2005,0,
6002005,3,Normal,0,Locale_Stage:6002005_name,Hard,Main,True,0,3,3,660,40000,False,33200601,6002005,1000012,Dialog,d_main_02_03,,,2005,2005,0,
6002006,3,Normal,1002001,Locale_Stage:6002006_name,Normal,Sub,True,0,3,3,680,40000,False,32200401,6002006,50,,,,,2009,2009,0,
6002007,3,Normal,1002001,Locale_Stage:6002007_name,Hard,Sub,True,0,3,3,690,40000,False,33100101,6002007,50,,,,,2009,2009,0,
6002008,3,Normal,0,Locale_Stage:6002008_name,Normal,Main,True,0,3,3,710,40000,False,32200501,6002008,1000013,,,Dialog,d_main_02_04,2005,2005,0,
6002009,3,Normal,0,Locale_Stage:6002009_name,Normal,Main,True,0,3,3,760,40000,False,32200501,6002009,1000014,,,,,2005,2009,0,
6002010,3,Normal,0,Locale_Stage:6002010_name,Hard,Main,True,0,4,3,800,40000,False,33200601,6002010,1000015,Dialog,d_main_02_05,,,2009,2009,0,
6002011,3,Normal,0,Locale_Stage:6002011_name,Normal,Main,True,0,4,3,840,40000,False,32200401,6002011,1000016,Dialog,d_main_02_06,,,2009,2009,0,
6002012,3,Normal,0,Locale_Stage:6002012_name,Normal,Main,True,0,4,3,860,40000,False,32200501,6002012,1000017,,,,,2009,2009,0,
6002013,3,Normal,0,Locale_Stage:6002013_name,Hard,Main,True,0,5,4,900,40000,False,13100101,6002013,1000018,Dialog,d_main_02_07,,,2009,2009,0,
6002014,3,Normal,1002002,Locale_Stage:6002014_name,Normal,Sub,True,0,5,4,900,40000,False,12100201,6002014,50,,,,,2009,2009,0,
6002015,3,Normal,1002002,Locale_Stage:6002015_name,Normal,Sub,True,0,5,4,950,40000,False,12200101,6002015,50,,,,,2009,2009,0,
6002016,3,Normal,0,Locale_Stage:6002016_name,Boss,Main,True,0,2,4,1030,40000,False,32200501,6002016,1000019,Dialog,d_main_02_08_s,Dialog,d_main_02_08_e,2009,2009,0,
6002017,3,Normal,2001,Locale_Stage:6002017_name,Normal,Sub,True,0,6,4,1700,40000,False,32200501,6002017,50,Dialog,d_subquest_1031,,,2009,2009,0,
