id,group_id,order,mission_type,condition_type,condition_value,name_localkey,reward_id
10001,1,1,TotalGet,StackPoint,4000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147027
10002,1,2,TotalGet,StackPoint,8000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147028
10003,1,3,TotalGet,StackPoint,12000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147029
10004,1,4,TotalGet,StackPoint,16000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147030
10005,1,5,TotalGet,StackPoint,20000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147031
10006,1,6,TotalGet,StackPoint,24000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147032
10007,1,7,TotalGet,StackPoint,29000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147033
10008,1,8,TotalGet,StackPoint,34000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147034
10009,1,9,TotalGet,StackPoint,39000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147035
10010,1,10,TotalGet,StackPoint,44000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147036
10011,1,11,TotalGet,StackPoint,49000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147037
10012,1,12,TotalGet,StackPoint,55000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,8147038
20001,1,1,Achievement,RenewRecord,2000,Locale_Event:CE003_MINI_GAME_RENEWRECORD_DESC,8147039
20002,1,2,Achievement,RenewRecord,4000,Locale_Event:CE003_MINI_GAME_RENEWRECORD_DESC,8147040
20003,1,3,Achievement,RenewRecord,7000,Locale_Event:CE003_MINI_GAME_RENEWRECORD_DESC,8147041
20004,1,4,Achievement,RenewRecord,9000,Locale_Event:CE003_MINI_GAME_RENEWRECORD_DESC,8147042
