id,block_group,name_localkey,description_localkey,block_type,block_rare,element,attak,hp,defence,function_group
10101,101,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,4,Fire,105,3157,21,101
10102,102,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,4,Fire,105,3157,21,101
10103,103,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,4,Fire,105,3157,21,101
10201,201,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,5,Fire,189,5674,37,101
10202,202,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,5,Fire,189,5674,37,101
10203,203,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,5,Fire,189,5674,37,101
10301,301,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,6,Fire,282,8478,56,101
10302,302,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,6,Fire,282,8478,56,101
10303,303,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,6,Fire,282,8478,56,101
10401,401,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,7,Fire,381,11431,76,101
10402,402,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,7,Fire,381,11431,76,101
10403,403,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,7,Fire,381,11431,76,101
10501,501,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,8,Fire,488,14646,97,101
10502,502,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,8,Fire,488,14646,97,101
10503,503,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,8,Fire,488,14646,97,101
10601,601,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,9,Fire,595,17861,119,101
10602,602,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,9,Fire,595,17861,119,101
10603,603,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,9,Fire,595,17861,119,101
20101,101,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,4,Water,105,3157,21,101
20102,102,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,4,Water,105,3157,21,101
20103,103,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,4,Water,105,3157,21,101
20201,201,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,5,Water,189,5674,37,101
20202,202,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,5,Water,189,5674,37,101
