id,favorite_rare,level,need_exp
1000,R,0,1000
1001,R,1,1000
1002,R,2,1000
1003,R,3,1000
1004,R,4,1000
1005,R,5,1000
1006,R,6,1000
1007,R,7,1000
1008,R,8,1000
1009,R,9,1000
1010,R,10,1000
1011,R,11,1000
1012,R,12,1000
1013,R,13,1000
1014,R,14,1000
1015,R,15,0
2000,SR,0,3000
2001,SR,1,3000
2002,SR,2,3000
2003,SR,3,3000
2004,SR,4,3000
2005,SR,5,3000
2006,SR,6,3000
2007,SR,7,3000
2008,SR,8,3000
2009,SR,9,3000
2010,SR,10,3000
2011,SR,11,3000
2012,SR,12,3000
2013,SR,13,3000
2014,SR,14,3000
2015,SR,15,0
3001,SSR,0,0
3002,SSR,1,0
3003,SSR,2,0
