id,group_id,manager_id,page_order,image_resource,page_title_localkey,tutorial_localkey,archive_manager_id
10010101,100101,1001.0,1,ele_snowfalloasis_tutorial_01_01,Locale_Event:snowfalloasis_tutorial_page_title_myroom_01,Locale_Event:snowfalloasis_tutorial_tutorial_myroom_01,
10010201,100102,1001.0,1,ele_snowfalloasis_tutorial_02_01,Locale_Event:snowfalloasis_tutorial_page_title_worldmap_01,Locale_Event:snowfalloasis_tutorial_tutorial_worldmap_01,
10010202,100102,1001.0,2,ele_snowfalloasis_tutorial_02_02,Locale_Event:snowfalloasis_tutorial_page_title_worldmap_02,Locale_Event:snowfalloasis_tutorial_tutorial_worldmap_02,
10010301,100103,1001.0,1,ele_snowfalloasis_tutorial_03_01,Locale_Event:snowfalloasis_tutorial_page_title_dialogevent_01,Locale_Event:snowfalloasis_tutorial_tutorial_dialogevent_01,
10010302,100103,1001.0,2,ele_snowfalloasis_tutorial_03_02,Locale_Event:snowfalloasis_tutorial_page_title_dialogevent_02,Locale_Event:snowfalloasis_tutorial_tutorial_dialogevent_02,
10010303,100103,1001.0,3,ele_snowfalloasis_tutorial_03_03,Locale_Event:snowfalloasis_tutorial_page_title_dialogevent_03,Locale_Event:snowfalloasis_tutorial_tutorial_dialogevent_03,
10010401,100104,1001.0,1,ele_snowfalloasis_tutorial_04_01,Locale_Event:snowfalloasis_tutorial_page_title_relationevent_01,Locale_Event:snowfalloasis_tutorial_tutorial_relationevent_01,
10010402,100104,1001.0,2,ele_snowfalloasis_tutorial_04_02,Locale_Event:snowfalloasis_tutorial_page_title_relationevent_02,Locale_Event:snowfalloasis_tutorial_tutorial_relationevent_02,
10010501,100105,1001.0,1,ele_snowfalloasis_tutorial_05_01,Locale_Event:snowfalloasis_tutorial_page_title_heroinegroup_01,Locale_Event:snowfalloasis_tutorial_tutorial_heroinegroup_01,
10010601,100106,1001.0,1,ele_snowfalloasis_tutorial_06_01,Locale_Event:snowfalloasis_tutorial_page_title_lostitem_01,Locale_Event:snowfalloasis_tutorial_tutorial_lostitem_01,
10010602,100106,1001.0,2,ele_snowfalloasis_tutorial_06_02,Locale_Event:snowfalloasis_tutorial_page_title_lostitem_02,Locale_Event:snowfalloasis_tutorial_tutorial_lostitem_02,
10010701,100107,1001.0,1,ele_snowfalloasis_tutorial_07_01,Locale_Event:snowfalloasis_tutorial_page_title_infinitytime_01,Locale_Event:snowfalloasis_tutorial_tutorial_infinitytime_01,
10010801,100108,1001.0,1,ele_snowfalloasis_tutorial_08_01,Locale_Event:snowfalloasis_tutorial_page_title_infinitystamina_01,Locale_Event:snowfalloasis_tutorial_tutorial_infinitystamina_01,
20010101,200101,,1,ele_snowfalloasis_tutorial_01_01,Locale_Event:snowfalloasis_tutorial_page_title_myroom_01,Locale_Event:snowfalloasis_tutorial_tutorial_myroom_01,1001.0
20010201,200102,,1,ele_snowfalloasis_tutorial_02_01,Locale_Event:snowfalloasis_tutorial_page_title_worldmap_01,Locale_Event:snowfalloasis_tutorial_tutorial_worldmap_01,1001.0
20010202,200102,,2,ele_snowfalloasis_tutorial_02_02,Locale_Event:snowfalloasis_tutorial_page_title_worldmap_02,Locale_Event:snowfalloasis_tutorial_tutorial_worldmap_02,1001.0
20010301,200103,,1,ele_snowfalloasis_tutorial_03_01,Locale_Event:snowfalloasis_tutorial_page_title_dialogevent_01,Locale_Event:snowfalloasis_tutorial_tutorial_dialogevent_01,1001.0
20010302,200103,,2,ele_snowfalloasis_tutorial_03_02,Locale_Event:snowfalloasis_tutorial_page_title_dialogevent_02,Locale_Event:snowfalloasis_tutorial_tutorial_dialogevent_02_01,1001.0
20010401,200104,,1,ele_snowfalloasis_tutorial_04_01,Locale_Event:snowfalloasis_tutorial_page_title_relationevent_01,Locale_Event:snowfalloasis_tutorial_tutorial_relationevent_01,1001.0
20010402,200104,,2,ele_snowfalloasis_tutorial_04_02,Locale_Event:snowfalloasis_tutorial_page_title_relationevent_02,Locale_Event:snowfalloasis_tutorial_tutorial_relationevent_02,1001.0
20010501,200105,,1,ele_snowfalloasis_tutorial_05_01,Locale_Event:snowfalloasis_tutorial_page_title_heroinegroup_01,Locale_Event:snowfalloasis_tutorial_tutorial_heroinegroup_01,1001.0
20010601,200106,,1,ele_snowfalloasis_tutorial_06_01,Locale_Event:snowfalloasis_tutorial_page_title_lostitem_01,Locale_Event:snowfalloasis_tutorial_tutorial_lostitem_01,1001.0
20010602,200106,,2,ele_snowfalloasis_tutorial_06_02,Locale_Event:snowfalloasis_tutorial_page_title_lostitem_02,Locale_Event:snowfalloasis_tutorial_tutorial_lostitem_02,1001.0
20010701,200107,,1,ele_snowfalloasis_tutorial_07_01,Locale_Event:snowfalloasis_tutorial_page_title_infinitytime_01,Locale_Event:snowfalloasis_tutorial_tutorial_infinitytime_01,1001.0
