id,name_localkey,description_localkey,resource_id,is_visible_to_inventory,max_value
UserExp,Locale_System:USER_EXP,Locale_System:EXP_DESC,9999,False,1316134912
FreeCash,Locale_System:CASH,Locale_System:CASH_DESC,1001,True,1316134912
ChargeCash,Locale_System:CASH,Locale_System:CASH_DESC,1001,False,1316134912
CharacterExp,Locale_System:EXP_CHARACTER,Locale_System:EXP_CHARACTER_DESC,1005,True,1316134912
Gold,Locale_System:GOLD,Locale_System:GOLD_DESC,1002,True,1316134912
CharacterExp2,Locale_System:EXP_CHARACTER2,Locale_System:EXP_CHARACTER2_DESC,1006,True,1316134912
Friendship_Point,Locale_System:FRIEND_POINT,Locale_System:FRIEND_POINT_DESC,1004,True,1316134912
ArenaChip,Locale_System:SPECIAL_ARENA_REWARD,Locale_System:SPECIAL_ARENA_REWARD_DESC,1007,True,1316134912
InfraCoreEnergy,Locale_System:INFRACORE_POINT,Locale_System:INFRACORE_POINT_DESC,1010,False,1316134912
RaptureParts,Locale_System:RAPTURE_PARTS,Locale_System:RAPTURE_PARTS_DESC,6000,True,1316134912
RapturePartsRanking,Locale_System:RAPTURE_PARTS_RANKING,Locale_System:RAPTURE_PARTS_RANKING_DESC,6001,True,1316134912
DissolutionPoint,Locale_System:DISSOLUTION_POINT,Locale_System:DISSOLUTION_POINT_DESC,1011,True,1316134912
GuildCoin,Locale_System:GUILD_COIN,Locale_System:GUILD_COIN_DESC,1012,True,1316134912
SilverMileageTicket,Locale_System:SUMMON_MILEAGE_TICKET_SILVER,Locale_System:SUMMON_MILEAGE_TICKET_SILVER_DESC,1101,True,1316134912
GoldMileageTicket,Locale_System:SUMMON_MILEAGE_TICKET_GOLD,Locale_System:SUMMON_MILEAGE_TICKET_GOLD_DESC,1102,True,1316134912
SimulationRoomPoint,Locale_System:SIMULATIONROOM_POINT,Locale_System:SIMULATIONROOM_POINT_DESC,1013,False,1316134912
CharacterSkillReset_Ticket,Locale_System:SKILL_UNINSTALLER,Locale_System:SKILL_UNINSTALLER_DESC,1015,True,1316134912
HexaCodeCurrency,Locale_System:HEXACODE_CURRENCY,Locale_System:HEXACODE_CURRENCY_DESC,1016,True,1316134912
Char_Premium_Ticket,Locale_System:SUMMON_SCROLL,Locale_System:SUMMON_SCROLL_DESC,3001,True,1316134912
Char_Customize_Ticket,Locale_System:SUMMON_SCROLL_CHARACTER_CUSTOMIZE,Locale_System:SUMMON_SCROLL_CHARACTER_CUSTOMIZE_DESC,3002,True,1316134912
Char_Corporation_Ticket,Locale_System:SUMMON_SCROLL_COMPANY,Locale_System:SUMMON_SCROLL_COMPANY_DESC,3003,True,1316134912
Char_CE002_RE_Ticket,Locale_System:SUMMON_SCROLL_CHARACTER_CE002_RE,Locale_System:SUMMON_SCROLL_CHARACTER_CE002_RE_DESC,3101,False,1316134912
Char_CE007_Ticket,Locale_System:SUMMON_SCROLL_CHARACTER_CE007,Locale_System:SUMMON_SCROLL_CHARACTER_CE007_DESC,3101,False,1316134912
Char_Select_01_Ticket,Locale_System:SUMMON_SCROLL_SELECT_01,Locale_System:SUMMON_SCROLL_SELECT_01_DESC,3102,False,1316134912
Char_Select_02_Ticket,Locale_System:SUMMON_SCROLL_SELECT_01,Locale_System:SUMMON_SCROLL_SELECT_02_DESC,3102,False,1316134912
Arena_Ticket,Locale_System:ARENA_CHIP,Locale_System:ARENA_CHIP_DESC,3004,False,1316134912
_2nd_Arena_Ticket,Locale_System:SPECIAL_ARENA_CHIP,Locale_System:SPECIAL_ARENA_CHIP_DESC,3005,False,1316134912
InterceptTicket,Locale_System:SPECIAL_ARENA_CHIP,Locale_System:SPECIAL_ARENA_CHIP_DESC,3005,False,1316134912
ContentStamina,Locale_System:OUTPOST_SUDDEN_EVENT_STAMINA,Locale_System:OUTPOST_SUDDEN_EVENT_STAMINA_DESC,9001,False,5
RecycleRoomPoint,Locale_System:RECYCLE_ROOM_RESEARCH_POINT,Locale_System:RECYCLE_ROOM_RESEARCH_POINT_DESC,1008,False,1316134912
