id,position_x,position_y,position_z
9,-17.5,0.0,0.0
8,-15.5,0.0,0.0
7,-13.0,0.0,0.0
6,-11.0,0.0,0.0
5,-9.0,0.0,0.0
4,-6.5,0.0,0.0
3,-4.5,0.0,0.0
2,-2.0,0.0,0.0
1,0.0,0.0,0.0
12,2.5,0.0,0.0
13,4.5,0.0,0.0
14,6.5,0.0,0.0
15,9.0,0.0,0.0
16,11.0,0.0,0.0
17,13.0,0.0,0.0
18,15.5,0.0,0.0
19,17.5,0.0,0.0
90,-17.5,0.5,4.0
80,-15.5,0.5,4.0
70,-13.0,0.5,4.0
60,-11.0,0.5,4.0
50,-9.0,0.5,4.0
40,-6.5,0.5,4.0
30,-4.5,0.5,4.0
20,-2.0,0.5,4.0
10,0.0,0.5,4.0
120,2.5,0.5,4.0
130,4.5,0.5,4.0
140,6.5,0.5,4.0
150,9.0,0.5,4.0
160,11.0,0.5,4.0
170,13.0,0.5,4.0
180,15.5,0.5,4.0
190,17.5,0.5,4.0
900,-17.5,1.0,6.0
800,-15.5,1.0,6.0
700,-13.0,1.0,6.0
600,-11.0,1.0,6.0
500,-9.0,1.0,6.0
400,-6.5,1.0,6.0
300,-4.5,1.0,6.0
200,-2.0,1.0,6.0
100,0.0,1.0,6.0
1200,2.5,1.0,6.0
1300,4.5,1.0,6.0
1400,6.5,1.0,6.0
1500,9.0,1.0,6.0
1600,11.0,1.0,6.0
1700,13.0,1.0,6.0
1800,15.5,1.0,6.0
1900,17.5,1.0,6.0
97,-15.5,0.0,0.0
86,-13.0,0.0,0.0
75,-11.0,0.0,0.0
64,-8.5,0.0,0.0
53,-6.5,0.0,0.0
42,-4.0,0.0,0.0
31,-2.0,0.0,0.0
212,0.0,0.0,0.0
113,2.5,0.0,0.0
1214,4.5,0.0,0.0
1315,6.5,0.0,0.0
1416,9.0,0.0,0.0
1517,11.0,0.0,0.0
1618,13.0,0.0,0.0
1719,15.5,0.0,0.0
111,-13.5,2.0,-5.5
333,-4.5,2.0,-5.5
555,0.0,2.0,-5.5
777,4.5,2.0,-5.5
999,13.0,2.0,-5.5
full,0.0,5.0,-50.0
black,-588.8,100.0,0.0
black2,-588.8,100.0,0.0
S_90,-17.5,-0.5,4.0
S_80,-15.5,-0.5,4.0
S_70,-13.0,-0.5,4.0
S_60,-11.0,-0.5,4.0
S_50,-9.0,-0.5,4.0
S_40,-6.5,-0.5,4.0
S_30,-4.5,-0.5,4.0
S_20,-2.0,-0.5,4.0
S_10,0.0,-0.5,4.0
S_120,2.5,-0.5,4.0
S_130,4.5,-0.5,4.0
S_140,6.5,-0.5,4.0
S_150,9.0,-0.5,4.0
S_160,11.0,-0.5,4.0
S_170,13.0,-0.5,4.0
S_180,15.5,-0.5,4.0
S_190,17.5,-0.5,4.0
S_900,-17.5,0.0,6.0
S_800,-15.5,0.0,6.0
S_700,-13.0,0.0,6.0
S_600,-11.0,0.0,6.0
S_500,-9.0,0.0,6.0
S_400,-6.5,0.0,6.0
S_300,-4.5,0.0,6.0
S_200,-2.0,0.0,6.0
S_100,0.0,0.0,6.0
S_1200,2.5,0.0,6.0
S_1300,4.5,0.0,6.0
S_1400,6.5,0.0,6.0
S_1500,9.0,0.0,6.0
S_1600,11.0,0.0,6.0
S_1700,13.0,0.0,6.0
S_1800,15.5,0.0,6.0
S_1900,17.5,0.0,6.0
XS_90,-17.5,-1.5,4.0
XS_80,-15.5,-1.5,4.0
XS_70,-13.0,-1.5,4.0
XS_60,-11.0,-1.5,4.0
XS_50,-9.0,-1.5,4.0
XS_40,-6.5,-1.5,4.0
XS_30,-4.5,-1.5,4.0
XS_20,-2.0,-1.5,4.0
XS_10,0.0,-1.5,4.0
XS_120,2.5,-1.5,4.0
XS_130,4.5,-1.5,4.0
XS_140,6.5,-1.5,4.0
XS_150,9.0,-1.5,4.0
XS_160,11.0,-1.5,4.0
XS_170,13.0,-1.5,4.0
XS_180,15.5,-1.5,4.0
XS_190,17.5,-1.5,4.0
XS_900,-17.5,-1.0,6.0
XS_800,-15.5,-1.0,6.0
XS_700,-13.0,-1.0,6.0
XS_600,-11.0,-1.0,6.0
XS_500,-9.0,-1.0,6.0
XS_400,-6.5,-1.0,6.0
XS_300,-4.5,-1.0,6.0
