id,list_button_index,event_field_id,npc_localkey_name,npc_localkey_contents,npc_type,resource_id,costume_index,forced_name_tag_resource,interaction_type,interaction_distance,forced_interaction_marker,is_interaction_after_end,progress_event_group_id,is_use_balloon_talk,balloon_always_id,balloon_always_play_type,balloon_always_cycle,event_field_npc_event_data_list/0/event_id,event_field_npc_event_data_list/0/event_type,event_field_npc_event_data_list/0/event_resource_value,event_field_npc_event_data_list/1/event_id,event_field_npc_event_data_list/1/event_type,event_field_npc_event_data_list/1/event_resource_value,event_field_npc_event_data_list/2/event_id,event_field_npc_event_data_list/2/event_type,event_field_npc_event_data_list/2/event_resource_value
1,1,10001,Locale_Character:203_name,Locale_Event:event_contents_storydungeon_before,Character,203,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,0,False,,None,0,40003,None,,0,None,,0,None,
2,0,10001,Locale_Character:121_name,,Character,121,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200102,False,,None,0,0,None,,0,None,,0,None,
3,2,10001,Locale_Character:121_name,Locale_Event:event_contents_storydungeon_after,Character,121,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200103,False,,None,0,40004,None,,0,None,,0,None,
4,3,10001,Locale_Character:90_name,Locale_Event:event_contents_login,Character,90,1,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,0,False,,None,0,80103,None,,0,None,,0,None,
5,4,10001,Locale_Character:193_name,Locale_Event:event_contents_shop,Character,193,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,True,0,False,,None,0,80104,None,,0,None,,0,None,
6,0,10001,Locale_Character:210_name,,Character,210,1,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200106,False,,None,0,0,None,,0,None,,0,None,
7,5,10001,Locale_Character:210_name,Locale_Event:event_contents_minigame,Character,210,1,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200107,False,,None,0,80105,None,,0,None,,0,None,
8,0,10001,Locale_Character:191_name,,Character,191,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200108,True,event_miraclesnow_ballon_01,Random,4,0,None,,0,None,,0,None,
9,0,10001,Locale_Character:191_name,,Character,191,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200109,True,event_miraclesnow_ballon_02,Random,4,0,None,,0,None,,0,None,
10,0,10001,Locale_Character:191_name,,Character,191,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200110,True,event_miraclesnow_ballon_03,Random,4,0,None,,0,None,,0,None,
11,0,10001,Locale_Character:191_name,,Character,191,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200111,True,event_miraclesnow_ballon_04,Random,4,0,None,,0,None,,0,None,
12,0,10001,Locale_Character:191_name,,Character,191,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200112,True,event_miraclesnow_ballon_05,Random,4,0,None,,0,None,,0,None,
13,0,10001,Locale_Character:190_name,,Character,190,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200113,True,event_miraclesnow_ballon_06,Random,4,0,None,,0,None,,0,None,
14,0,10001,Locale_Character:190_name,,Character,190,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200114,True,event_miraclesnow_ballon_07,Random,4,0,None,,0,None,,0,None,
15,0,10001,Locale_Character:190_name,,Character,190,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200115,True,event_miraclesnow_ballon_08,Random,4,0,None,,0,None,,0,None,
16,0,10001,Locale_Character:190_name,,Character,190,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_miraclesnow,False,200116,True,event_miraclesnow_ballon_09,Random,4,0,None,,0,None,,0,None,
17,1,10002,Locale_Character:802_name,Locale_Event:event_contents_storydungeon_before,Character,802,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_ce_01,False,0,False,,None,0,40008,None,,0,None,,0,None,
18,0,10002,Locale_Character:801_name,,Character,801,0,sprite_event_ce_01_npc_tag,None,200,sprite_btn_event_ce_01,False,200201,False,,None,0,0,None,,0,None,,0,None,
