id,name_localkey,description_localkey,world_id,sort_id,resource_id,display_type_icon,display_type_name,item_type,item_rare,use_type,use_id,use_value
304010101,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_CORE_POWDER_01_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_CORE_POWDER_01_DESC,4,101,icn_surface_core_powder_box_001,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,R,GetSurfaceCurrencyFixedValue,104000001,1000
304010102,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_CORE_POWDER_02_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_CORE_POWDER_02_DESC,4,102,icn_surface_core_powder_box_002,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SR,GetSurfaceCurrencyFixedValue,104000001,10000
304010103,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_CORE_POWDER_03_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_CORE_POWDER_03_DESC,4,103,icn_surface_core_powder_box_003,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SSR,GetSurfaceCurrencyFixedValue,104000001,100000
304010201,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GODDESIUM_01_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GODDESIUM_01_DESC,4,201,icn_surface_goddesium_box_001,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,R,GetSurfaceCurrencyFixedValue,104000002,1000
304010202,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GODDESIUM_02_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GODDESIUM_02_DESC,4,202,icn_surface_goddesium_box_002,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SR,GetSurfaceCurrencyFixedValue,104000002,10000
304010203,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GODDESIUM_03_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GODDESIUM_03_DESC,4,203,icn_surface_goddesium_box_003,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SSR,GetSurfaceCurrencyFixedValue,104000002,100000
304010301,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GEONIC_01_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GEONIC_01_DESC,4,301,icn_surface_geonic_box_001,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,R,GetSurfaceCurrencyFixedValue,104000003,1000
304010302,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GEONIC_02_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GEONIC_02_DESC,4,302,icn_surface_geonic_box_002,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SR,GetSurfaceCurrencyFixedValue,104000003,10000
304010303,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GEONIC_03_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_GEONIC_03_DESC,4,303,icn_surface_geonic_box_003,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SSR,GetSurfaceCurrencyFixedValue,104000003,100000
304010401,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_NEO_TITANIUM_01_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_NEO_TITANIUM_01_DESC,4,401,icn_surface_neo_titanium_box_001,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,R,GetSurfaceCurrencyFixedValue,104000004,1000
304010402,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_NEO_TITANIUM_02_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_NEO_TITANIUM_02_DESC,4,402,icn_surface_neo_titanium_box_002,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SR,GetSurfaceCurrencyFixedValue,104000004,10000
304010403,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_NEO_TITANIUM_03_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_BOX_NEO_TITANIUM_03_DESC,4,403,icn_surface_neo_titanium_box_003,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SSR,GetSurfaceCurrencyFixedValue,104000004,100000
304010501,Locale_Surface:SURFACE_ITEM_CONSUME_HP_RECOVERY_PER_01_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_HP_RECOVERY_PER_01_DESC,4,501,icn_surface_hp_recovery_per_001,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SSR,Character_HP_Recovery_Per,0,10000
304010601,Locale_Surface:SURFACE_ITEM_CONSUME_STAMINA_RECOVERY_PER_01_NAME,Locale_Surface:SURFACE_ITEM_CONSUME_STAMINA_RECOVERY_PER_01_DESC,4,601,icn_surface_stamina_recovery_per_001,icn_surface,SURFACE_ITEM_DISPLAY_TYPE_03,SurfaceItemConsume,SSR,Character_Stamina_Recovery_Per,0,10000
