id,function_type,function_localkey,order,is_hidden
1,OpenAllReceive,Locale_System:INFRACORE_FUNCTION_OPENALLRECIEVE,1,False
2,DispatchMaxList,Locale_System:INFRACORE_FUNCTION_DISPATCHMAXLIST,2,False
3,TodayAttractiveMaxCount,Locale_System:INFRACORE_FUNCTION_ATTRACTIVEMAXCOUNT,3,False
4,OpenAutoDispatch,Locale_System:INFRACORE_FUNCTION_OPENAUTODISPATCH,4,False
5,StaminaMaxCount,Locale_System:INFRACORE_FUNCTION_STAMINAMAXCOUNT,5,False
6,OpenFastDispatch,Locale_System:INFRACORE_FUNCTION_OPENFASTDISPATCH,6,False
7,ShopNormalFreeResetMaxCount,Locale_System:INFRACORE_FUNCTION_RESETPRODUCTMAXCOUNT,7,False
8,ArenaMaxCount,Locale_System:INFRACORE_FUNCTION_ARENAMAXCOUNT,8,False
9,OutpostBattleMaxTime,Locale_System:INFRACORE_FUNCTION_OUTPOSTBATTLEMAXTIME,9,False
10,OutpostFastBattleMaxCount,Locale_System:INFRACORE_FUNCTION_OUTPOSTFASTBATTLEMAXCOUNT,10,False
11,ShopNormalBuyLimitMaxCount,Locale_System:INFRACORE_FUNCTION_RESETPRODUCTMAXCOUNT,11,False
12,None,,12,False
13,None,,13,False
14,None,,14,False
15,None,,15,False
16,None,,16,False
17,None,,17,False
18,None,,18,False
19,None,,19,False
20,None,,20,False
