id,type,name_locale,status_message_locale,profile_image,background_image
keuoaang01,NPC,Locale_Character:npc_50_name,Locale_Character:npc_50_intro,icon_messenger_logo,sns_bg_default
ruruphee01,NPC,Locale_Character:npc_51_name,Locale_Character:npc_51_intro,icon_messenger_logo,sns_bg_default
rapi,Nikke,Locale_Character:10_name,Locale_Character:10_intro,si_c010_00_s,sns_bg_default
neon,Nikke,Locale_Character:11_name,Locale_Character:11_intro,si_c011_00_s,sns_bg_default
anis,Nikke,Locale_Character:12_name,Locale_Character:12_intro,si_c012_00_s,sns_bg_default
delta,Nikke,Locale_Character:20_name,Locale_Character:20_intro,si_c020_00_s,sns_bg_default
signal,Nikke,Locale_Character:22_name,Locale_Character:22_intro,si_c022_00_s,sns_bg_default
poli,Nikke,Locale_Character:30_name,Locale_Character:30_intro,si_c030_00_s,sns_bg_default
miranda,Nikke,Locale_Character:32_name,Locale_Character:32_intro,si_c032_00_s,sns_bg_default
quiry,Nikke,Locale_Character:33_name,Locale_Character:33_intro,si_c033_00_s,sns_bg_default
belorta,Nikke,Locale_Character:60_name,Locale_Character:60_intro,si_c060_00_s,sns_bg_default
mica,Nikke,Locale_Character:61_name,Locale_Character:61_intro,si_c061_00_s,sns_bg_default
brid,Nikke,Locale_Character:70_name,Locale_Character:70_intro,si_c070_00_s,sns_bg_default
soline,Nikke,Locale_Character:71_name,Locale_Character:71_intro,si_c071_00_s,sns_bg_default
diesel,Nikke,Locale_Character:72_name,Locale_Character:72_intro,si_c072_00_s,sns_bg_default
centi,Nikke,Locale_Character:80_name,Locale_Character:80_intro,si_c080_00_s,sns_bg_default
liter,Nikke,Locale_Character:82_name,Locale_Character:82_intro,si_c082_00_s,sns_bg_default
emma,Nikke,Locale_Character:90_name,Locale_Character:90_intro,si_c090_00_s,sns_bg_default
vesti,Nikke,Locale_Character:91_name,Locale_Character:91_intro,si_c091_00_s,sns_bg_default
eunhwa,Nikke,Locale_Character:92_name,Locale_Character:92_intro,si_c092_00_s,sns_bg_default
drake,Nikke,Locale_Character:101_name,Locale_Character:101_intro,si_c101_00_s,sns_bg_default
maxwell,Nikke,Locale_Character:102_name,Locale_Character:102_intro,si_c102_00_s,sns_bg_default
crow,Nikke,Locale_Character:110_name,Locale_Character:110_intro,si_c110_00_s,sns_bg_default
n102,Nikke,Locale_Character:120_name,Locale_Character:120_intro,si_c120_00_s,sns_bg_default
mary,Nikke,Locale_Character:130_name,Locale_Character:130_intro,si_c130_00_s,sns_bg_default
pepper,Nikke,Locale_Character:131_name,Locale_Character:131_intro,si_c131_00_s,sns_bg_default
sugar,Nikke,Locale_Character:140_name,Locale_Character:140_intro,si_c140_00_s,sns_bg_default
milk,Nikke,Locale_Character:141_name,Locale_Character:141_intro,si_c141_00_s,sns_bg_default
frima,Nikke,Locale_Character:142_name,Locale_Character:142_intro,si_c142_00_s,sns_bg_default
julia,Nikke,Locale_Character:150_name,Locale_Character:150_intro,si_c150_00_s,sns_bg_default
yuni,Nikke,Locale_Character:160_name,Locale_Character:160_intro,si_c160_00_s,sns_bg_default
mihara,Nikke,Locale_Character:161_name,Locale_Character:161_intro,si_c161_00_s,sns_bg_default
privaty,Nikke,Locale_Character:170_name,Locale_Character:170_intro,si_c170_00_s,sns_bg_default
yulha,Nikke,Locale_Character:171_name,Locale_Character:171_intro,si_c171_00_s,sns_bg_default
admi,Nikke,Locale_Character:172_name,Locale_Character:172_intro,si_c172_00_s,sns_bg_default
guillotine,Nikke,Locale_Character:180_name,Locale_Character:180_intro,si_c180_00_s,sns_bg_default
maiden,Nikke,Locale_Character:181_name,Locale_Character:181_intro,si_c181_00_s,sns_bg_default
ludmilla,Nikke,Locale_Character:190_name,Locale_Character:190_intro,si_c190_00_s,sns_bg_default
alice,Nikke,Locale_Character:191_name,Locale_Character:191_intro,si_c191_00_s,sns_bg_default
neve,Nikke,Locale_Character:193_name,Locale_Character:193_intro,si_c193_00_s,sns_bg_default
rupee,Nikke,Locale_Character:200_name,Locale_Character:200_intro,si_c200_00_s,sns_bg_default
rupee_w,Nikke,Locale_Character:200_name,Locale_Character:203_intro,si_c203_00_s,sns_bg_default
yan,Nikke,Locale_Character:201_name,Locale_Character:201_intro,si_c201_00_s,sns_bg_default
dolla,Nikke,Locale_Character:202_name,Locale_Character:202_intro,si_c202_00_s,sns_bg_default
exia,Nikke,Locale_Character:210_name,Locale_Character:210_intro,si_c210_00_s,sns_bg_default
novel,Nikke,Locale_Character:212_name,Locale_Character:212_intro,si_c212_00_s,sns_bg_default
epinel,Nikke,Locale_Character:241_name,Locale_Character:241_intro,si_c241_00_s,sns_bg_default
folkwang,Nikke,Locale_Character:242_name,Locale_Character:242_intro,si_c242_00_s,sns_bg_default
snowwhite,Nikke,Locale_Character:220_name,Locale_Character:220_intro,si_c220_00_s,sns_bg_default
rapunzel,Nikke,Locale_Character:221_name,Locale_Character:221_intro,si_c221_00_s,sns_bg_default
hongryeon,Nikke,Locale_Character:222_name,Locale_Character:222_intro,si_c222_00_s,sns_bg_default
harran,Nikke,Locale_Character:230_name,Locale_Character:230_intro,si_c230_00_s,sns_bg_default
isabel,Nikke,Locale_Character:231_name,Locale_Character:231_intro,si_c231_00_s,sns_bg_default
noah,Nikke,Locale_Character:232_name,Locale_Character:232_intro,si_c232_00_s,sns_bg_default
marian,Nikke,Locale_Character:13_name,Locale_Character:260_intro,si_c260_00_s,sns_bg_default
ether,Nikke,Locale_Character:291_name,Locale_Character:291_intro,si_c291_00_s,sns_bg_default
laplace,Nikke,Locale_Character:100_name,Locale_Character:100_intro,si_c100_00_s,sns_bg_default
blanc,Nikke,Locale_Character:270_name,Locale_Character:270_intro,si_c270_00_s,sns_bg_default
noir,Nikke,Locale_Character:271_name,Locale_Character:271_intro,si_c271_00_s,sns_bg_default
rouge,Nikke,Locale_Character:272_name,Locale_Character:272_intro,si_c272_00_s,sns_bg_default
rosanna,Nikke,Locale_Character:280_name,Locale_Character:280_intro,si_c280_00_s,sns_bg_default
moran,Nikke,Locale_Character:281_name,Locale_Character:281_intro,si_c281_00_s,sns_bg_default
sakura,Nikke,Locale_Character:282_name,Locale_Character:282_intro,si_c282_00_s,sns_bg_default
mana,Nikke,Locale_Character:290_name,Locale_Character:290_intro,si_c290_00_s,sns_bg_default
rumani,Nikke,Locale_Character:240_name,Locale_Character:240_intro,si_c240_00_s,sns_bg_default
jackal,Nikke,Locale_Character:111_name,Locale_Character:111_intro,si_c111_00_s,sns_bg_default
viper,Nikke,Locale_Character:112_name,Locale_Character:112_intro,si_c112_00_s,sns_bg_default
noise,Nikke,Locale_Character:430_name,Locale_Character:430_intro,si_c430_00_s,sns_bg_default
volume,Nikke,Locale_Character:431_name,Locale_Character:431_intro,si_c431_00_s,sns_bg_default
aria,Nikke,Locale_Character:432_name,Locale_Character:432_intro,si_c432_00_s,sns_bg_default
helm,Nikke,Locale_Character:352_name,Locale_Character:352_intro,si_c352_00_s,sns_bg_default
guilty,Nikke,Locale_Character:400_name,Locale_Character:400_intro,si_c400_00_s,sns_bg_default
sin,Nikke,Locale_Character:401_name,Locale_Character:401_intro,si_c401_00_s,sns_bg_default
quency,Nikke,Locale_Character:402_name,Locale_Character:402_intro,si_c402_00_s,sns_bg_default
cocoa,Nikke,Locale_Character:311_name,Locale_Character:311_intro,si_c311_00_s,sns_bg_default
soda,Nikke,Locale_Character:312_name,Locale_Character:312_intro,si_c312_00_s,sns_bg_default
ade,Nikke,Locale_Character:310_name,Locale_Character:310_intro,si_c310_00_s,sns_bg_default
biscuit,Nikke,Locale_Character:381_name,Locale_Character:381_intro,si_c381_00_s,sns_bg_default
d,Nikke,Locale_Character:40_name,Locale_Character:40_intro,si_c040_00_s,sns_bg_default
k,Nikke,Locale_Character:41_name,Locale_Character:41_intro,si_c041_00_s,sns_bg_default
