id,chapter,difficulty_id,recommended_battle_power,stage_value,reward_id,overclock_active,simple_simulation_active
10101,1,1,1910,5,3201101,False,False
10102,2,1,2675,5,3201102,False,False
10103,3,1,4490,5,3201103,False,False
10201,1,2,10410,7,3201201,False,False
10202,2,2,12605,7,3201202,False,False
10203,3,2,16065,7,3201203,False,False
10301,1,3,18305,7,3201301,False,False
10302,2,3,22945,7,3201302,False,False
10303,3,3,31905,7,3201303,False,False
10401,1,4,34880,7,3201401,False,False
10402,2,4,39045,7,3201402,False,False
10403,3,4,52840,7,3201403,False,False
10501,1,5,73110,7,3201501,False,False
10502,2,5,93490,7,3201502,False,False
10503,3,5,131090,7,3201503,True,True
99999,1,99999,100,3,3299999,False,False
