id,group_id,option_name_localkey,option_desc_localkey,option_icon,option_overclock_level,fix_option,option_data/0/option_function,option_data/0/option_value,option_data/0/option_target/0,option_data/1/option_function,option_data/1/option_value,option_data/0/option_target/1,option_data/1/option_target/0,option_change_order,option_data/2/option_function,option_data/2/option_target/0,option_data/2/option_value,infinite_option_code
1,100,Locale_System:SIMULATIONROOM_OC_OPTION_LEVELOVERFIX,Locale_System:SIMULATIONROOM_OC_OPTION_LEVELOVERFIX_DESC,ICON_SIMULATIONROOM_OC_OPTION_LEVELOVERFIX,1,True,LevelOverFix,400.0,,,,,,,,,,
2,101,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_1,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_1_DESC,ICON_SIMULATIONROOM_OC_OPTION_ATTACK_UP_1,1,False,Function,1999287.0,Monster,,,,,,,,,
3,101,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_2,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_2_DESC,ICON_SIMULATIONROOM_OC_OPTION_ATTACK_UP_2,2,False,Function,1999288.0,Monster,,,,,,,,,
4,101,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_3,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_3_DESC,ICON_SIMULATIONROOM_OC_OPTION_ATTACK_UP_3,3,False,Function,1999289.0,Monster,,,,,,,,,
5,101,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_4,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_4_DESC,ICON_SIMULATIONROOM_OC_OPTION_ATTACK_UP_4,4,False,Function,1999290.0,Monster,,,,,,,,,
7,102,Locale_System:SIMULATIONROOM_OC_OPTION_DEF_UP_1,Locale_System:SIMULATIONROOM_OC_OPTION_DEF_UP_1_DESC,ICON_SIMULATIONROOM_OC_OPTION_DEF_UP_1,1,False,Function,1999292.0,Monster,,,,,,,,,
8,102,Locale_System:SIMULATIONROOM_OC_OPTION_DEF_UP_2,Locale_System:SIMULATIONROOM_OC_OPTION_DEF_UP_2_DESC,ICON_SIMULATIONROOM_OC_OPTION_DEF_UP_2,2,False,Function,1999293.0,Monster,,,,,,,,,
9,102,Locale_System:SIMULATIONROOM_OC_OPTION_DEF_UP_3,Locale_System:SIMULATIONROOM_OC_OPTION_DEF_UP_3_DESC,ICON_SIMULATIONROOM_OC_OPTION_DEF_UP_3,3,False,Function,1999294.0,Monster,,,,,,,,,
10,102,Locale_System:SIMULATIONROOM_OC_OPTION_DEF_UP_4,Locale_System:SIMULATIONROOM_OC_OPTION_DEF_UP_4_DESC,ICON_SIMULATIONROOM_OC_OPTION_DEF_UP_4,4,False,Function,1999295.0,Monster,,,,,,,,,
12,103,Locale_System:SIMULATIONROOM_OC_OPTION_HP_UP_1,Locale_System:SIMULATIONROOM_OC_OPTION_HP_UP_1_DESC,ICON_SIMULATIONROOM_OC_OPTION_HP_UP_1,1,False,Function,1999297.0,Monster,,,,,,,,,
13,103,Locale_System:SIMULATIONROOM_OC_OPTION_HP_UP_2,Locale_System:SIMULATIONROOM_OC_OPTION_HP_UP_2_DESC,ICON_SIMULATIONROOM_OC_OPTION_HP_UP_2,2,False,Function,1999298.0,Monster,,,,,,,,,
14,103,Locale_System:SIMULATIONROOM_OC_OPTION_HP_UP_3,Locale_System:SIMULATIONROOM_OC_OPTION_HP_UP_3_DESC,ICON_SIMULATIONROOM_OC_OPTION_HP_UP_3,3,False,Function,1999299.0,Monster,,,,,,,,,
15,103,Locale_System:SIMULATIONROOM_OC_OPTION_HP_UP_4,Locale_System:SIMULATIONROOM_OC_OPTION_HP_UP_4_DESC,ICON_SIMULATIONROOM_OC_OPTION_HP_UP_4,4,False,Function,1999300.0,Monster,,,,,,,,,
17,104,Locale_System:SIMULATIONROOM_OC_OPTION_ATTRACTON_STATUS_DISABLE,Locale_System:SIMULATIONROOM_OC_OPTION_ATTRACTON_STATUS_DISABLE_DESC,ICON_SIMULATIONROOM_OC_OPTION_ATTRACTON_STATUS_DISABLE,2,False,AttractionStatusDisable,,,,,,,,,,,
18,105,Locale_System:SIMULATIONROOM_OC_OPTION_RECYCLE_ROOM_DISABLE,Locale_System:SIMULATIONROOM_OC_OPTION_RECYCLE_ROOM_DISABLE_DESC,ICON_SIMULATIONROOM_OC_OPTION_RECYCLE_ROOM_DISABLE,2,False,RecycleRoomDisable,,,,,,,,,,,
19,106,Locale_System:SIMULATIONROOM_OC_OPTION_HARD_BATTLE_ONLY,Locale_System:SIMULATIONROOM_OC_OPTION_HARD_BATTLE_ONLY_DESC,ICON_SIMULATIONROOM_OC_OPTION_HARD_BATTLE_ONLY,5,False,LocationStartChange,1000.0,,LocationRandomChange,302013.0,,,,,,,
20,107,Locale_System:SIMULATIONROOM_OC_OPTION_CAMPAIGN_BATTLE_TIME_DECREASE_1,Locale_System:SIMULATIONROOM_OC_OPTION_CAMPAIGN_BATTLE_TIME_DECREASE_1_DESC,ICON_SIMULATIONROOM_OC_OPTION_CAMPAIGN_BATTLE_TIME_DECREASE_1,2,False,CampaignTimeDecrease,1000.0,,,,,,,,,,
21,107,Locale_System:SIMULATIONROOM_OC_OPTION_CAMPAIGN_BATTLE_TIME_DECREASE_2,Locale_System:SIMULATIONROOM_OC_OPTION_CAMPAIGN_BATTLE_TIME_DECREASE_2_DESC,ICON_SIMULATIONROOM_OC_OPTION_CAMPAIGN_BATTLE_TIME_DECREASE_2,3,False,CampaignTimeDecrease,2000.0,,,,,,,,,,
22,107,Locale_System:SIMULATIONROOM_OC_OPTION_CAMPAIGN_BATTLE_TIME_DECREASE_3,Locale_System:SIMULATIONROOM_OC_OPTION_CAMPAIGN_BATTLE_TIME_DECREASE_3_DESC,ICON_SIMULATIONROOM_OC_OPTION_CAMPAIGN_BATTLE_TIME_DECREASE_3,4,False,CampaignTimeDecrease,3000.0,,,,,,,,,,
24,108,Locale_System:SIMULATIONROOM_OC_OPTION_STEP1_SMG_BAN,Locale_System:SIMULATIONROOM_OC_OPTION_STEP1_SMG_BAN_DESC,ICON_SIMULATIONROOM_OC_OPTION_STEP1_SMG_BAN,2,False,BanNikke,,SMG,,,Burst1,,,,,,
25,108,Locale_System:SIMULATIONROOM_OC_OPTION_STEP1_COOLTIME_INCREASE,Locale_System:SIMULATIONROOM_OC_OPTION_STEP1_COOLTIME_INCREASE_DESC,ICON_SIMULATIONROOM_OC_OPTION_STEP1_COOLTIME_INCREASE,3,False,Function,1999307.0,Burst1,Function,1999308.0,,Burst1,,,,,
27,109,Locale_System:SIMULATIONROOM_OC_OPTION_STEP2_AR_BAN,Locale_System:SIMULATIONROOM_OC_OPTION_STEP2_AR_BAN_DESC,ICON_SIMULATIONROOM_OC_OPTION_STEP2_AR_BAN,2,False,BanNikke,,AR,,,Burst2,,,,,,
28,109,Locale_System:SIMULATIONROOM_OC_OPTION_STEP2_COOLTIME_INCREASE,Locale_System:SIMULATIONROOM_OC_OPTION_STEP2_COOLTIME_INCREASE_DESC,ICON_SIMULATIONROOM_OC_OPTION_STEP2_COOLTIME_INCREASE,3,False,Function,1999307.0,Burst2,Function,1999308.0,,Burst2,,,,,
29,110,Locale_System:SIMULATIONROOM_OC_OPTION_FIX_DMTR,Locale_System:SIMULATIONROOM_OC_OPTION_FIX_DMTR_DESC,ICON_SIMULATIONROOM_OC_OPTION_FIX_DMTR,1,False,BattleEventGroupChange,101.0,,,,,,,,,,
30,110,Locale_System:SIMULATIONROOM_OC_OPTION_FIX_DMTR_2,Locale_System:SIMULATIONROOM_OC_OPTION_FIX_DMTR_2_DESC,ICON_SIMULATIONROOM_OC_OPTION_FIX_DMTR_2,4,False,BattleEventGroupChange,101.0,,Function,1999315.0,,Target,,,,,
31,111,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_RAMNENT_1,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_RAMNENT_1_DESC,ICON_SIMULATIONROOM_OC_OPTION_APPEAR_RAMNENT_1,2,False,Function,1999309.0,Stage,,,,,,,,,
32,111,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_RAMNENT_2,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_RAMNENT_2_DESC,ICON_SIMULATIONROOM_OC_OPTION_APPEAR_RAMNENT_2,3,False,Function,1999312.0,Stage,,,,,,,,,
33,112,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_PONYTAIL_1,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_PONYTAIL_1_DESC,ICON_SIMULATIONROOM_OC_OPTION_APPEAR_SPARROW_1,2,False,Function,1999310.0,Stage,,,,,,,,,
34,112,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_PONYTAIL_2,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_PONYTAIL_2_DESC,ICON_SIMULATIONROOM_OC_OPTION_APPEAR_SPARROW_2,3,False,Function,1999313.0,Stage,,,,,,,,,
35,113,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_MOTHERWHALE,Locale_System:SIMULATIONROOM_OC_OPTION_APPEAR_MOTHERWHALE_DESC,ICON_SIMULATIONROOM_OC_OPTION_APPEAR_MOTHERWHALE,3,False,Function,1999311.0,Stage,,,,,,,,,
37,114,Locale_System:SIMULATIONROOM_OC_OPTION_SPECIALSTAGE,Locale_System:SIMULATIONROOM_OC_OPTION_SPECIALSTAGE_DESC,ICON_SIMULATIONROOM_OC_OPTION_SPECIALSTAGE,5,False,LocationJustBeforeEndChange,1000000.0,,,,,,,,,,
101,201,Locale_System:SIMULATIONROOM_OC_OPTION_LEVELOVERFIX,Locale_System:SIMULATIONROOM_OC_OPTION_LEVELOVERFIX_DESC,ICON_SIMULATIONROOM_OC_OPTION_LEVELOVERFIX,1,True,LevelOverFix,400.0,,,,,,,,,,
102,202,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_1,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_1_DESC,ICON_SIMULATIONROOM_OC_OPTION_ATTACK_UP_1,1,False,Function,1999287.0,Monster,,,,,,,,,
103,202,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_2,Locale_System:SIMULATIONROOM_OC_OPTION_ATTACK_UP_2_DESC,ICON_SIMULATIONROOM_OC_OPTION_ATTACK_UP_2,2,False,Function,1999288.0,Monster,,,,,,,,,
