id,stage_group_id,event_main_type,event_sub_type,is_repeated,weight
1,10000,Battle,BossBattle,True,10000
2,1000,Battle,EliteBattle,True,10000
3,100,Battle,NormalBattle,True,10000
4,1,Selection,Maintenance,True,10000
5,20000,Battle,EventBossBattle,True,10000
100001,100010,Selection,Maintenance,False,10000
200001,201100,Battle,EliteBattle,False,10000
200002,201100,Battle,NormalBattle,False,10000
200003,200101,Battle,NormalBattle,False,10000
200004,200101,Selection,RandomSelection,False,10000
200005,201001,Battle,EliteBattle,False,10000
200006,201001,Selection,RandomSelection,False,10000
200007,200999,Battle,NormalBattle,False,30000
200008,200999,Selection,Maintenance,False,10000
200009,200999,Selection,RandomSelection,False,10000
200010,209099,Battle,EliteBattle,False,30000
200011,209099,Selection,Maintenance,False,10000
200012,209099,Selection,RandomSelection,False,10000
200013,209909,Battle,NormalBattle,True,10000
200014,209909,Battle,EliteBattle,True,10000
200015,209909,Selection,RandomSelection,True,10000
200016,209999,Battle,NormalBattle,True,10000
200017,209999,Battle,EliteBattle,True,10000
200018,209999,Selection,Maintenance,False,10000
200019,209999,Selection,RandomSelection,True,10000
200020,200099,Selection,Maintenance,False,10000
200021,200099,Selection,RandomSelection,True,10000
200022,200011,Selection,Maintenance,False,10000
200023,200011,Selection,RandomSelection,False,10000
200024,200018,Selection,Maintenance,False,10000
200025,200018,Selection,EnhanceBuff,False,10000
300001,301200,Battle,EliteBattle,False,100000
300002,301200,Battle,NormalBattle,True,100
300003,302100,Battle,EliteBattle,False,100000
300004,302100,Battle,EliteBattle,False,100000
300005,302100,Battle,NormalBattle,False,100
300006,300201,Battle,NormalBattle,False,100000
300007,300201,Battle,NormalBattle,False,100000
300008,300201,Selection,Maintenance,False,100
300009,300299,Battle,NormalBattle,False,100000
300010,300299,Battle,NormalBattle,False,100000
300011,300299,Selection,Maintenance,False,100
300012,300299,Selection,RandomSelection,False,100
300013,301101,Battle,EliteBattle,False,10000
300014,301101,Battle,NormalBattle,False,10000
300015,301101,Selection,RandomSelection,False,10000
300016,301199,Battle,EliteBattle,False,100000
300017,301199,Battle,NormalBattle,False,10000
300018,301199,Selection,Maintenance,False,10
300019,301199,Selection,RandomSelection,False,100
300020,302001,Battle,EliteBattle,False,10000
300021,302001,Battle,EliteBattle,False,10000
300022,302001,Selection,RandomSelection,False,10000
300023,302099,Battle,EliteBattle,False,100000
300024,302099,Battle,EliteBattle,False,100000
300025,302099,Selection,Maintenance,False,10
300026,302099,Selection,RandomSelection,False,100
300027,300199,Battle,NormalBattle,False,100000
300028,300199,Selection,Maintenance,False,10
300029,300199,Selection,RandomSelection,True,100
300030,301099,Battle,EliteBattle,False,100000
300031,301099,Selection,Maintenance,False,10
300032,301099,Selection,RandomSelection,True,100
300033,300999,Battle,NormalBattle,True,100
300034,300999,Selection,Maintenance,False,20
300035,300999,Selection,RandomSelection,True,100
300036,309099,Battle,EliteBattle,True,100
300037,309099,Selection,Maintenance,False,20
300038,309099,Selection,RandomSelection,True,100
300039,309999,Battle,NormalBattle,True,100
300040,309999,Battle,EliteBattle,True,100
300041,309999,Selection,Maintenance,False,20
300042,309999,Selection,RandomSelection,True,100
300043,300099,Selection,Maintenance,False,20
300044,300099,Selection,RandomSelection,True,100
5,1000000,Battle,SpecialBattle,True,10000
300055,302013,Battle,EliteBattle,True,9500
300056,302013,Selection,RandomSelection,False,250
300057,302013,Selection,Maintenance,False,250
