id,value
tile_standard_size,80000
max_floor,3
floor_height,50000
smog_height,110000
max_brush_size,10
SurfaceSquadMoveSpeedRatio,72
NumberOfSquadRequiredForOperation,1
DefenceWaveStartConditionBatteryGauge,0
DefenseFailureResetLevel,1
BuildingRepairRequiredLevel,0
SurfaceFactorySlotDefault,2
SurfaceFactorySlotMax,5
SurfaceHospitalReturnToUnitSlotDefault,5
SurfaceHospitalReturnToUnitSlotMax,10
SurfaceFactoryFastCompCurrencyType,99
SurfaceFactoryFastCompCurrencyValue,10
SurfaceFactoryFastCompTime,60
SurfaceHospitalFastCompCurrencyType,99
SurfaceHospitalFastCompCurrencyValue,10
SurfaceHospitalFastCompTime,60
SurfaceResearchFastCompCurrencyType,99
SurfaceResearchFastCompCurrencyValue,10
SurfaceResearchFastCompTime,60
SurfaceBuildingFastLevelUpCurrencyType,99
SurfaceBuildingFastLevelUpCurrencyValue,10
SurfaceBuildingFastLevelUpTime,60
SurfaceMonsterRouteNavigationDelay,1
SurfaceDefaultSquadSetValue,0
SurfaceStaminaValueMax,50000
SurfaceStaminaConsumeValue,100
SurfaceStaminaRecoveryTick,1800
SurfaceStaminaRecoveryValue,5000
SurfaceStaminaDepletionDebuffSkillId,30001101
SurfaceSquadSetCooldown,0
SurfaceTeamListGroupValue,5
SurfaceTeamListNikkeValue,0
SurfaceAlarmListStackMaxAmount,100
SurfaceSectorNameTransparency,100
SurfaceTextBoxCloseTime,5
water_surface_position_ratio,0.8
SurfaceCharATKConstant,50
SurfaceElementalNeedNum,2
SurfaceBonusRangeNeedNum,2
SurfaceElementalBonusConstant,1000
SurfaceMonsterElementalBonusConstant,5000
SurfaceSGNearBonus,1000
SurfaceSGMidBonus,0
SurfaceSGFarBonus,0
SurfaceSMGNearBonus,1000
SurfaceSMGMidBonus,0
SurfaceSMGFarBonus,0
SurfaceARNearBonus,0
SurfaceARMidBonus,1000
SurfaceARFarBonus,0
SurfaceSRNearBonus,0
SurfaceSRMidBonus,0
SurfaceSRFarBonus,1000
SurfaceMGNearBonus,0
SurfaceMGMidBonus,1000
SurfaceMGFarBonus,0
SurfaceRLNearBonus,0
SurfaceRLMidBonus,0
SurfaceRLFarBonus,1000
SurfaceNikkeFirstAttackCooltime,30
SurfaceNikkeRepeatAttackCooltime,50
SurfaceNikkeAttackRatio,10000
SurfaceRaptureAttackRatio,10000
quest_default_create_count,1
SurfaceMaxDaysForQuestAccumulation,7
SurfaceQuestChaseMaxCount,3
SurfaceDrawBridgeVisionRevealDuration,700
SuddenEventRespawnTime,60480000
SurfaceBattlePowerConstantLv1,1001
SurfaceRapidDeploymentRobotPositionY,9
quest_contents_open_condition_gateway,4001
quest_give_up_global_cooltime,30000
fast_complete_use_set,False
bonus_reward_use_set,False
